sensor_id,sensor_status,ts,subject_id
R1,"ON",1542203894445,"200"
R1,"OFF",1542203901851,"200"
R2,"ON",1542203906175,"200"
R7,"ON",1542203920403,"200"
R7,"OFF",1542203925443,"200"
R7,"ON",1542203936092,"200"
R7,"OFF",1542203939200,"200"
R7,"ON",1542203980289,"200"
R7,"OFF",1542203984577,"200"
R2,"OFF",1542203997157,"200"
P1,"ON",1542204016289,"200"
P1,"OFF",1542204024939,"200"
R6,"ON",1542204034019,"200"
R6,"OFF",1542204039677,"200"
P1,"ON",1542204049036,"200"
P1,"OFF",1542204171787,"200"
R7,"ON",1542204266143,"200"
R7,"OFF",1542204269650,"200"
R6,"ON",1542204280665,"200"
R6,"OFF",1542204285369,"200"
P2,"ON",1542204346218,"200"
P2,"OFF",1542204461959,"200"
