ts_start,ts_end,act
1542374964237,1542374980599,TRANSITION
1542374980606,1542375034462,PREPARING_COLD_MEAL
1542375034482,1542375035236,TRANSITION
1542375035239,1542375070124,SETTING_UP_TABLE
1542375070133,1542375072988,TRANSITION
1542375073007,1542375107201,TAKING_MEDICINES
1542375107229,1542375116025,TRANSITION
1542375116028,1542375140645,EATING
1542375140655,1542375142011,TRANSITION
1542375142032,1542375176777,EATING
1542375176794,1542375182844,TRANSITION
1542375182862,1542375192851,EATING
1542375192863,1542375194388,TRANSITION
1542375194406,1542375196549,EATING
1542375196567,1542375200203,TRANSITION
1542375200206,1542375261655,MAKING_PHONE_CALL
1542375261665,1542375277123,TRANSITION
1542375277160,1542375328838,CLEARING_TABLE
1542375328853,1542375337928,TRANSITION
1542375338015,1542375433404,USING_PC
1542375433451,1542375448274,TRANSITION
