value,ts
998.26544,1542809561268
999.3276,1542809561269
999.31775,1542809561269
999.0934,1542809561269
997.41003,1542809561269
998.53815,1542809561269
999.362,1542809561269
999.41614,1542809561269
998.9984,1542809561269
999.2571,1542809561274
999.37805,1542809561309
999.4884,1542809561343
999.609,1542809561380
999.70685,1542809561412
999.6703,1542809561448
999.6556,1542809561481
999.6638,1542809561516
999.5843,1542809561550
999.5277,1542809561586
999.3933,1542809561618
999.3719,1542809561653
999.3522,1542809561705
999.2784,1542809561732
999.27814,1542809561756
999.2781,1542809561790
999.27014,1542809561925
999.28796,1542809561925
999.2604,1542809561925
999.2439,1542809561935
999.0207,1542809561963
999.1697,1542809561998
999.12036,1542809562035
999.243,1542809562069
999.37994,1542809562101
999.1417,1542809562139
999.05457,1542809562170
999.2578,1542809562204
999.37177,1542809562240
999.2414,1542809562330
999.2535,1542809562330
999.0155,1542809562346
999.1568,1542809562472
999.3087,1542809562473
999.30554,1542809562473
999.3009,1542809562484
998.9104,1542809562520
999.0804,1542809562553
998.2793,1542809562583
998.2545,1542809562618
998.57886,1542809562652
998.9832,1542809562695
999.0281,1542809562721
999.141,1542809562755
999.2258,1542809562790
998.956,1542809562824
999.1982,1542809562862
999.416,1542809562894
999.13403,1542809562928
998.9765,1542809562962
998.9505,1542809562997
999.2111,1542809563031
999.3087,1542809563066
999.25977,1542809563099
999.26196,1542809563135
998.9726,1542809563169
999.17993,1542809563308
999.3087,1542809563308
999.0169,1542809563308
998.97986,1542809563309
998.8895,1542809563345
998.6654,1542809563436
998.80414,1542809563436
998.98663,1542809563445
999.04785,1542809563479
999.1503,1542809563514
999.1914,1542809563549
999.24506,1542809563664
999.3305,1542809563664
999.362,1542809563664
999.4161,1542809563688
999.3867,1542809563724
999.3972,1542809563759
999.4324,1542809563791
999.457,1542809563851
999.3082,1542809563859
999.2982,1542809563894
999.33575,1542809563927
999.31824,1542809563966
999.3013,1542809563999
999.28076,1542809564034
996.5271,1542809564065
997.72284,1542809564099
998.9601,1542809564134
998.9176,1542809564174
999.08307,1542809564205
999.2268,1542809564240
999.20795,1542809564271
999.0385,1542809564306
998.9683,1542809564340
999.14594,1542809564499
998.02625,1542809564499
998.7922,1542809564500
999.40625,1542809564500
999.43256,1542809564513
999.51294,1542809564547
999.49164,1542809564582
999.485,1542809564616
999.6191,1542809564653
999.69006,1542809564686
999.7885,1542809564720
999.8524,1542809564754
998.61646,1542809564788
999.15814,1542809564824
999.73584,1542809564915
999.03296,1542809564915
999.36035,1542809564926
999.7261,1542809565033
999.6704,1542809565033
999.8067,1542809565036
999.9783,1542809565066
1000.04456,1542809565101
1000.2261,1542809565134
1000.39734,1542809565174
1000.4742,1542809565204
1000.5868,1542809565238
1000.68823,1542809565271
1000.7137,1542809565309
1000.7137,1542809565339
1000.65955,1542809565374
1000.3463,1542809565408
1000.5044,1542809565446
1000.5536,1542809565478
1000.3443,1542809565515
1000.1384,1542809565546
1000.174,1542809565581
1000.179,1542809565616
999.97894,1542809565655
999.80707,1542809565687
999.7688,1542809565718
999.9688,1542809565756
1000.0936,1542809565787
999.82074,1542809565822
999.90894,1542809565922
999.8761,1542809565922
999.99756,1542809565925
1000.05853,1542809566031
1000.07056,1542809566031
996.63214,1542809566031
996.55817,1542809566144
999.1543,1542809566144
1000.0485,1542809566144
999.57556,1542809566166
999.74036,1542809566204
999.94916,1542809566235
999.77673,1542809566270
999.897,1542809566305
1000.0099,1542809566339
1000.00024,1542809566374
1000.0099,1542809566408
1000.03625,1542809566444
1000.0083,1542809566477
1000.00995,1542809566511
999.9099,1542809566545
1000.08606,1542809566580
1000.2056,1542809566617
1000.06696,1542809566654
1000.1454,1542809566684
998.6948,1542809566725
999.375,1542809566752
1000.42773,1542809566787
1000.6992,1542809566822
1000.7301,1542809566856
1000.4697,1542809566890
999.8989,1542809566925
999.03894,1542809566959
998.5633,1542809567091
999.1372,1542809567091
999.36804,1542809567092
999.37177,1542809567097
998.8784,1542809567135
998.92706,1542809567227
998.9418,1542809567228
998.8467,1542809567338
998.8371,1542809567339
998.5059,1542809567339
998.4457,1542809567343
998.6648,1542809567376
998.6956,1542809567414
998.59735,1542809567441
998.63354,1542809567477
998.6845,1542809567511
