value,ts
1011.68475,1542207859790
1011.73145,1542207859827
1011.7499,1542207859859
1011.7677,1542207859898
1011.79407,1542207859929
1011.77014,1542207859967
1010.9794,1542207859997
1011.4479,1542207860171
1011.87286,1542207860171
1011.9072,1542207860171
1011.9205,1542207860171
1011.9385,1542207860171
1011.7125,1542207860212
1011.74524,1542207860237
1011.8573,1542207860273
1011.9443,1542207860307
1011.97296,1542207860343
1011.8919,1542207860376
1011.85486,1542207860411
1011.8726,1542207860445
1010.97266,1542207860482
1011.3977,1542207860597
1011.85486,1542207860597
1011.7837,1542207860597
1009.7224,1542207860620
1010.0032,1542207860731
1011.4917,1542207860731
1011.8385,1542207860731
1011.8904,1542207860760
1011.8894,1542207860790
1011.8645,1542207860827
1011.21625,1542207860858
1011.5732,1542207860904
1011.87317,1542207861041
1011.8811,1542207861042
1011.64636,1542207861042
1011.7889,1542207861042
1011.90735,1542207861065
1011.9164,1542207861100
1011.9376,1542207861136
1010.9174,1542207861169
1011.4738,1542207861204
1011.955,1542207861241
1011.9208,1542207861274
1011.2348,1542207861306
1011.0816,1542207861341
1010.6441,1542207861375
1011.3932,1542207861420
1009.9375,1542207861444
1010.3042,1542207861484
1010.99243,1542207861513
1011.621,1542207861611
1011.95325,1542207861611
1011.9558,1542207861625
1011.27716,1542207861650
1009.74835,1542207861686
1011.12524,1542207861798
1011.0234,1542207861798
1011.44556,1542207861798
1011.17004,1542207861932
1011.5897,1542207861932
1011.9287,1542207861932
1011.9117,1542207861932
1011.9697,1542207861961
1012.0173,1542207861995
1012.0255,1542207862030
1011.9895,1542207862065
1011.99097,1542207862098
1012.082,1542207862136
1012.1305,1542207862167
1012.1305,1542207862201
1012.13965,1542207862237
1012.1611,1542207862274
1012.16986,1542207862313
1011.4051,1542207862353
1011.7307,1542207862374
1011.4113,1542207862409
1011.2855,1542207862445
1011.3595,1542207862490
1011.3909,1542207862514
1011.9538,1542207862546
1012.214,1542207862581
1012.22235,1542207862615
1011.5729,1542207862651
1011.71,1542207862685
1012.0697,1542207862721
1012.1346,1542207862857
1011.7823,1542207862857
1011.98694,1542207862857
1007.18604,1542207862864
1010.00116,1542207862891
1012.0958,1542207863009
1012.1222,1542207863009
1012.0986,1542207863009
1012.0948,1542207863029
