x,y,z,ts
6.5495677,0.07346153,4.243227,1542376529819
7.127166,0.37177086,3.6948953,1542376529826
8.058093,0.3388586,3.989347,1542376529863
12.331121,-0.7067909,4.4979105,1542376529901
18.094725,0.47014904,5.0259285,1542376529932
22.71356,1.7095947,6.994895,1542376529969
25.98929,0.8611984,6.4429154,1542376530011
25.391705,-0.58235264,7.164274,1542376530039
25.423052,-5.2106657,9.732215,1542376530077
27.199236,-9.711257,9.876504,1542376530115
21.670414,-12.63615,8.85129,1542376530147
14.4426,-4.6861258,8.512351,1542376530183
12.245273,-1.8051119,7.6952324,1542376530217
10.350572,2.9181309,7.6756053,1542376530253
9.251605,3.631196,6.831445,1542376530358
9.53622,2.4449878,7.020749,1542376530359
12.429279,0.33399296,7.6092854,1542376530369
13.7634115,-0.9393883,8.524333,1542376530395
13.7634115,-0.9393883,8.524333,1542376530430
13.7634115,-0.9393883,8.524333,1542376530503
13.7634115,-0.9393883,8.524333,1542376530503
13.7634115,-0.9393883,8.524333,1542376530536
14.15676,-3.005931,11.812624,1542376530572
23.480728,-2.7491188,14.008125,1542376530605
18.685875,-4.9779005,12.581539,1542376530639
18.675701,-5.907529,10.909493,1542376530674
18.675701,-5.907529,10.909493,1542376530709
18.675701,-5.907529,10.909493,1542376530744
13.732075,-2.7329178,10.149681,1542376530780
12.230015,-0.9564972,8.901093,1542376530816
12.561801,-0.051566124,7.739112,1542376530855
13.235839,1.0876217,6.264259,1542376530892
13.783898,1.668489,5.698152,1542376530925
14.921406,1.9623866,5.8712106,1542376530962
16.039743,1.8072586,5.421023,1542376531021
16.500704,1.7862659,4.9504366,1542376531031
17.462603,1.131103,6.318708,1542376531077
19.082169,0.115968704,9.579251,1542376531110
21.642101,-0.36625195,9.554088,1542376531134
19.702557,-2.224369,13.203289,1542376531176
15.459992,-4.8301506,14.265287,1542376531211
17.819286,-1.4920549,9.172901,1542376531244
18.443954,7.057378,10.069978,1542376531283
12.706002,11.83097,10.497411,1542376531318
11.144684,11.169477,10.170906,1542376531361
10.880572,5.1583905,9.963131,1542376531387
10.824895,2.562007,10.584652,1542376531422
10.824895,2.562007,10.584652,1542376531491
10.824895,2.562007,10.584652,1542376531492
10.824895,2.562007,10.584652,1542376531528
10.824895,2.562007,10.584652,1542376531560
12.823753,-6.255107,16.10345,1542376531596
15.842547,-8.704466,12.393648,1542376531628
19.147165,-10.557562,12.049346,1542376531668
21.071331,-15.4798355,12.643894,1542376531702
18.522694,-15.587614,10.190624,1542376531737
17.91124,-7.7419796,6.581067,1542376531770
19.696482,-9.17926,6.5870113,1542376531806
19.137045,-8.0988245,6.264784,1542376531847
16.956999,-3.7083817,4.136918,1542376531884
15.227062,0.24386787,3.12196,1542376531913
14.842417,2.792911,3.0490742,1542376531947
14.390716,3.0311203,3.3946428,1542376531983
12.439417,2.8090177,3.040103,1542376532031
10.217405,1.4305611,4.425276,1542376532056
8.896977,0.9710617,6.0104437,1542376532089
8.731457,0.6034174,6.2110953,1542376532122
10.369979,-0.96976376,5.9555097,1542376532200
11.978213,-2.5922813,5.9639893,1542376532200
13.008696,-3.8166075,8.4900465,1542376532237
16.24413,-4.364912,9.09213,1542376532303
