x,y,z,ts
-11.46096,2.9881287,-22.285082,1542376529791
-10.672104,1.9238892,-21.842402,1542376529813
-12.026421,2.1013489,-23.10642,1542376529837
-12.675568,2.2327118,-21.877123,1542376529855
-11.377098,2.543007,-20.518442,1542376529872
-13.815659,1.017952,-20.322962,1542376529901
-15.716766,0.33705902,-21.167444,1542376529913
-13.722641,0.014022827,-21.75316,1542376529934
-15.160637,1.2096252,-20.96654,1542376529963
-16.931374,-0.41836548,-20.759485,1542376529974
-15.465363,-1.5713425,-19.684801,1542376529995
-17.403648,-1.7360611,-19.19375,1542376530015
-17.35714,-2.2380219,-19.908846,1542376530043
-19.63749,-5.240555,-20.617792,1542376530060
-20.91729,-5.5224304,-20.735605,1542376530080
-18.348358,-4.944481,-19.879557,1542376530099
-19.562965,-5.69989,-19.471594,1542376530120
-18.28318,-5.418022,-19.353785,1542376530142
-19.395424,-7.163162,-19.75559,1542376530160
-19.255714,-8.096046,-18.083616,1542376530178
-19.134682,-9.05735,-17.652514,1542376530200
-20.265617,-10.830917,-19.295187,1542376530228
-20.896095,-10.671135,-16.825022,1542376530239
-18.336494,-10.107391,-16.589403,1542376530260
-21.75013,-9.133347,-17.79347,1542376530291
-20.489006,-8.87989,-18.916525,1542376530301
-17.289421,-7.8887024,-16.713366,1542376530322
-18.79261,-6.2195435,-16.452517,1542376530342
-19.618813,-5.2121353,-19.376928,1542376530370
-20.973137,-5.0346756,-20.64094,1542376530406
-22.9766,-4.7258453,-20.675653,1542376530406
-18.618256,-2.4914856,-18.785791,1542376530422
-20.973137,-5.0346756,-20.64094,1542376530446
-21.094177,-4.073372,-21.072046,1542376530466
-19.795692,-3.7630768,-19.713366,1542376530511
-19.016182,-4.8415375,-19.891127,1542376530511
-20.42617,-3.6032944,-17.2432,1542376530524
-22.215584,-5.259712,-18.27701,1542376530567
-20.99163,-4.4900894,-18.064539,1542376530571
-22.355293,-4.326828,-19.948988,1542376530583
-20.870598,-5.4513855,-17.633432,1542376530604
-20.025902,-7.0033875,-17.285425,1542376530635
-20.721733,-6.943077,-19.1583,1542376530643
-19.932884,-8.007317,-18.715624,1542376530664
-26.55685,-2.6595688,-3.069477,1542376530743
-24.062439,-1.6222763,-3.3596268,1542376530744
-24.062439,-1.6222763,-3.3596268,1542376530755
-25.37959,-1.9609833,-5.9591713,1542376530787
-23.8414,2.1768265,-2.5907326,1542376530824
-22.033478,3.2886505,-4.13332,1542376530862
-22.878181,4.8406525,-4.481327,1542376530897
-20.995758,5.493126,-4.87772,1542376530933
-20.514145,6.8250275,-5.823017,1542376530980
-21.088959,5.9240494,-7.2647896,1542376531021
-20.004532,8.199577,-4.907009,1542376531037
-20.821396,9.221184,-7.2109947,1542376531085
-20.153572,9.118248,-7.199421,1542376531111
-20.01387,8.185364,-5.5274467,1542376531141
