ts_start,ts_end,act
1542374162378,1542374175326,TRANSITION
1542374175365,1542374237063,COOKING
1542374237079,1542374240637,TRANSITION
1542374240647,1542374311381,SETTING_UP_TABLE
1542374311391,1542374332727,TRANSITION
1542374332737,1542374368921,EATING
1542374368941,1542374369565,TRANSITION
1542374369620,1542374375348,EATING
1542374375362,1542374385584,TRANSITION
1542374385603,1542374420189,CLEARING_TABLE
1542374420217,1542374427013,TRANSITION
1542374427023,1542374470590,WASHING_DISHES
1542374470603,1542374476739,TRANSITION
1542374476753,1542374574418,USING_PC
1542374574424,1542374575055,TRANSITION
1542374575089,1542374651008,ANSWERING_PHONE
1542374651053,1542374669805,TRANSITION
