ts_start,ts_end,location
1543316508237,1543316513224,MEDICINE_AREA
1543316513240,1543316514961,HALL
1543316514964,1543316653877,KITCHEN
1543316653881,1543316659636,HALL
1543316659689,1543316662783,MEDICINE_AREA
1543316662793,1543316666350,LIVING_ROOM
1543316666375,1543316688145,OFFICE
1543316688160,1543316691845,LIVING_ROOM
1543316691898,1543316699546,MEDICINE_AREA
1543316699647,1543316715923,HALL
1543316715945,1543316740007,KITCHEN
1543316740130,1543316749085,DINING_ROOM
1543316749100,1543316754270,KITCHEN
1543316754287,1543316756983,DINING_ROOM
1543316757023,1543316760879,KITCHEN
1543316760895,1543316764633,DINING_ROOM
1543316764653,1543316774952,KITCHEN
1543316774976,1543316778272,DINING_ROOM
1543316778280,1543316790886,KITCHEN
1543316791098,1543316797916,DINING_ROOM
1543316798028,1543316800481,KITCHEN
1543316800501,1543316951148,DINING_ROOM
1543316951160,1543316954686,KITCHEN
1543316954696,1543316962469,DINING_ROOM
1543316962508,1543316969386,KITCHEN
1543316969541,1543316971446,DINING_ROOM
1543316971464,1543316978252,KITCHEN
1543316978295,1543316996635,DINING_ROOM
1543316996641,1543317009525,KITCHEN
1543317009533,1543317015074,HALL
1543317015084,1543317022130,MEDICINE_AREA
1543317022132,1543317026279,LIVING_ROOM
1543317026299,1543317040336,OFFICE
1543317040341,1543317043169,LIVING_ROOM
1543317043183,1543317059460,MEDICINE_AREA
1543317059471,1543317063779,HALL
1543317063792,1543317067418,KITCHEN
1543317067424,1543317083677,DINING_ROOM
1543317083694,1543317086235,KITCHEN
1543317086260,1543317088030,HALL
1543317088039,1543317095327,MEDICINE_AREA
1543317095341,1543317107519,LIVING_ROOM
1543317107532,1543317114797,MEDICINE_AREA
1543317114812,1543317136237,HALL
1543317136253,1543317142755,OUT
