x,y,z,ts
-16.145325,25.099182,24.790955,1543316507509
-16.145325,25.465393,23.913574,1543316507544
-17.340088,25.982666,25.602722,1543316507565
-20.347595,25.540161,25.985718,1543316507603
-19.056702,25.904846,26.574707,1543316507626
-17.262268,24.595642,27.339172,1543316507656
-17.448425,24.668884,24.559021,1543316507719
-18.8797,23.652649,22.976685,1543316507747
-19.2276,22.712708,21.432495,1543316507776
-18.10608,25.62561,24.47052,1543316507874
-17.46521,26.907349,29.421997,1543316507874
-16.134644,24.554443,29.496765,1543316507874
-15.081787,24.415588,26.902771,1543316507924
-16.03241,24.291992,22.538757,1543316507952
-14.48822,28.10669,27.9068,1543316507984
-19.268799,26.75476,28.500366,1543316508011
-18.730164,23.139954,26.86615,1543316508045
-18.893433,25.726318,23.751831,1543316508078
-22.24884,26.290894,9.773254,1543316508129
-24.658203,27.409363,12.657166,1543316508159
-24.580383,30.60608,11.705017,1543316508190
-24.969482,27.19574,14.428711,1543316508217
-23.144531,25.453186,10.418701,1543316508256
-21.636963,27.09961,14.033508,1543316508277
-20.826721,29.60205,16.926575,1543316508336
-22.77069,25.161743,17.243958,1543316508370
-25.314331,26.231384,18.605042,1543316508398
-22.410583,29.240417,14.733887,1543316508424
-21.983337,27.88086,16.12091,1543316508458
-20.96405,27.174377,18.478394,1543316508485
-22.235107,25.932312,12.516785,1543316508544
-25.29602,25.598145,13.217163,1543316508608
-25.421143,29.502869,15.040588,1543316508608
-25.305176,33.247375,15.434265,1543316508634
-22.869873,28.71399,10.745239,1543316508667
-21.302795,29.956055,8.981323,1543316508695
-20.166016,31.02417,11.050415,1543316508753
-20.98236,29.19159,8.938599,1543316508782
-21.736145,29.325867,9.405518,1543316508811
-21.134949,27.371216,5.821228,1543316508840
-22.2229,28.633118,5.4351807,1543316508870
-23.257446,28.489685,6.3476562,1543316508900
-22.154236,27.616882,6.4102173,1543316508933
-22.685242,27.348328,6.112671,1543316508988
-22.232056,26.04065,11.9644165,1543316509017
-25.064087,26.850891,8.258057,1543316509053
-25.790405,26.58081,14.421082,1543316509076
-27.885437,23.143005,9.898376,1543316509108
-27.905273,22.305298,11.186218,1543316509136
-27.825928,25.453186,10.853577,1543316509197
-27.770996,23.353577,10.816956,1543316509224
-26.319885,25.263977,8.724976,1543316509254
-24.620056,25.994873,9.207153,1543316509286
-23.963928,25.92926,12.2543335,1543316509315
-23.477173,30.038452,16.51001,1543316509343
-21.55304,30.184937,16.267395,1543316509403
-20.443726,28.22113,13.264465,1543316509433
-20.503235,29.750061,15.527344,1543316509460
-19.725037,27.133179,13.934326,1543316509490
-19.155884,26.135254,20.59784,1543316509521
-19.631958,23.63739,25.538635,1543316509552
-20.44983,24.658203,19.895935,1543316509610
-19.396973,25.984192,20.281982,1543316509638
