x,y,z,ts
1.1255941,-1.3821046,0.59941304,1542907384737
3.37502,-1.2046835,0.05016923,1542907384773
3.576541,-0.7536831,-0.054130435,1542907384902
1.6378136,-0.391124,0.22028565,1542907384902
-0.3284521,-0.016830921,-0.08607912,1542907384902
-1.072999,0.6200397,-0.70319676,1542907384903
-1.5419836,1.1893604,-1.0788293,1542907384944
-1.8127642,1.5821807,-1.3208668,1542907384976
-2.0511007,1.7071104,-1.704788,1542907385003
-2.2563715,1.6432924,-2.3593934,1542907385034
-1.4136381,1.43522,-2.9425712,1542907385063
0.064229965,0.9582162,-3.380919,1542907385094
0.92783356,0.40584278,-3.091589,1542907385153
1.2800713,0.4072609,-2.536799,1542907385181
2.6310816,0.2448194,-2.1700926,1542907385212
2.4914665,-0.12958002,-0.8323982,1542907385241
2.0787115,-0.12498784,0.22995901,1542907385274
2.2087975,0.41123068,0.6087675,1542907385304
1.7419062,0.92920303,0.77628934,1542907385331
-0.62574196,1.16895,0.6253356,1542907385393
-2.9575272,0.76796544,0.5986186,1542907385424
-3.7665253,0.26931906,1.1117965,1542907385451
-3.4055767,-0.14502108,1.4547161,1542907385480
-2.4802227,-0.29408228,1.544474,1542907385511
-1.2859344,-0.41520452,1.5674204,1542907385537
-0.15166378,-0.6229305,1.8159256,1542907385597
0.24666977,-0.4938364,1.6541022,1542907385628
0.5828819,-0.32172883,1.4742482,1542907385656
0.21765614,-0.3353145,1.0576315,1542907385687
0.033800125,-0.53696406,1.1088932,1542907385715
1.5067921,-0.91161656,0.68824774,1542907385747
3.5995464,-1.7715131,1.5108876,1542907385875
1.4902687,-1.509194,0.98610675,1542907385875
1.2786398,-0.65892255,0.035750687,1542907385875
2.2866764,0.2672422,-0.14735252,1542907385896
2.8230562,0.8425853,-0.17325479,1542907385971
1.0627298,1.5603015,-0.33439052,1542907385971
-0.57127094,2.0829098,-0.6961137,1542907386047
-1.402772,2.1544597,-0.9466628,1542907386047
-1.3396549,2.0511453,-0.9311073,1542907386075
-1.3195,1.9464777,-0.87255085,1542907386106
-1.1727228,1.8890495,-1.0724254,1542907386134
-0.9342222,1.4989755,-1.4247555,1542907386162
-0.46839237,0.8707185,-1.70158,1542907386192
-0.0044908524,0.21670794,-1.8299364,1542907386252
-0.027734756,-0.44397235,-1.5646186,1542907386281
-0.16374207,-0.8581288,-1.0052445,1542907386310
2.0794945,-1.243395,-0.98301136,1542907386340
3.430626,-2.072313,-0.34270978,1542907386368
0.4413433,-2.0487885,0.29975605,1542907386402
0.75257397,-1.8878219,1.7549876,1542907386461
1.655386,-1.0616808,2.4822168,1542907386489
0.6052666,-0.112185895,2.3507624,1542907386518
-0.6877756,0.64359874,1.9322823,1542907386548
-1.7286797,1.0801296,1.4184252,1542907386577
-2.6850271,0.8989718,1.1022694,1542907386608
-3.0692415,0.28561747,1.4479182,1542907386923
-2.7947884,0.13422608,2.0779634,1542907386923
-1.8654938,0.90612054,1.6785345,1542907386923
-2.0683498,1.4459014,0.16757298,1542907386923
0.4309616,0.3308184,-0.43476534,1542907386923
3.0534697,-0.67346597,-0.9071726,1542907386923
2.7085342,-0.73301554,-1.000504,1542907386923
2.475215,-0.24472356,-1.0007617,1542907386924
1.5148964,0.022387266,-0.9180229,1542907386934
0.10266304,-0.036334515,-0.6154639,1542907386963
-0.5975256,-0.011772633,-0.024337508,1542907386994
-0.8318386,0.039392233,0.38086957,1542907387022
-0.84436035,-0.05506468,0.6945157,1542907387055
-0.5536957,-0.4646976,0.826004,1542907387113
-0.51001453,-0.9058924,0.7885834,1542907387141
-0.6362686,-1.3310862,0.67248815,1542907387219
-0.65100384,-1.7185192,0.4158994,1542907387219
-0.5383787,-2.1039832,0.1868816,1542907387232
0.35249805,-2.9787831,0.56666416,1542907387262
1.2420292,-3.4276495,0.64802206,1542907387367
0.9969053,-3.1675987,0.16538727,1542907387367
0.3247471,-3.0058002,0.050730944,1542907387380
-0.20137691,-2.1905608,0.39393973,1542907387409
-0.73381996,-0.86601305,0.58533156,1542907387438
0.8828907,-0.7750908,0.6277308,1542907387470
1.3515873,-1.5444739,0.9728205,1542907387527
1.1646509,-1.5051801,1.8978775,1542907387558
1.3036509,0.04651487,1.6582093,1542907387588
1.1149778,2.54662,-0.060967505,1542907387617
-0.06293297,4.2605076,-1.76622,1542907387646
-1.5158119,2.5906491,-2.0631418,1542907387675
-2.5973387,0.37523532,-1.261661,1542907387706
-3.3111944,0.28510666,-0.26964164,1542907387765
-2.8374605,0.42668998,0.21292388,1542907387795
-2.180088,0.110322595,0.24366796,1542907387824
-1.4285698,-0.19441068,0.11405122,1542907387858
-0.5457058,-0.35074878,0.20615548,1542907387890
-0.389884,-0.04422736,0.339284,1542907387913
-0.48995972,0.4909854,0.57541203,1542907387974
-0.9788437,0.7429805,0.81094575,1542907388002
-0.9830332,0.50331616,1.2260877,1542907388260
-0.8371792,0.085398674,1.6520401,1542907388260
-0.48681736,-0.023272514,1.5260065,1542907388260
0.34056187,0.047361135,0.7490914,1542907388261
3.3392715,-0.7016661,0.23406224,1542907388261
