sensor_id,sensor_status,ts,subject_id
P4,"ON",1542986551000,"205"
P4,"OFF",1542986555000,"205"
P1,"ON",1542986568789,"202"
P4,"ON",1542986569000,"205"
P4,"OFF",1542986685000,"205"
P1,"OFF",1542986687973,"202"
R6,"ON",1542986690376,"205"
R6,"OFF",1542986692736,"205"
R7,"ON",1542986705492,"205"
R7,"OFF",1542986710755,"205"
P2,"ON",1542986741075,"202"
P2,"OFF",1542986822485,"202"
R6,"ON",1542986825683,"202"
R6,"OFF",1542986835093,"202"
P3,"ON",1542986862000,"205"
P7,"ON",1542986864000,"202"
P3,"OFF",1542986943000,"205"
P7,"OFF",1542986945000,"202"
E2,"OFF",1542986950795,"205"
