x,y,z,ts
0.53263855,0.7429352,0.3184204,1542986515998
0.54803467,0.56469727,0.39883423,1542986515998
0.47361755,0.4447174,0.31411743,1542986516002
0.5574188,0.4003601,0.24346924,1542986516039
0.77926636,0.40534973,0.18460083,1542986516061
0.86457825,0.45524597,0.1244812,1542986516089
0.8382721,0.51904297,0.054748535,1542986516118
0.9318695,0.5507965,0.029953003,1542986516147
1.1342316,0.5616913,0.004852295,1542986516210
0.5317993,0.56004333,0.019042969,1542986516242
0.20315552,0.49980164,0.056793213,1542986516270
0.24246216,0.3757019,0.051361084,1542986516299
0.14785767,0.2457428,-0.028533936,1542986516329
0.006225586,0.1129303,-0.03604126,1542986516361
0.0639801,0.0887146,0.012420654,1542986516420
-0.13121033,0.12705994,-0.13409424,1542986516447
-0.5340271,0.1375885,-0.33345032,1542986516480
-0.24813843,-0.048477173,-0.20385742,1542986516506
0.33358765,-0.34939575,0.00064086914,1542986516541
0.60046387,-0.49067688,-0.04698181,1542986516564
0.8095856,-0.50538635,-0.23693848,1542986516592
0.35931396,-0.2913971,-0.40731812,1542986516651
0.040023804,-0.10003662,-0.35159302,1542986516681
0.2508545,0.07104492,-0.18354797,1542986516709
0.38438416,0.18623352,-0.18730164,1542986516742
0.2482605,0.29270935,-0.23995972,1542986516770
0.084869385,0.4073639,-0.24830627,1542986516799
0.042556763,0.5449829,-0.23469543,1542986516863
-0.053512573,0.6893616,-0.2572174,1542986516887
-0.18214417,0.7665863,-0.33738708,1542986516918
-0.26986694,0.8144989,-0.47329712,1542986516950
-0.24967957,0.84558105,-0.51882935,1542986516980
-0.14823914,0.85827637,-0.62887573,1542986517013
-0.38127136,0.85832214,-0.7926636,1542986517065
-0.6637268,0.68681335,-0.55529785,1542986517100
-0.028289795,0.36076355,-0.13713074,1542986517125
0.2513275,0.34344482,0.04510498,1542986517155
0.03277588,0.50053406,0.124298096,1542986517185
0.21653748,0.58461,0.1796875,1542986517213
0.4521942,0.5784149,0.17674255,1542986517276
0.2157898,0.5898285,0.10473633,1542986517303
-0.044891357,0.60188293,0.042114258,1542986517333
-0.03817749,0.5624542,0.019760132,1542986517361
-0.0647583,0.47904968,-0.047439575,1542986517394
-0.28207397,0.32429504,-0.1816101,1542986517423
-0.26501465,0.11213684,-0.31637573,1542986517481
-0.025039673,0.027328491,-0.32557678,1542986517513
-0.047439575,0.08552551,-0.17210388,1542986517543
-0.33647156,0.21562195,-0.14419556,1542986517569
-0.45976257,0.32080078,-0.27592468,1542986517601
-0.256958,0.22883606,-0.13197327,1542986517630
0.1174469,0.013092041,0.091156006,1542986517700
0.47912598,-0.2897339,0.18469238,1542986517719
0.61958313,-0.47686768,0.09114075,1542986517750
0.7641754,-0.5918884,-0.07489014,1542986517776
0.3201599,-0.50709534,0.0012359619,1542986517811
-0.07678223,-0.37635803,0.14993286,1542986517834
0.22566223,-0.28460693,0.328537,1542986517894
0.37483215,-0.14970398,0.43856812,1542986517927
0.49110413,-0.043167114,0.43104553,1542986517956
0.84817505,-0.035324097,0.4147339,1542986517986
0.85531616,0.1027832,0.30039978,1542986518014
0.59010315,0.27168274,0.17849731,1542986518044
0.2197876,0.38909912,-0.022994995,1542986518106
-0.16677856,0.49412537,-0.22546387,1542986518130
-0.032196045,0.48423767,-0.27386475,1542986518160
