ts_start,ts_end,act
1542986515998,1542986521505,TRANSITION
1542986521535,1542986532635,ENTERING_HOME
1542986532662,1542986577005,TRANSITION
1542986577024,1542986602687,EATING
1542986602706,1542986605642,TRANSITION
1542986605683,1542986642677,EATING
1542986642697,1542986643055,TRANSITION
1542986643080,1542986645418,EATING
1542986645431,1542986646780,TRANSITION
1542986646808,1542986676529,EATING
1542986676534,1542986681051,TRANSITION
1542986681061,1542986733945,ANSWERING_PHONE
1542986733979,1542986741215,TRANSITION
1542986741242,1542986815405,USING_PC
1542986815429,1542986823804,TRANSITION
1542986823830,1542986853027,TAKING_MEDICINES
1542986853037,1542986862224,TRANSITION
1542986862239,1542986945482,WATCHING_TV
1542986945494,1542986957797,TRANSITION
