ts_start,ts_end,location
1542908145340,1542908148871,OUT
1542908148892,1542908166415,HALL
1542908166457,1542908186160,KITCHEN
1542908186184,1542908188302,HALL
1542908188307,1542908195348,MEDICINE_AREA
1542908195378,1542908196864,HALL
1542908196888,1542908199104,KITCHEN
1542908199114,1542908274777,DINING_ROOM
1542908274838,1542908278268,KITCHEN
1542908278280,1542908281825,HALL
1542908281829,1542908293814,MEDICINE_AREA
1542908293977,1542908298570,HALL
1542908298620,1542908318905,MEDICINE_AREA
1542908318931,1542908320444,LIVING_ROOM
1542908320445,1542908411722,OFFICE
1542908411757,1542908413425,LIVING_ROOM
1542908413456,1542908415689,MEDICINE_AREA
1542908415718,1542908417821,HALL
1542908417850,1542908435633,KITCHEN
1542908435794,1542908437054,HALL
1542908437088,1542908451575,MEDICINE_AREA
1542908451586,1542908600745,LIVING_ROOM
1542908600749,1542908603026,MEDICINE_AREA
1542908603047,1542908613060,HALL
