sensor_id,sensor_status,ts,subject_id
R1,"ON",1543315817627,"200"
R1,"OFF",1543315822728,"200"
R2,"ON",1543315824822,"200"
R2,"OFF",1543315829891,"200"
R7,"ON",1543315830147,"200"
R7,"OFF",1543315833403,"200"
R5,"ON",1543315836634,"200"
R5,"OFF",1543315840234,"200"
R2,"ON",1543315840711,"204"
E1,"ON",1543315842367,"200"
R2,"OFF",1543315857426,"204"
R7,"ON",1543315861531,"200"
R7,"OFF",1543315865437,"200"
R1,"ON",1543315875322,"204"
R1,"OFF",1543315881453,"204"
P1,"ON",1543315918029,"204"
E1,"OFF",1543315918378,"200"
P4,"ON",1543315935000,"200"
P1,"OFF",1543316041889,"204"
P4,"OFF",1543316043000,"200"
R1,"ON",1543316065514,"204"
R1,"OFF",1543316071870,"200"
P2,"ON",1543316112738,"204"
E2,"ON",1543316160529,"200"
P3,"ON",1543316162000,"200"
P3,"OFF",1543316229000,"200"
P2,"OFF",1543316243895,"204"
P3,"ON",1543316249000,"204"
P7,"ON",1543316314000,"200"
P7,"OFF",1543316388000,"200"
R6,"ON",1543316394000,"200"
R6,"OFF",1543316401000,"200"
P3,"OFF",1543316403000,"204"
R7,"ON",1543316409494,"200"
R7,"OFF",1543316413296,"200"
R7,"ON",1543316420103,"200"
R7,"OFF",1543316422592,"200"
R6,"ON",1543316451000,"200"
R6,"OFF",1543316455000,"200"
E2,"OFF",1543316456520,"204"
