ts_start,ts_end,location
1543315808487,1543315816083,HALL
1543315816084,1543315924671,KITCHEN
1543315924676,1543316050999,DINING_ROOM
1543316051147,1543316147978,KITCHEN
1543316147985,1543316149684,HALL
1543316149744,1543316151469,MEDICINE_AREA
1543316151501,1543316245331,LIVING_ROOM
1543316245341,1543316256209,MEDICINE_AREA
1543316256223,1543316265255,HALL
1543316265264,1543316272577,MEDICINE_AREA
1543316272591,1543316278208,LIVING_ROOM
1543316278301,1543316285984,OFFICE
1543316285997,1543316292425,LIVING_ROOM
1543316292467,1543316299764,MEDICINE_AREA
1543316299777,1543316308080,HALL
1543316308084,1543316311901,MEDICINE_AREA
1543316311921,1543316393966,LIVING_ROOM
1543316393976,1543316404173,MEDICINE_AREA
1543316404208,1543316406568,HALL
1543316406581,1543316425447,KITCHEN
1543316425466,1543316426579,HALL
1543316426625,1543316427946,MEDICINE_AREA
1543316427969,1543316448699,LIVING_ROOM
1543316448704,1543316456648,MEDICINE_AREA
1543316456661,1543316458938,LIVING_ROOM
1543316459043,1543316462118,MEDICINE_AREA
1543316462127,1543316463643,HALL
1543316463657,1543316467580,KITCHEN
1543316467599,1543316472049,HALL
1543316472055,1543316486246,MEDICINE_AREA
