value,ts
993.0639,1543315786154
993.18616,1543315786188
993.3092,1543315786222
993.10486,1543315786262
993.18427,1543315786298
993.3061,1543315786332
993.3506,1543315786361
993.0623,1543315786393
993.1623,1543315786428
993.2907,1543315786464
993.2993,1543315786496
993.2993,1543315786534
993.13586,1543315786565
993.2533,1543315786600
993.3607,1543315786634
993.38226,1543315786674
993.37354,1543315786709
993.308,1543315786741
993.3242,1543315786773
993.33374,1543315786806
993.3436,1543315786841
993.28284,1543315786879
993.3262,1543315786910
993.3379,1543315786944
993.38855,1543315786979
993.38214,1543315787014
993.3649,1543315787048
993.2727,1543315787089
993.4729,1543315787117
993.8172,1543315787152
993.8711,1543315787185
993.7782,1543315787220
993.6484,1543315787265
993.85175,1543315787294
993.8989,1543315787323
993.81445,1543315787359
993.60913,1543315787395
993.71155,1543315787429
993.8611,1543315787463
993.7187,1543315787506
993.8657,1543315787535
994.12146,1543315787568
994.19165,1543315787601
994.19165,1543315787635
994.1298,1543315787669
994.1623,1543315787721
993.96735,1543315787742
993.8996,1543315787775
993.7286,1543315787806
993.69434,1543315787841
993.6019,1543315787875
993.46045,1543315787910
993.23035,1543315787944
993.2319,1543315787978
993.326,1543315788013
993.12866,1543315788047
993.1951,1543315788087
993.32715,1543315788116
993.3163,1543315788154
993.1472,1543315788186
993.20593,1543315788221
993.22003,1543315788254
993.1763,1543315788288
993.3009,1543315788323
992.94464,1543315788358
993.12665,1543315788391
993.3346,1543315788427
993.43195,1543315788462
993.641,1543315788495
993.7012,1543315788529
993.95557,1543315788567
994.13,1543315788598
994.1131,1543315788634
994.12634,1543315788667
994.0398,1543315788702
993.4248,1543315788736
993.66,1543315788772
993.7372,1543315788805
993.63214,1543315788841
993.6054,1543315788874
993.4115,1543315788908
993.17175,1543315788943
992.9978,1543315788980
992.8474,1543315789011
992.6745,1543315789053
992.58655,1543315789081
992.6226,1543315789115
992.71545,1543315789149
992.6588,1543315789191
992.7049,1543315789219
992.76447,1543315789258
992.7056,1543315789288
992.6333,1543315789322
992.7073,1543315789361
992.7132,1543315789394
992.6779,1543315789427
992.70264,1543315789467
992.6528,1543315789495
992.61694,1543315789529
992.58984,1543315789568
992.62134,1543315789604
992.4769,1543315789634
992.48535,1543315789675
992.5677,1543315789702
992.5957,1543315789735
992.5857,1543315789772
992.4581,1543315789808
992.5608,1543315789847
992.6432,1543315789873
992.61633,1543315789913
992.5857,1543315789942
992.4059,1543315789976
992.5058,1543315790015
992.6038,1543315790048
992.6038,1543315790080
992.61285,1543315790118
992.4362,1543315790148
992.5349,1543315790184
992.61694,1543315790221
992.669,1543315790252
992.678,1543315790287
992.70514,1543315790321
992.5688,1543315790355
992.6708,1543315790390
992.76624,1543315790425
992.7744,1543315790459
992.7744,1543315790493
992.7567,1543315790528
992.7124,1543315790583
992.6415,1543315790598
992.7251,1543315790632
992.6665,1543315790669
992.7429,1543315790701
992.81866,1543315790735
992.77295,1543315790769
992.80225,1543315790803
992.68286,1543315790838
992.7429,1543315790884
992.9536,1543315790906
993.11206,1543315790946
993.185,1543315790975
993.2484,1543315791010
993.35443,1543315791044
993.51746,1543315791079
993.6739,1543315791113
993.62274,1543315791157
992.92834,1543315791183
993.07776,1543315791217
993.36255,1543315791300
993.3287,1543315791300
993.0396,1543315791320
993.0491,1543315791357
993.0182,1543315791389
993.10645,1543315791423
992.8792,1543315791458
992.97217,1543315791495
993.0223,1543315791526
993.0492,1543315791569
993.1024,1543315791596
993.20544,1543315791630
993.1926,1543315791664
993.2398,1543315791702
993.3721,1543315791736
992.94415,1543315791771
993.1958,1543315791803
993.37244,1543315791837
992.86035,1543315791871
992.965,1543315791912
992.99884,1543315791942
992.945,1543315791981
992.8932,1543315792009
992.6953,1543315792044
992.671,1543315792078
992.6957,1543315792117
992.5979,1543315792147
992.5674,1543315792186
992.63666,1543315792216
992.6517,1543315792251
992.7954,1543315792285
992.7875,1543315792322
992.766,1543315792353
992.7744,1543315792392
992.59515,1543315792423
992.5981,1543315792457
992.6964,1543315792492
992.51056,1543315792531
992.5955,1543315792560
992.4612,1543315792595
992.5529,1543315792630
992.6792,1543315792664
992.7317,1543315792715
992.10486,1543315792735
992.41473,1543315792767
992.73016,1543315792802
992.7219,1543315792838
992.758,1543315792872
992.81,1543315792908
992.8269,1543315792944
992.2252,1543315792977
992.60754,1543315793009
992.95483,1543315793045
992.95325,1543315793078
992.963,1543315793112
992.9546,1543315793151
992.9795,1543315793188
992.9615,1543315793215
992.99866,1543315793251
993.0417,1543315793291
993.05,1543315793319
993.068,1543315793354
993.07623,1543315793389
993.0582,1543315793424
993.0679,1543315793458
993.0403,1543315793494
993.08685,1543315793525
993.1067,1543315793561
993.1025,1543315793604
993.08453,1543315793628
993.0419,1543315793665
993.0853,1543315793699
993.2418,1543315793734
993.3174,1543315793768
993.34204,1543315793805
992.90625,1543315793837
993.07837,1543315793871
993.35364,1543315793905
993.44525,1543315794053
993.52405,1543315794053
993.5842,1543315794053
993.6638,1543315794053
993.79626,1543315794078
993.81525,1543315794114
994.00507,1543315794145
993.9916,1543315794182
993.2156,1543315794219
993.53656,1543315794248
993.7822,1543315794285
993.7283,1543315794318
993.621,1543315794352
993.3677,1543315794386
993.23755,1543315794422
993.2734,1543315794456
993.37244,1543315794493
993.3832,1543315794524
993.3649,1543315794560
993.2477,1543315794626
993.0079,1543315794628
993.2405,1543315794662
993.35004,1543315794701
993.4027,1543315794732
993.44366,1543315794768
993.61505,1543315794800
993.58014,1543315794837
993.7409,1543315794869
993.9654,1543315794909
993.9981,1543315794974
993.98663,1543315794974
993.8052,1543315795007
993.354,1543315795044
993.3719,1543315795075
993.33673,1543315795114
993.2389,1543315795147
993.2206,1543315795179
993.1665,1543315795296
993.0325,1543315795296
992.8407,1543315795297
992.3606,1543315795317
992.0897,1543315795359
992.6114,1543315795385
993.0105,1543315795423
993.0424,1543315795457
993.0412,1543315795491
992.9965,1543315795531
992.97125,1543315795558
992.97125,1543315795594
992.87164,1543315795628
992.92645,1543315795662
993.0073,1543315795698
992.9877,1543315795736
993.0871,1543315795765
993.1239,1543315795799
993.0704,1543315795835
993.05,1543315795868
993.0139,1543315795908
993.07874,1543315795942
993.24115,1543315795972
993.3803,1543315796006
993.9141,1543315796043
994.5282,1543315796075
995.2382,1543315796110
995.46844,1543315796144
995.3629,1543315796182
994.69653,1543315796215
993.91956,1543315796248
993.2933,1543315796281
992.8635,1543315796319
992.31885,1543315796352
992.25543,1543315796386
992.32825,1543315796420
992.46265,1543315796454
992.2813,1543315796488
992.5499,1543315796523
992.893,1543315796557
992.93604,1543315796593
992.9366,1543315796626
993.0621,1543315796663
992.9443,1543315796695
992.9205,1543315796731
992.963,1543315796764
992.8799,1543315796801
992.7926,1543315796846
992.5676,1543315796867
992.3374,1543315796902
992.4114,1543315796944
992.3479,1543315796983
992.4301,1543315797009
992.62177,1543315797039
992.804,1543315797077
993.244,1543315797108
993.69073,1543315797145
993.52924,1543315797181
993.2823,1543315797215
993.03827,1543315797252
993.1882,1543315797282
993.4525,1543315797316
993.5753,1543315797351
993.60114,1543315797396
993.25183,1543315797421
993.145,1543315797456
993.19434,1543315797487
993.21234,1543315797530
993.1688,1543315797560
993.2831,1543315797592
993.3192,1543315797629
993.18,1543315797659
993.22394,1543315797694
993.2195,1543315797731
993.2283,1543315797766
993.32556,1543315797798
993.41895,1543315797873
993.36255,1543315797873
993.2173,1543315797903
993.1861,1543315797938
993.1776,1543315797974
992.9687,1543315798004
992.55853,1543315798038
992.2305,1543315798073
992.5773,1543315798107
992.99854,1543315798143
992.8778,1543315798176
992.6213,1543315798211
992.53326,1543315798249
991.5302,1543315798283
992.02515,1543315798314
992.61694,1543315798354
992.608,1543315798384
992.532,1543315798417
992.3637,1543315798452
992.34656,1543315798487
992.8788,1543315798522
993.2599,1543315798557
993.27155,1543315798712
993.2288,1543315798712
992.896,1543315798712
992.59814,1543315798712
992.7125,1543315798731
992.7285,1543315798762
992.47156,1543315798798
993.4469,1543315798832
993.14026,1543315798865
992.7033,1543315798905
992.87634,1543315798939
993.2401,1543315798969
993.40106,1543315799005
993.40076,1543315799044
993.4431,1543315799075
993.50305,1543315799111
993.3929,1543315799142
993.18115,1543315799176
992.9982,1543315799210
993.0803,1543315799298
993.0427,1543315799298
992.96344,1543315799317
992.945,1543315799348
992.719,1543315799383
992.6891,1543315799417
992.77515,1543315799453
992.8454,1543315799485
992.8579,1543315799523
992.70074,1543315799556
992.6827,1543315799592
992.7046,1543315799623
992.67786,1543315799659
992.29626,1543315799698
992.4821,1543315799730
992.36743,1543315799761
992.4223,1543315799796
992.6602,1543315799830
992.7219,1543315799871
992.70416,1543315799900
992.7609,1543315799937
992.8177,1543315799968
992.9448,1543315800003
993.25073,1543315800046
993.5216,1543315800074
993.8835,1543315800106
994.2097,1543315800140
994.17053,1543315800175
994.0858,1543315800209
993.9401,1543315800249
992.6344,1543315800285
993.1251,1543315800312
993.71796,1543315800347
993.48584,1543315800383
