x,y,z,ts
9.658813,26.95465,12.663269,1543315786142
9.281921,27.23999,5.7022095,1543315786171
4.33197,29.234314,6.22406,1543315786234
8.018494,27.667236,1.8707275,1543315786262
8.215332,27.737427,1.2374878,1543315786292
7.2509766,28.40271,0.79803467,1543315786321
8.862305,28.900146,3.4210205,1543315786347
7.9055786,30.630493,9.339905,1543315786377
6.4346313,29.01764,2.4795532,1543315786434
9.294128,25.097656,4.4418335,1543315786464
3.805542,29.89502,0.30822754,1543315786494
2.5268555,29.226685,0.55999756,1543315786526
2.4017334,29.774475,4.1137695,1543315786553
2.1606445,30.978394,2.090454,1543315786582
0.51116943,30.175781,-1.4938354,1543315786644
-0.58898926,29.241943,0.27618408,1543315786673
-0.08239746,32.250977,1.3961792,1543315786710
-0.82092285,31.584167,2.7328491,1543315786731
-1.4129639,31.188965,6.613159,1543315786759
-2.7282715,30.467224,-1.5228271,1543315786789
-3.1097412,30.30243,-4.7668457,1543315786849
-4.307556,27.97699,-5.2261353,1543315786878
-3.227234,30.126953,-4.4418335,1543315786909
-3.4240723,32.600403,0.16326904,1543315786941
-6.57959,30.047607,-1.5960693,1543315786969
-6.552124,30.293274,-5.8166504,1543315786997
-3.5812378,29.042053,-5.8380127,1543315787027
-4.9331665,31.809998,-4.3273926,1543315787090
-4.88739,29.559326,-8.378601,1543315787116
-4.8706055,30.59082,-4.4555664,1543315787146
-3.2989502,27.941895,-4.576111,1543315787175
-6.326294,28.41034,-8.076477,1543315787204
-5.253601,27.897644,-8.888245,1543315787239
-3.9413452,25.257874,-11.625671,1543315787292
-6.0073853,25.364685,-14.886475,1543315787322
-6.5841675,25.476074,-15.216064,1543315787353
-9.429932,26.686096,-12.640381,1543315787381
-8.758545,25.994873,-13.941956,1543315787410
-6.842041,24.517822,-15.997314,1543315787440
-7.0022583,24.479675,-14.254761,1543315787508
-6.4804077,25.54779,-12.536621,1543315787534
-5.140686,23.783875,-11.976624,1543315787564
-5.0460815,22.92633,-11.393738,1543315787592
-7.30896,24.74823,-15.19928,1543315787619
-8.198547,23.32611,-16.130066,1543315787649
-8.67157,23.040771,-15.226746,1543315787722
-8.644104,23.283386,-12.358093,1543315787737
-8.987427,23.751831,-2.496338,1543315787770
-7.525635,22.383118,-11.669922,1543315787795
-7.382202,22.550964,-19.093323,1543315787826
-7.0785522,23.362732,-16.273499,1543315787857
-6.680298,23.474121,-16.471863,1543315787915
-6.930542,22.43042,-17.73529,1543315787943
-8.540344,19.67926,-17.20581,1543315787975
-9.939575,19.476318,-15.59906,1543315788003
-8.4991455,24.549866,-16.563416,1543315788033
-9.260559,23.623657,-17.440796,1543315788063
-8.256531,24.85199,-14.700317,1543315788122
-9.629822,22.453308,-13.243103,1543315788153
-9.405518,20.796204,-6.5216064,1543315788180
-7.0983887,29.179382,-3.3493042,1543315788213
-7.406616,30.107117,-1.953125,1543315788240
-6.958008,27.293396,-7.9833984,1543315788269
-6.4331055,26.545715,-8.636475,1543315788332
-3.1143188,27.180481,-8.473206,1543315788359
0.73547363,25.219727,-9.16748,1543315788387
5.2215576,23.912048,-7.066345,1543315788415
4.711914,30.293274,-8.639526,1543315788456
4.4799805,25.382996,-9.364319,1543315788478
9.739685,20.002747,-20.126343,1543315788534
9.941101,15.045166,-21.11206,1543315788565
11.531067,12.872314,-23.516846,1543315788596
11.772156,14.0182495,-22.76001,1543315788623
12.890625,11.99646,-22.587585,1543315788654
13.549805,8.436584,-23.843384,1543315788684
13.461304,6.7092896,-22.914124,1543315788745
13.15918,5.1345825,-15.048218,1543315788772
13.490295,4.109192,-21.257019,1543315788802
13.111877,6.500244,-23.472595,1543315788832
13.4262085,6.6436768,-23.236084,1543315788861
13.83667,5.2703857,-24.835205,1543315788889
14.228821,4.5684814,-24.299622,1543315788951
15.353394,5.232239,-22.55249,1543315788980
17.588806,7.6141357,-18.595886,1543315789011
15.882874,7.6644897,-22.439575,1543315789038
16.368103,8.071899,-21.57135,1543315789072
16.493225,9.567261,-20.33081,1543315789101
17.00592,10.26001,-19.880676,1543315789132
18.037415,12.110901,-17.617798,1543315789190
17.141724,13.490295,-17.32788,1543315789218
16.148376,14.324951,-16.694641,1543315789246
17.007446,14.205933,-14.996338,1543315789279
16.34674,11.973572,-13.143921,1543315789305
16.992188,14.076233,-15.348816,1543315789338
16.37268,15.489197,-15.020752,1543315789395
17.315674,15.1901245,-14.729309,1543315789424
16.828918,15.625,-13.964844,1543315789455
16.7099,15.74707,-13.119507,1543315789485
16.7099,17.141724,-13.061523,1543315789514
18.148804,17.55066,-8.700562,1543315789542
14.964294,17.181396,-12.59613,1543315789604
14.328003,19.496155,-10.435486,1543315789629
14.361572,20.986938,-6.6497803,1543315789659
14.427185,17.430115,-7.218933,1543315789689
13.537598,20.555115,-9.796143,1543315789721
12.522888,22.576904,-9.672546,1543315789751
10.295105,20.489502,-4.977417,1543315789809
9.416199,22.731018,1.5304565,1543315789844
10.61554,23.228455,-6.428528,1543315789869
9.275818,23.626709,-5.406189,1543315789895
9.60083,23.950195,-5.6671143,1543315789927
9.359741,24.131775,-6.086731,1543315789954
8.982849,23.043823,-5.8883667,1543315790015
7.5546265,22.502136,-0.04272461,1543315790048
7.4523926,22.480774,-5.091858,1543315790072
9.448242,24.145508,-7.6187134,1543315790105
8.055115,23.919678,-7.4676514,1543315790135
8.226013,23.176575,-7.673645,1543315790216
7.7713013,23.506165,-2.6474,1543315790221
8.039856,21.099854,-6.6345215,1543315790251
6.085205,23.851013,-7.3516846,1543315790283
5.7632446,23.710632,-7.8063965,1543315790309
5.731201,22.688293,-8.973694,1543315790340
5.2246094,22.859192,-9.054565,1543315790373
3.0532837,28.712463,-4.1519165,1543315790434
6.025696,21.97876,-5.181885,1543315790459
4.219055,22.071838,-9.967041,1543315790487
4.246521,22.044373,-9.706116,1543315790519
3.479004,22.943115,-9.829712,1543315790550
2.935791,23.953247,-8.366394,1543315790584
3.2287598,23.937988,-7.8948975,1543315790639
0.9841919,23.28949,-1.486206,1543315790671
0.9094238,20.974731,-4.925537,1543315790696
-0.23956299,19.685364,-4.510498,1543315790726
1.7456055,23.139954,-6.8222046,1543315790759
0.9689331,23.867798,-5.430603,1543315790785
-2.0126343,20.057678,-2.4124146,1543315790814
-1.1642456,22.04895,-1.7990112,1543315790885
-1.902771,23.58551,6.239319,1543315790905
-0.84228516,23.67096,-1.2359619,1543315790945
-1.3168335,24.162292,-3.9154053,1543315790961
1.210022,21.490479,0.43945312,1543315790993
-1.9973755,20.202637,-1.5945435,1543315791023
-2.4597168,22.807312,-2.999878,1543315791079
-1.9165039,22.273254,-5.8898926,1543315791108
-1.876831,19.82727,-4.562378,1543315791139
-0.932312,22.157288,-9.634399,1543315791169
-1.9592285,21.603394,-11.105347,1543315791203
-2.0950317,27.037048,-6.025696,1543315791227
-1.6418457,23.03772,-11.245728,1543315791289
-0.40283203,23.786926,-8.514404,1543315791316
-2.0080566,23.016357,-6.8969727,1543315791345
-1.7166138,23.561096,-9.385681,1543315791374
0.47302246,21.095276,-11.90033,1543315791405
-1.6693115,17.59491,-10.53009,1543315791438
-0.579834,22.090149,-10.684204,1543315791494
-3.0090332,20.896912,-6.941223,1543315791522
-0.9277344,22.207642,-9.275818,1543315791557
-0.8453369,23.895264,-8.352661,1543315791581
-0.43182373,23.648071,-7.9223633,1543315791611
-1.0574341,23.416138,-8.84552,1543315791641
-0.11444092,23.588562,-7.9330444,1543315791702
-0.33416748,24.319458,-7.1914673,1543315791736
1.3122559,23.356628,-9.5703125,1543315791760
1.9180298,23.20404,-10.235596,1543315791790
-1.6677856,26.116943,-6.7626953,1543315791820
