x,y,z,ts
-0.05250778,0.06105556,0.039075557,1542732867564
0.04151778,-0.009768889,0.05250778,1542732867593
0.08425667,-0.026864445,0.098910004,1542732867623
-0.0036633336,0.023201112,0.13310112,1542732867660
-0.12089001,0.09402556,0.11966889,1542732867723
-0.21735778,0.14042778,0.06349778,1542732867723
-0.20881,0.12943779,0.0012211112,1542732867743
-0.10501556,0.047623336,-0.024422223,1542732867774
0.042738892,-0.06716111,-0.036633335,1542732867809
0.12699556,-0.15752333,-0.034191113,1542732867845
0.14409111,-0.17584,-0.019537779,1542732867861
0.09280445,-0.12821667,-0.015874445,1542732867891
-0.01099,-0.036633335,-0.017095556,1542732867924
-0.09280445,0.057392225,-0.02075889,1542732867951
-0.16118668,0.117226675,-0.03174889,1542732867981
-0.15874445,0.11600556,-0.04396,1542732868026
-0.085477784,0.064718895,-0.054950003,1542732868040
-0.0036633336,-0.007326667,-0.054950003,1542732868069
0.04396,-0.059834447,-0.046402223,1542732868102
0.06594,-0.07693,-0.054950003,1542732868132
0.037854444,-0.06349778,-0.051286668,1542732868159
0.01099,-0.034191113,-0.045181114,1542732868190
-0.009768889,-0.013432222,-0.04151778,1542732868217
-0.0036633336,-0.009768889,-0.037854444,1542732868326
0.01099,-0.01099,-0.029306669,1542732868329
0.018316668,-0.017095556,-0.023201112,1542732868333
0.03052778,-0.015874445,-0.024422223,1542732868346
0.023201112,-0.0036633336,-0.023201112,1542732868377
0.01099,0.013432222,-0.019537779,1542732868407
-0.0061055557,0.017095556,-0.02198,1542732868441
0.0036633336,0.02075889,-0.025643334,1542732868468
-0.0012211112,0.018316668,-0.02075889,1542732868494
0.0036633336,0.019537779,-0.019537779,1542732868524
0.0036633336,0.019537779,-0.017095556,1542732868553
0.0061055557,0.014653334,-0.015874445,1542732868606
0.023201112,0.0024422223,-0.015874445,1542732868616
0.024422223,-0.01099,-0.019537779,1542732868650
0.026864445,-0.018316668,-0.017095556,1542732868672
0.03297,-0.02198,-0.018316668,1542732868709
0.015874445,-0.02198,-0.02075889,1542732868733
0.02075889,-0.013432222,-0.023201112,1542732868771
0.0048844446,-0.014653334,-0.02075889,1542732868793
0.017095556,-0.014653334,-0.026864445,1542732868822
0.0061055557,-0.017095556,-0.03174889,1542732868852
0.014653334,-0.018316668,-0.03052778,1542732868881
0.015874445,-0.01099,-0.03174889,1542732868910
0.015874445,-0.007326667,-0.028085556,1542732868952
0.0048844446,-0.007326667,-0.03052778,1542732868970
0.009768889,-0.0024422223,-0.02075889,1542732869002
0.0061055557,-0.0048844446,-0.017095556,1542732869028
0.015874445,-0.0012211112,-0.019537779,1542732869058
0.015874445,-0.007326667,-0.018316668,1542732869090
0.0024422223,-0.0036633336,-0.009768889,1542732869130
0.0,0.0012211112,-0.015874445,1542732869147
0.0012211112,0.0061055557,-0.015874445,1542732869178
-0.0036633336,0.014653334,-0.012211111,1542732869206
-0.015874445,0.02075889,-0.0061055557,1542732869238
-0.017095556,0.03052778,-0.007326667,1542732869268
-0.023201112,0.036633335,-0.0036633336,1542732869318
-0.018316668,0.035412222,0.0036633336,1542732869335
-0.013432222,0.029306669,-0.0012211112,1542732869378
-0.007326667,0.019537779,0.0,1542732869398
0.0,0.009768889,0.0024422223,1542732869428
-0.007326667,0.0061055557,-0.0012211112,1542732869456
-0.0012211112,0.007326667,0.0061055557,1542732869487
-0.0061055557,0.013432222,-0.0024422223,1542732869533
0.0,0.015874445,0.0024422223,1542732869546
-0.018316668,0.026864445,0.008547778,1542732869574
-0.03174889,0.03174889,0.0,1542732869605
-0.02075889,0.03297,-0.009768889,1542732869632
-0.009768889,0.028085556,-0.0012211112,1542732869666
-0.0036633336,0.025643334,0.0048844446,1542732869696
-0.009768889,0.023201112,0.0061055557,1542732869724
-0.012211111,0.029306669,0.0036633336,1542732869755
-0.034191113,0.026864445,-0.0048844446,1542732869784
-0.017095556,0.017095556,0.014653334,1542732869812
-0.0012211112,0.012211111,0.0061055557,1542732869840
0.0,0.008547778,0.0048844446,1542732869883
-0.0048844446,0.008547778,-0.0061055557,1542732869904
-0.013432222,0.0061055557,-0.0061055557,1542732869957
-0.01099,0.009768889,-0.0048844446,1542732869960
-0.018316668,0.018316668,-0.012211111,1542732869988
-0.012211111,0.025643334,-0.009768889,1542732870019
-0.012211111,0.019537779,-0.009768889,1542732870050
-0.012211111,0.018316668,-0.015874445,1542732870081
-0.02075889,0.012211111,-0.007326667,1542732870111
-0.02075889,0.014653334,-0.007326667,1542732870141
-0.0061055557,0.009768889,0.0,1542732870166
-0.0012211112,0.01099,-0.0024422223,1542732870224
0.0,0.0024422223,0.0012211112,1542732870230
-0.0061055557,0.0012211112,-0.0024422223,1542732870257
-0.0048844446,0.009768889,-0.0012211112,1542732870300
-0.019537779,0.013432222,-0.007326667,1542732870324
-0.019537779,0.012211111,-0.009768889,1542732870356
-0.024422223,0.012211111,-0.0036633336,1542732870389
-0.008547778,0.01099,-0.013432222,1542732870413
-0.0048844446,0.012211111,-0.02198,1542732870444
0.0,0.01099,-0.01099,1542732870479
-0.0061055557,0.014653334,-0.0012211112,1542732870523
-0.01099,0.015874445,-0.007326667,1542732870532
-0.0036633336,0.018316668,-0.008547778,1542732870564
-0.007326667,0.017095556,0.0024422223,1542732870592
-0.0036633336,0.015874445,-0.0012211112,1542732870621
0.0012211112,0.008547778,-0.0036633336,1542732870651
0.01099,0.0012211112,-0.0024422223,1542732870682
0.018316668,0.0012211112,-0.0048844446,1542732870725
0.012211111,0.008547778,-0.0024422223,1542732870740
0.0024422223,0.009768889,-0.007326667,1542732870771
-0.0012211112,0.018316668,-0.01099,1542732870813
0.007326667,0.01099,-0.009768889,1542732870831
0.013432222,0.0012211112,-0.015874445,1542732870865
0.0048844446,0.0024422223,-0.024422223,1542732870919
0.007326667,-0.0061055557,-0.023201112,1542732870923
0.018316668,-0.009768889,-0.026864445,1542732870948
0.014653334,-0.012211111,-0.02198,1542732870981
0.014653334,-0.014653334,-0.025643334,1542732871023
0.014653334,-0.018316668,-0.025643334,1542732871036
0.008547778,-0.02198,-0.029306669,1542732871073
0.015874445,-0.023201112,-0.03297,1542732871100
0.018316668,-0.018316668,-0.03174889,1542732871131
0.0048844446,-0.015874445,-0.024422223,1542732871155
0.0024422223,-0.008547778,-0.02198,1542732871190
-0.0012211112,-0.008547778,-0.02075889,1542732871216
0.0024422223,-0.0061055557,-0.03174889,1542732871247
0.017095556,-0.013432222,-0.03174889,1542732871297
0.018316668,-0.008547778,-0.023201112,1542732871316
0.013432222,-0.0048844446,-0.019537779,1542732871349
