sensor_id,sensor_status,ts,subject_id
R5,"ON",1543847217814,"201"
P2,"ON",1543847221243,"204"
R5,"OFF",1543847221795,"201"
E1,"ON",1543847235810,"201"
R1,"ON",1543847237864,"201"
R1,"OFF",1543847253643,"201"
P3,"ON",1543847263000,"206"
E2,"ON",1543847266819,"206"
R2,"ON",1543847285329,"203"
R2,"OFF",1543847289984,"203"
R7,"ON",1543847291741,"203"
R1,"ON",1543847292324,"201"
R1,"OFF",1543847296376,"201"
R7,"OFF",1543847299059,"203"
R1,"ON",1543847309482,"201"
R1,"OFF",1543847312495,"201"
R2,"ON",1543847322088,"201"
R2,"OFF",1543847326982,"201"
R7,"ON",1543847346606,"201"
R7,"OFF",1543847350938,"201"
R7,"ON",1543847367654,"201"
R7,"OFF",1543847371023,"201"
P3,"OFF",1543847375000,"206"
E2,"OFF",1543847375815,"206"
P2,"OFF",1543847377169,"204"
E1,"OFF",1543847377825,"201"
P6,"ON",1543847378000,"203"
R5,"ON",1543847380159,"201"
R5,"OFF",1543847382499,"201"
P1,"ON",1543847397447,"206"
P4,"ON",1543847402000,"204"
P5,"ON",1543847443000,"201"
P1,"OFF",1543847556331,"206"
P4,"OFF",1543847558000,"204"
P5,"OFF",1543847560000,"201"
P6,"OFF",1543847560000,"203"
P3,"ON",1543847578000,"203"
P2,"ON",1543847578273,"206"
E2,"ON",1543847580813,"203"
R7,"ON",1543847614648,"204"
R7,"OFF",1543847619850,"204"
P3,"OFF",1543847735000,"203"
