x,y,z,ts
0.51579994,0.66876125,0.011541688,1544016847684
0.5946016,0.42197165,-0.13750944,1544016847710
0.5255738,0.04018088,-0.298167,1544016847739
0.2519062,-0.21699338,-0.37635776,1544016847769
-0.06696549,-0.39414433,-0.361697,1544016847801
-0.17081258,-0.41063768,-0.36597303,1544016847831
-0.137215,-0.40575072,-0.32382333,1544016847863
-0.08651318,-0.43629402,-0.37269256,1544016847893
-0.06940895,-0.49676967,-0.4771505,1544016847923
-0.23922949,-0.4576743,-0.4985308,1544016847952
-0.51534057,-0.33916643,-0.406901,1544016847980
-0.65706134,-0.12780707,-0.23341526,1544016848010
-0.5306122,0.054230787,-0.16988528,1544016848068
-0.418213,0.12264769,-0.21753277,1544016848072
-0.5073993,0.038348287,-0.29205835,1544016848100
-0.6460657,-0.17545454,-0.3647513,1544016848135
-0.69004804,-0.40025297,-0.39834887,1544016848160
-0.68760455,-0.4491222,-0.4789831,1544016848189
-0.7071523,-0.4876067,-0.7477638,1544016848222
-1.2349398,-0.43873745,-0.7691441,1544016848252
-2.172618,-0.6824727,-0.3965163,1544016848281
-2.3198364,-1.3672527,-0.35681006,1544016848311
-0.83360136,-1.6800157,-0.84428054,1544016848340
0.7204398,-1.3269355,-1.3806202,1544016848370
1.1242217,-0.8400759,-1.3109815,1544016848400
-0.20502104,-0.617721,-0.5486218,1544016848430
-1.6900344,-0.5169282,-0.11979434,1544016848463
-2.3625972,-0.2835777,-0.011671191,1544016848491
-2.5910609,-0.22004771,0.12516262,1544016848521
-2.443842,-0.3342795,0.06590869,1544016848550
-1.7651709,-0.33916643,-0.21081327,1544016848581
-1.0834453,-0.33061433,-0.5461783,1544016848610
-1.2599853,-0.6012276,-0.5541195,1544016848640
-1.5611418,-0.9347601,-0.59199315,1544016848674
-1.2569311,-1.0355529,-0.67201656,1544016848700
-0.76762795,-1.0581548,-0.68179035,1544016848732
-0.27771398,-0.9842401,-0.6439167,1544016848762
0.03321641,-0.8083109,-0.5596173,1544016848792
-0.11522385,-0.63421434,-0.49425474,1544016848821
-0.577038,-0.44606784,-0.38674247,1544016848851
-0.7767909,-0.28602114,-0.22791749,1544016848883
-0.654007,-0.13330483,0.061632637,1544016848912
-0.5471056,0.049954727,0.39883026,1544016848942
-0.84337527,0.0035289687,0.49351436,1544016848973
-0.8617012,-0.11742235,0.5155055,1544016849004
-0.1616496,-0.12475273,0.43914738,1544016849032
0.62881,0.10615433,0.25527692,1544016849061
0.7412092,0.34805697,0.40921497,1544016849091
0.25007358,0.48733422,0.60041577,1544016849120
0.31360355,0.70174795,0.61568743,1544016849152
0.7754177,0.9570896,0.658448,1544016849181
0.96234244,0.99801755,0.8209381,1544016849212
0.83955854,0.8520208,0.98831517,1544016849242
0.810237,0.8379709,1.0353518,1544016849272
0.83711505,0.973583,0.9785414,1544016849302
0.746707,1.0658236,0.9131788,1544016849332
0.49441966,1.0988103,0.8288794,1544016849364
-0.04130915,0.9705286,0.67433053,1544016849391
-0.45058888,0.79337776,0.48923832,1544016849424
-0.64117885,0.65043527,0.2400053,1544016849450
-0.7315869,0.4323564,-0.08069897,1544016849480
-0.74258244,0.1770147,-0.3629187,1544016849514
-0.7224239,-0.21760425,-0.7074467,1544016849543
-0.6863829,-0.58412343,-0.9682862,1544016849574
-0.6515635,-0.9011625,-1.1967498,1544016849601
-0.72425646,-1.0722047,-1.4661413,1544016849631
-1.166523,-1.1784953,-1.721483,1544016849664
-1.6863693,-1.3397636,-1.8192214,1544016849692
-1.9795846,-1.6610788,-1.5296713,1544016849722
-1.6839257,-1.5639513,-1.2040802,1544016849752
-1.3302349,-1.3330442,-0.8357284,1544016849783
-0.8934662,-0.93598175,-0.31221688,1544016849812
-0.42737597,-0.32084048,0.07751514,1544016849844
-0.4237108,0.21122314,0.2662725,1544016849872
-1.0822235,0.28513786,0.36401093,1544016849902
-1.4933358,0.15013662,0.4214323,1544016849932
-1.2019532,0.14769316,0.40066284,1544016849963
-0.69554585,0.18312335,0.22290106,1544016849994
-0.30886814,0.17884728,-0.023888497,1544016850022
-0.12927374,0.037126556,-0.15827885,1544016850052
-0.09934135,-0.118033215,-0.12956817,1544016850083
