x,y,z,ts
0.08792052,-0.6031287,-0.5491826,1544016852238
0.11390731,-0.63612354,-0.32849118,1544016852238
0.29337665,-0.60303557,-0.056278612,1544016852269
0.48820284,-0.4692102,-0.100393236,1544016852300
0.29153237,-0.27408314,-0.38633162,1544016852300
0.093699716,-0.14177084,-0.32493225,1544016852329
0.40603876,-0.18340626,0.06072329,1544016852360
0.6504229,-0.1576441,0.068979554,1544016852361
0.239424,0.059252154,-0.32709742,1544016852389
-0.068194985,0.17343822,-0.16145393,1544016852421
0.2862283,0.05809699,0.17731203,1544016852421
0.7053592,-0.078724824,-0.13070163,1544016852452
0.4808619,0.0005793048,-0.30780128,1544016852482
-0.046507515,0.06564928,-0.2547992,1544016852482
-0.23305352,-0.0340894,-0.05060345,1544016852511
-0.18653217,-0.1315326,-0.07463414,1544016852541
-0.29283708,-0.12453626,-0.46510604,1544016852541
-0.5992204,-0.06139104,-0.77311677,1544016852570
-0.7814013,-0.15521213,-0.5976219,1544016852602
-0.74689865,-0.28535232,-0.36092255,1544016852602
-0.7591717,-0.34479317,-0.293631,1544016852631
-0.7447894,-0.3584182,-0.6252023,1544016852664
-0.64760137,-0.3567081,-0.71472794,1544016852664
-0.49583143,-0.48244518,-0.40377554,1544016852693
-0.38861826,-0.5556956,-0.14988846,1544016852724
-0.3379177,-0.52574164,-0.0810407,1544016852724
-0.22805162,-0.43430403,-0.1737135,1544016852752
-0.052159686,-0.35652122,-0.17144907,1544016852785
0.07815672,-0.32643062,-0.17148675,1544016852785
0.071393155,-0.20905942,-0.18198843,1544016852821
0.0178492,-0.008491878,-0.30359223,1544016852846
0.014179723,0.091092244,-0.34599325,1544016852846
-0.0051124697,0.16098614,-0.30246788,1544016852879
0.004821095,0.28185424,-0.4978583,1544016852879
0.09233279,0.3507315,-0.7344775,1544016852905
0.18132928,0.32376614,-0.6133161,1544016852934
0.16201243,0.21031025,-0.3570265,1544016852934
0.10999566,0.20440833,-0.2051484,1544016852966
0.13125849,0.23147413,-0.034224436,1544016852966
0.2420501,0.27741966,-0.11847004,1544016852994
0.32374498,0.4183101,-0.3479101,1544016853026
0.30018485,0.50263685,-0.32144815,1544016853026
0.29813907,0.46540567,-0.26344204,1544016853055
0.3933192,0.4447721,-0.33695424,1544016853090
0.4153602,0.4945072,-0.42584714,1544016853090
0.36782458,0.4615501,-0.47345397,1544016853117
0.3846524,0.4237886,-0.39584392,1544016853151
0.35283238,0.4061262,-0.40450376,1544016853151
0.25009614,0.45427477,-0.51855296,1544016853177
0.17174673,0.5103674,-0.55933124,1544016853209
0.116707824,0.4840244,-0.47642788,1544016853209
0.13437207,0.4439025,-0.50584924,1544016853239
0.1504324,0.4442987,-0.62894464,1544016853270
0.0545582,0.4776523,-0.5878886,1544016853270
-0.021573814,0.4857725,-0.4871068,1544016853299
0.016145764,0.42227697,-0.4860979,1544016853330
0.052548073,0.42868075,-0.45865273,1544016853330
0.03311932,0.4122146,-0.40736347,1544016853359
0.04036317,0.3763736,-0.34828523,1544016853390
0.07483954,0.36215934,-0.27028516,1544016853391
0.12726042,0.29073903,-0.24693424,1544016853421
0.15070876,0.2364156,-0.21964839,1544016853454
0.10031659,0.2609256,-0.243042,1544016853454
0.029286005,0.32473058,-0.23628317,1544016853480
0.026663648,0.31123462,-0.13948674,1544016853513
0.06527163,0.27677652,-0.15111308,1544016853513
0.06852323,0.33593965,-0.2622044,1544016853542
0.07630835,0.34502873,-0.29026458,1544016853573
0.06128125,0.30908552,-0.29191574,1544016853573
0.022142978,0.31059664,-0.34558448,1544016853601
0.005148834,0.3232172,-0.3828506,1544016853640
0.0074783578,0.32296234,-0.38159895,1544016853640
0.0037818116,0.28684807,-0.36894006,1544016853662
-0.029362045,0.2721383,-0.34890506,1544016853696
-0.05625379,0.28661317,-0.34392115,1544016853696
-0.051366445,0.27987576,-0.31092495,1544016853725
-0.057179105,0.2976515,-0.2839142,1544016853754
-0.10153567,0.34856927,-0.26322466,1544016853754
-0.20076156,0.36261618,-0.2303612,1544016853783
-0.27495176,0.35271606,-0.15087722,1544016853819
-0.2509643,0.3426891,0.012957276,1544016853819
-0.22447042,0.3139402,0.046647914,1544016853845
-0.22213519,0.30881917,-0.0102845235,1544016853876
-0.17989396,0.30279672,-0.009962993,1544016853876
-0.12814836,0.25225964,-0.026214406,1544016853905
-0.13501312,0.22443976,0.01235191,1544016853937
-0.22266866,0.23731181,0.00941957,1544016853937
-0.32344225,0.2726493,-0.07387217,1544016853965
-0.34510404,0.28990534,-0.081408836,1544016854000
-0.31610653,0.24873394,-0.059682537,1544016854000
-0.24715365,0.23022933,-0.088136174,1544016854028
-0.14705339,0.24976528,-0.19600204,1544016854058
-0.055480722,0.20986696,-0.26532823,1544016854058
0.07763496,0.17723444,-0.26671463,1544016854086
0.2095134,0.15567954,-0.37446716,1544016854119
0.20933919,0.15657984,-0.35402492,1544016854119
0.13826616,0.14755994,-0.29720515,1544016854148
0.11901013,0.16473594,-0.38787803,1544016854183
0.17164657,0.20722184,-0.408502,1544016854183
0.21799167,0.22246587,-0.49378398,1544016854210
0.21408631,0.23101789,-0.5655787,1544016854241
0.15826188,0.22477348,-0.43632555,1544016854241
0.14619231,0.2527222,-0.45361203,1544016854270
0.18466178,0.3431396,-0.56198746,1544016854301
0.22480036,0.42122868,-0.53532934,1544016854301
0.259996,0.44778982,-0.4788983,1544016854332
0.32035673,0.48371133,-0.33999932,1544016854361
0.43230978,0.5316829,-0.3219754,1544016854361
0.4984886,0.6018603,-0.4200675,1544016854390
0.4628669,0.68962497,-0.35141918,1544016854423
