value,ts
1009.02374,1544016852280
1009.0258,1544016852382
1009.0258,1544016852482
1009.026,1544016852578
1009.026,1544016852678
1009.02435,1544016852777
1009.02295,1544016852881
1009.01746,1544016852976
1009.01746,1544016853076
1009.0281,1544016853175
1009.0277,1544016853274
1009.0277,1544016853373
1009.02264,1544016853474
1009.0193,1544016853573
1009.0193,1544016853678
1009.01733,1544016853772
1009.02264,1544016853870
1009.0193,1544016853972
1009.0158,1544016854070
1009.0105,1544016854172
1009.0105,1544016854270
1009.01086,1544016854368
1009.00574,1544016854467
1009.0075,1544016854568
1009.0037,1544016854668
1009.0037,1544016854766
1009.0037,1544016854866
1009.00555,1544016854966
1009.00555,1544016855065
1009.0071,1544016855162
1009.0034,1544016855263
1009.0017,1544016855361
1009.0017,1544016855464
1008.99835,1544016855567
1008.9971,1544016855659
1008.9933,1544016855758
1009.00006,1544016855858
1009.0017,1544016855957
1009.0017,1544016856059
1009.0017,1544016856156
1009.0154,1544016856259
1009.01904,1544016856356
1009.02405,1544016856459
1009.0207,1544016856555
1009.0224,1544016856654
1009.0224,1544016856754
1009.0207,1544016856857
1009.01013,1544016856951
1009.01385,1544016857051
1009.0105,1544016857152
1009.0105,1544016857250
1009.01385,1544016857349
1009.01385,1544016857449
1009.01013,1544016857548
1009.01215,1544016857649
1009.01385,1544016857747
1009.0154,1544016857847
1009.0154,1544016857952
1009.0169,1544016858046
1009.0154,1544016858147
1009.0098,1544016858247
1009.01355,1544016858345
1009.01324,1544016858443
1009.01184,1544016858542
1009.01355,1544016858642
1009.0051,1544016858744
1009.0048,1544016858840
1009.0081,1544016858942
1009.0048,1544016859040
1008.9997,1544016859138
1008.9962,1544016859242
1008.9997,1544016859337
1009.0048,1544016859437
1009.0098,1544016859536
1009.01495,1544016859635
1009.01154,1544016859735
1009.0098,1544016859836
1009.0187,1544016859934
1009.0204,1544016860032
1009.0183,1544016860134
1009.01996,1544016860232
1009.0288,1544016860331
1009.0288,1544016860430
1009.03046,1544016860529
1009.0339,1544016860629
1009.0423,1544016860730
1009.04913,1544016860829
1009.0542,1544016860933
1009.0525,1544016861028
1009.0542,1544016861127
1009.0525,1544016861225
1009.0542,1544016861327
1009.0626,1544016861426
1009.06433,1544016861524
1009.06976,1544016861624
1009.06976,1544016861724
1009.0715,1544016861826
1009.06976,1544016861924
1009.06976,1544016862023
1009.07104,1544016862120
1009.07104,1544016862220
1009.0661,1544016862321
1009.06433,1544016862420
1009.06946,1544016862520
1009.07104,1544016862618
1009.07104,1544016862717
1009.06946,1544016862816
1009.0661,1544016862917
1009.0661,1544016863016
1009.05896,1544016863115
1009.0606,1544016863217
1009.0676,1544016863313
1009.0673,1544016863414
1009.05896,1544016863512
1009.0536,1544016863612
1009.0572,1544016863710
1009.05756,1544016863811
1009.05597,1544016863910
1009.05927,1544016864010
1009.061,1544016864108
1009.0556,1544016864207
1009.0556,1544016864311
1009.0505,1544016864406
1009.04535,1544016864508
1009.0473,1544016864606
1009.04913,1544016864706
1009.04913,1544016864804
1009.04364,1544016864903
1009.0458,1544016865004
1009.04407,1544016865101
1009.042,1544016865201
1009.0458,1544016865302
1009.03687,1544016865403
1009.03687,1544016865500
1009.0357,1544016865599
1009.0407,1544016865699
1009.04407,1544016865798
1009.0473,1544016865899
1009.0458,1544016865997
1009.04407,1544016866099
1009.04364,1544016866197
1009.04407,1544016866295
1009.0407,1544016866398
1009.0339,1544016866496
1009.0339,1544016866596
1009.0339,1544016866698
1009.02844,1544016866792
1009.02826,1544016866892
1009.0249,1544016866993
1009.02313,1544016867091
1009.0267,1544016867191
1009.0249,1544016867290
1009.0197,1544016867388
1009.02844,1544016867487
1009.02515,1544016867587
1009.02167,1544016867688
1009.0233,1544016867789
1009.0233,1544016867888
1009.02167,1544016867986
1009.0183,1544016868086
1009.01654,1544016868185
1009.01324,1544016868283
1009.0183,1544016868384
1009.02167,1544016868482
1009.02515,1544016868581
1009.02844,1544016868683
1009.03357,1544016868780
1009.0316,1544016868881
1009.02826,1544016868981
1009.02484,1544016869080
1009.0316,1544016869179
1009.03326,1544016869277
1009.0316,1544016869377
1009.0265,1544016869476
1009.018,1544016869576
1009.0163,1544016869675
1009.0163,1544016869775
1009.0163,1544016869876
1009.02167,1544016869974
1009.01996,1544016870074
1009.01996,1544016870171
1009.01996,1544016870277
1009.01294,1544016870372
1009.01654,1544016870471
1009.01465,1544016870569
1009.0096,1544016870669
1009.00616,1544016870768
1009.0113,1544016870867
1009.0096,1544016870971
1009.0046,1544016871067
1009.0046,1544016871169
1009.0046,1544016871265
1009.0011,1544016871364
1008.99945,1544016871464
1008.9943,1544016871563
1008.99774,1544016871663
1008.996,1544016871762
1008.99805,1544016871863
1008.9943,1544016871961
1008.98755,1544016872060
1008.9909,1544016872160
1008.9926,1544016872259
1008.996,1544016872358
1008.996,1544016872461
1009.0028,1544016872558
1009.00616,1544016872657
1009.0048,1544016872756
1009.00305,1544016872855
1009.0014,1544016872960
1009.0014,1544016873054
1009.00305,1544016873153
1009.01013,1544016873252
1009.01013,1544016873354
1009.0068,1544016873451
1009.0051,1544016873551
1009.00006,1544016873652
1009.0034,1544016873749
1009.00006,1544016873850
1009.0017,1544016873948
1009.0017,1544016874052
1009.00555,1544016874147
1009.00555,1544016874246
1009.00555,1544016874345
1009.0071,1544016874446
1009.00555,1544016874544
1009.0089,1544016874644
1009.0089,1544016874747
1009.00555,1544016874843
1009.0037,1544016874944
1009.0006,1544016875044
1008.99896,1544016875142
1008.9956,1544016875242
1008.9922,1544016875341
1008.99585,1544016875441
1008.9976,1544016875539
1009.00446,1544016875639
1008.99725,1544016875739
1008.99927,1544016875839
1009.0015,1544016875940
1009.0026,1544016876037
1009.001,1544016876138
1009.0026,1544016876236
1009.00836,1544016876337
1009.0117,1544016876434
1009.0101,1544016876534
1009.0103,1544016876633
1009.01544,1544016876734
1009.0137,1544016876832
1009.012,1544016876931
1009.00854,1544016877032
1009.01575,1544016877131
1009.01575,1544016877248
1009.0174,1544016877329
1009.0137,1544016877429
1009.01575,1544016877529
1009.01575,1544016877626
1009.0191,1544016877727
1009.02594,1544016877827
1009.02594,1544016877926
1009.01575,1544016878024
1009.01575,1544016878124
1009.0106,1544016878222
1009.0056,1544016878324
1009.00055,1544016878423
1009.00574,1544016878521
1009.0109,1544016878620
1009.01434,1544016878720
1009.00757,1544016878819
1009.0024,1544016878921
1009.00586,1544016879018
1009.0096,1544016879118
1009.0096,1544016879217
1009.00793,1544016879321
1009.0113,1544016879416
1009.01294,1544016879515
1009.01294,1544016879618
1009.0148,1544016879715
1009.0148,1544016879814
1009.0166,1544016879915
1009.0132,1544016880013
1009.0135,1544016880114
1009.01715,1544016880213
1009.01874,1544016880311
1009.01874,1544016880411
1009.0138,1544016880510
1009.019,1544016880609
1009.02203,1544016880710
1009.024,1544016880812
1009.0257,1544016880909
1009.024,1544016881006
1009.01715,1544016881108
1009.0138,1544016881205
1009.0156,1544016881304
1009.0087,1544016881412
1009.01074,1544016881504
1009.0142,1544016881604
1009.0249,1544016881701
1009.02313,1544016881801
1009.03015,1544016881906
1009.03015,1544016882003
1009.02313,1544016882099
1009.0249,1544016882198
1009.02313,1544016882299
1009.02136,1544016882398
1009.02844,1544016882497
1009.02844,1544016882599
1009.03015,1544016882697
1009.03217,1544016882794
1009.04254,1544016882898
1009.0341,1544016882996
1009.0325,1544016883097
1009.04254,1544016883193
1009.0375,1544016883293
1009.0359,1544016883391
1009.03076,1544016883491
1009.02734,1544016883590
1009.0257,1544016883692
1009.0291,1544016883790
1009.0205,1544016883890
1009.0205,1544016883988
1009.0206,1544016884086
1009.0121,1544016884188
1009.0206,1544016884292
1009.0281,1544016884388
1009.0297,1544016884487
1009.0206,1544016884586
1009.02637,1544016884688
1009.03326,1544016884785
1009.0421,1544016884887
1009.0366,1544016884987
1009.03876,1544016885082
1009.0421,1544016885181
1009.04047,1544016885280
1009.0424,1544016885380
1009.03894,1544016885479
1009.0372,1544016885580
1009.03894,1544016885679
1009.03894,1544016885780
1009.0372,1544016885878
1009.0339,1544016885976
1009.02545,1544016886078
1009.0305,1544016886174
1009.041,1544016886279
1009.0342,1544016886375
1009.0308,1544016886476
1009.0274,1544016886577
1009.0292,1544016886674
1009.03253,1544016886771
1009.0342,1544016886871
1009.0305,1544016886970
1009.036,1544016887070
1009.0413,1544016887170
1009.0481,1544016887269
1009.04645,1544016887368
1009.0498,1544016887467
1009.0498,1544016887567
1009.0477,1544016887666
1009.04645,1544016887767
1009.04834,1544016887864
1009.04663,1544016887967
1009.0413,1544016888064
1009.03796,1544016888163
1009.03625,1544016888262
1009.03625,1544016888364
1009.03796,1544016888464
1009.045,1544016888560
1009.045,1544016888660
1009.04474,1544016888766
1009.0427,1544016888861
1009.03754,1544016888959
1009.03625,1544016889059
1009.0346,1544016889159
1009.0332,1544016889257
1009.0295,1544016889358
1009.0281,1544016889460
1009.02295,1544016889555
1009.0251,1544016889653
1009.0233,1544016889753
1009.02167,1544016889853
1009.02167,1544016889954
1009.01965,1544016890054
1009.02167,1544016890151
1009.0183,1544016890249
1009.0146,1544016890350
1009.02167,1544016890449
1009.02295,1544016890548
1009.0251,1544016890648
1009.0356,1544016890746
1009.03894,1544016890847
1009.0338,1544016890946
1009.03217,1544016891045
1009.0339,1544016891146
1009.0288,1544016891246
1009.0288,1544016891344
1009.03894,1544016891442
1009.03906,1544016891543
1009.0407,1544016891641
1009.0423,1544016891743
1009.0423,1544016891841
1009.04584,1544016891939
1009.04407,1544016892039
1009.0407,1544016892138
1009.03906,1544016892238
1009.0356,1544016892340
1009.0305,1544016892438
1009.02374,1544016892536
1009.0291,1544016892636
1009.03076,1544016892734
1009.03076,1544016892833
1009.0291,1544016892934
1009.0341,1544016893035
1009.02734,1544016893131
1009.0221,1544016893231
1009.024,1544016893329
1009.024,1544016893431
1009.024,1544016893531
1009.024,1544016893629
1009.019,1544016893727
1009.019,1544016893830
1009.0156,1544016893927
1009.0192,1544016894027
1009.0192,1544016894128
1009.023,1544016894228
1009.0263,1544016894331
1009.02246,1544016894425
1009.0213,1544016894523
1009.0213,1544016894625
1009.01965,1544016894726
1009.0251,1544016894822
1009.01404,1544016894921
1009.01965,1544016895021
1009.0158,1544016895120
1009.0174,1544016895222
1009.0192,1544016895320
1009.0208,1544016895419
1009.02594,1544016895517
1009.019,1544016895618
1009.0208,1544016895716
1009.0242,1544016895828
1009.02246,1544016895919
1009.023,1544016896015
1009.0208,1544016896114
1009.0247,1544016896213
1009.0213,1544016896313
1009.01117,1544016896411
1009.0213,1544016896512
1009.01794,1544016896612
1009.01624,1544016896709
1009.01794,1544016896810
1009.01965,1544016896912
1009.023,1544016897009
1009.0213,1544016897108
1009.0216,1544016897207
1009.0216,1544016897307
1009.0216,1544016897406
1009.0182,1544016897509
1009.00946,1544016897605
1009.0165,1544016897706
1009.01794,1544016897803
1009.01965,1544016897903
1009.02325,1544016898002
1009.0263,1544016898104
1009.0251,1544016898202
1009.0251,1544016898301
1009.0283,1544016898404
1009.0283,1544016898499
1009.0281,1544016898598
1009.0263,1544016898702
1009.0192,1544016898798
1009.0158,1544016898900
1009.007,1544016898996
1009.0056,1544016899094
1008.9989,1544016899195
1008.987,1544016899294
1008.9802,1544016899393
1008.9752,1544016899496
1008.9705,1544016899594
1008.9756,1544016899692
1008.9756,1544016899793
1008.9756,1544016899890
1008.97394,1544016899991
1008.9773,1544016900089
1008.97015,1544016900193
1008.9665,1544016900288
1008.97015,1544016900387
1008.97906,1544016900490
1008.98566,1544016900588
1008.98914,1544016900687
1008.98914,1544016900786
1008.98914,1544016900884
1008.99255,1544016900984
1008.9995,1544016901083
1008.99786,1544016901183
1008.99677,1544016901284
1008.99524,1544016901382
1008.9928,1544016901482
1008.9945,1544016901584
1008.9911,1544016901681
1008.99615,1544016901780
1008.9995,1544016901880
1008.9959,1544016901978
1008.9995,1544016902077
1009.0002,1544016902181
1008.9945,1544016902277
1008.99615,1544016902378
1008.9928,1544016902475
1008.9928,1544016902577
1008.9928,1544016902675
1008.99786,1544016902774
1008.99786,1544016902875
1009.00195,1544016902974
1009.00366,1544016903074
1009.00366,1544016903171
1009.007,1544016903270
1009.0029,1544016903371
1009.007,1544016903470
1009.00574,1544016903568
1009.0091,1544016903669
1009.00574,1544016903768
1009.0142,1544016903866
1009.0142,1544016903965
1009.0124,1544016904065
1009.0091,1544016904166
1009.0074,1544016904268
1009.004,1544016904363
1009.0006,1544016904465
1009.00586,1544016904561
1009.00226,1544016904666
1008.99725,1544016904765
1008.9989,1544016904862
1008.99524,1544016904960
1008.9934,1544016905059
1008.98676,1544016905159
1008.99005,1544016905259
1008.98676,1544016905359
1008.9792,1544016905458
1008.98676,1544016905556
1008.9939,1544016905655
1008.9989,1544016905756
1009.0006,1544016905856
1009.0006,1544016905956
1009.00226,1544016906054
1008.9989,1544016906152
1008.99725,1544016906252
1009.0093,1544016906352
1009.01074,1544016906450
1009.0074,1544016906549
1009.0142,1544016906651
1009.0091,1544016906750
1009.0104,1544016906848
1009.0142,1544016906949
1009.02094,1544016907049
1009.0246,1544016907146
1009.0212,1544016907246
1009.02094,1544016907345
1009.0226,1544016907444
1009.02765,1544016907545
1009.033,1544016907644
1009.02765,1544016907743
1009.026,1544016907842
1009.0294,1544016907944
1009.0294,1544016908041
1009.03107,1544016908141
1009.0257,1544016908239
1009.02734,1544016908341
1009.03107,1544016908438
1009.02765,1544016908538
1009.026,1544016908639
1009.024,1544016908737
1009.02765,1544016908837
1009.033,1544016908937
1009.0261,1544016909036
1009.0296,1544016909138
1009.0282,1544016909233
1009.02313,1544016909335
1009.0144,1544016909433
1009.01605,1544016909531
1009.01776,1544016909632
1009.01953,1544016909732
1009.0282,1544016909831
1009.02637,1544016909931
1009.02484,1544016910030
1009.02136,1544016910128
1009.018,1544016910228
1009.0167,1544016910328
1009.01337,1544016910429
1009.0096,1544016910530
1009.01294,1544016910626
1009.01843,1544016910725
1009.0197,1544016910828
1009.02484,1544016910923
1009.0285,1544016911025
1009.02484,1544016911123
1009.0285,1544016911224
1009.0268,1544016911322
1009.0268,1544016911424
1009.0285,1544016911521
1009.02856,1544016911620
1009.02856,1544016911723
1009.02856,1544016911821
1009.0305,1544016911918
1009.03217,1544016912018
1009.03217,1544016912116
1009.0336,1544016912218
1009.04047,1544016912318
1009.0421,1544016912418
1009.0388,1544016912513
1009.0319,1544016912613
1009.0302,1544016912714
1009.02344,1544016912812
1009.0235,1544016912916
1009.0218,1544016913011
1009.0271,1544016913113
1009.02374,1544016913210
1009.02686,1544016913309
1009.02856,1544016913409
1009.02686,1544016913509
1009.02856,1544016913608
1009.0339,1544016913709
1009.0305,1544016913806
1009.0289,1544016913906
1009.02856,1544016914005
1009.02686,1544016914104
1009.0252,1544016914204
1009.0252,1544016914304
1009.0218,1544016914406
1009.0271,1544016914507
1009.0289,1544016914603
1009.0235,1544016914702
1009.0289,1544016914800
1009.0305,1544016914900
1009.02374,1544016915001
1009.0271,1544016915099
1009.02374,1544016915199
1009.01324,1544016915299
1009.00824,1544016915397
1009.0032,1544016915498
1009.00146,1544016915595
1008.99817,1544016915697
1009.0017,1544016915795
1008.9998,1544016915897
1009.00854,1544016915995
1009.01355,1544016916096
1009.0169,1544016916192
1009.02374,1544016916291
1009.0289,1544016916391
1009.03076,1544016916492
1009.0257,1544016916592
1009.02734,1544016916691
1009.0345,1544016916793
1009.03784,1544016916888
1009.0345,1544016916988
1009.024,1544016917090
1009.021,1544016917186
1009.0193,1544016917286
1009.0159,1544016917384
1009.0176,1544016917484
1009.0156,1544016917590
1009.01215,1544016917685
1009.01385,1544016917785
1009.019,1544016917881
1009.019,1544016917983
1009.019,1544016918082
1009.0156,1544016918182
1009.0087,1544016918284
1009.01044,1544016918380
1009.0193,1544016918482
1009.02264,1544016918581
1009.026,1544016918681
1009.026,1544016918778
1009.02264,1544016918877
1009.0213,1544016918975
1009.0159,1544016919074
1009.01245,1544016919174
1009.0091,1544016919275
1009.01245,1544016919380
1009.01074,1544016919473
1009.0041,1544016919574
1009.00604,1544016919672
1009.0078,1544016919770
1009.0078,1544016919871
1009.001,1544016919969
1009.001,1544016920069
1009.00446,1544016920169
1009.0098,1544016920269
1009.00604,1544016920368
1009.0078,1544016920467
