ts_start,ts_end,act
1544016857381,1544016857434,TRANSITION
1544016857440,1544016863656,SETTING_UP_TABLE
1544016857381,1544016857434,TRANSITION
1544016857459,1544016863656,SETTING_UP_TABLE
1544016857381,1544016857434,TRANSITION
1544016857460,1544016863680,SETTING_UP_TABLE
1544016857383,1544016857407,TRANSITION
1544016857440,1544016863682,SETTING_UP_TABLE
1544016857383,1544016857404,TRANSITION
1544016857460,1544017031752,SETTING_UP_TABLE
1544017031782,1544017103694,TRANSITION
1544017103721,1544017229723,EATING
1544017229750,1544017230918,TRANSITION
1544017224689,1544017229721,EATING
1544017229750,1544017230919,TRANSITION
1544017224690,1544017229721,EATING
1544017229750,1544017230921,TRANSITION
1544017224690,1544017229723,EATING
1544017229750,1544017230925,TRANSITION
1544017224691,1544017229723,EATING
1544017229753,1544017269962,TRANSITION
1544017269981,1544017275338,WATCHING_TV
1544017268971,1544017269951,TRANSITION
1544017269982,1544017275339,WATCHING_TV
1544017268962,1544017269962,TRANSITION
1544017269998,1544017275440,WATCHING_TV
1544017269003,1544017269949,TRANSITION
1544017269981,1544017275442,WATCHING_TV
1544017269001,1544017269949,TRANSITION
1544017269982,1544017525065,WATCHING_TV
1544017525081,1544017533042,TRANSITION
