ts_start,ts_end,location
1544016857381,1544016857997,KITCHEN
1544016858026,1544016863656,DINING_ROOM
1544016857381,1544016857996,KITCHEN
1544016858026,1544016863656,DINING_ROOM
1544016857381,1544016857997,KITCHEN
1544016858027,1544016863680,DINING_ROOM
1544016857383,1544016857992,KITCHEN
1544016858028,1544016863682,DINING_ROOM
1544016857383,1544016857997,KITCHEN
1544016858028,1544016892049,DINING_ROOM
1544016892067,1544016895898,KITCHEN
1544016889652,1544016892049,DINING_ROOM
1544016892086,1544016895898,KITCHEN
1544016889622,1544016892021,DINING_ROOM
1544016892081,1544016895899,KITCHEN
1544016889622,1544016892021,DINING_ROOM
1544016892085,1544016895925,KITCHEN
1544016889623,1544016892032,DINING_ROOM
1544016892067,1544016901265,KITCHEN
1544016901288,1544016902267,DINING_ROOM
1544016895930,1544016901260,KITCHEN
1544016901288,1544016902268,DINING_ROOM
1544016895930,1544016901260,KITCHEN
1544016901288,1544016902269,DINING_ROOM
1544016895959,1544016901265,KITCHEN
1544016901313,1544016902269,DINING_ROOM
1544016895931,1544016901262,KITCHEN
1544016901324,1544016909553,DINING_ROOM
1544016909570,1544016914261,KITCHEN
1544016914288,1544016928089,DINING_ROOM
1544016928114,1544016934170,KITCHEN
1544016927692,1544016927935,DINING_ROOM
1544016928114,1544016934189,KITCHEN
1544016927688,1544016928089,DINING_ROOM
1544016928119,1544016934189,KITCHEN
1544016927687,1544016927942,DINING_ROOM
1544016928124,1544016934189,KITCHEN
1544016927687,1544016927942,DINING_ROOM
1544016928115,1544016943752,KITCHEN
1544016943783,1544016946743,DINING_ROOM
1544016940500,1544016943725,KITCHEN
1544016943783,1544016946744,DINING_ROOM
1544016940500,1544016943752,KITCHEN
1544016943785,1544016946745,DINING_ROOM
1544016940499,1544016943723,KITCHEN
1544016943783,1544016946747,DINING_ROOM
1544016940509,1544016943748,KITCHEN
1544016943784,1544016960320,DINING_ROOM
1544016960338,1544016965627,KITCHEN
1544016959428,1544016960320,DINING_ROOM
1544016960355,1544016965637,KITCHEN
1544016959416,1544016960314,DINING_ROOM
1544016960338,1544016965637,KITCHEN
1544016959446,1544016960312,DINING_ROOM
1544016960338,1544016965637,KITCHEN
1544016959447,1544016960314,DINING_ROOM
1544016960338,1544016968744,KITCHEN
1544016968762,1544016979434,DINING_ROOM
1544016979445,1544016984750,KITCHEN
1544016978478,1544016979408,DINING_ROOM
1544016979445,1544016984762,KITCHEN
1544016978514,1544016979434,DINING_ROOM
1544016979462,1544016984764,KITCHEN
1544016978484,1544016979403,DINING_ROOM
1544016979462,1544016984765,KITCHEN
1544016978515,1544016979433,DINING_ROOM
1544016979462,1544016986483,KITCHEN
1544016986510,1544016991040,DINING_ROOM
1544016984791,1544016986479,KITCHEN
1544016986538,1544016991041,DINING_ROOM
1544016984794,1544016986483,KITCHEN
1544016986510,1544016991041,DINING_ROOM
1544016984794,1544016986479,KITCHEN
1544016986538,1544016991054,DINING_ROOM
1544016984783,1544016986471,KITCHEN
1544016986512,1544017261939,DINING_ROOM
1544017261956,1544017262402,KITCHEN
1544017256127,1544017261933,DINING_ROOM
1544017261958,1544017262404,KITCHEN
1544017256125,1544017261939,DINING_ROOM
1544017261956,1544017262405,KITCHEN
1544017256095,1544017261939,DINING_ROOM
1544017261956,1544017262418,KITCHEN
1544017256113,1544017261939,DINING_ROOM
1544017261968,1544017264241,KITCHEN
1544017264266,1544017265305,HALL
1544017265333,1544017267481,MEDICINE_AREA
1544017267493,1544017268928,LIVING_ROOM
1544017262451,1544017264241,KITCHEN
1544017264277,1544017265293,HALL
1544017265333,1544017267481,MEDICINE_AREA
1544017267514,1544017268944,LIVING_ROOM
1544017262462,1544017264240,KITCHEN
1544017264266,1544017265305,HALL
1544017265333,1544017267468,MEDICINE_AREA
1544017267538,1544017268944,LIVING_ROOM
1544017262465,1544017264236,KITCHEN
1544017264266,1544017265271,HALL
1544017265334,1544017267468,MEDICINE_AREA
1544017267538,1544017268945,LIVING_ROOM
1544017262431,1544017264236,KITCHEN
1544017264266,1544017265245,HALL
1544017265334,1544017267469,MEDICINE_AREA
1544017267493,1544017530201,LIVING_ROOM
1544017530229,1544017532607,MEDICINE_AREA
1544017532625,1544017533042,HALL
