x,y,z,ts
-3.1219482,45.362854,-3.8650513,1544016857383
-1.8692017,45.06073,-6.2301636,1544016857404
-0.41351318,43.559265,-7.1411133,1544016857460
4.4677734,42.83905,-4.5791626,1544016857700
2.885437,42.926025,-7.8292847,1544016857701
1.3793945,42.64984,-9.25293,1544016857701
2.468872,41.7099,-11.51123,1544016857701
2.1362305,41.859436,-12.112427,1544016857701
2.0019531,41.737366,-4.988098,1544016857701
2.406311,40.385437,-9.14917,1544016857702
-0.54473877,29.496765,-3.3966064,1544016857732
2.3529053,35.606384,-12.265015,1544016857760
0.9674072,39.541626,-12.779236,1544016857795
0.8026123,41.189575,-16.227722,1544016857820
0.77056885,40.16266,-20.960999,1544016857879
1.2893677,39.64691,-22.619629,1544016857909
-0.8895874,39.704895,-17.727661,1544016857938
-0.21820068,38.85956,-22.03064,1544016857983
-0.0045776367,40.23285,-19.259644,1544016857997
-1.2298584,39.42108,-25.733948,1544016858028
-1.133728,38.63678,-23.519897,1544016858086
-2.2720337,37.911987,-24.98169,1544016858116
-3.7078857,35.794067,-18.888855,1544016858148
-2.1881104,39.053345,-25.579834,1544016858223
-4.031372,39.056396,-23.318481,1544016858223
-0.6744385,42.40265,-19.694519,1544016858235
0.10223389,43.045044,-16.577148,1544016858294
-0.9063721,45.09735,-20.825195,1544016858326
0.87890625,43.473816,-24.10431,1544016858354
1.3305664,46.5271,-21.217346,1544016858383
3.2089233,42.066956,-26.2146,1544016858413
3.2440186,42.56897,-25.836182,1544016858445
3.8772583,43.121338,-25.05188,1544016858471
3.7597656,43.444824,-23.989868,1544016858532
3.9215088,43.138123,-22.184753,1544016858561
4.850769,44.555664,-23.059082,1544016858589
6.488037,44.20166,-24.121094,1544016858621
8.200073,43.45398,-24.232483,1544016858651
7.2006226,44.2688,-26.301575,1544016858681
6.9763184,44.85321,-27.39563,1544016858742
6.9396973,43.293762,-28.660583,1544016858772
7.56073,43.76526,-29.997253,1544016858796
5.2719116,46.087646,-28.703308,1544016858829
5.604553,45.16754,-28.590393,1544016858859
4.6035767,43.702698,-30.541992,1544016858894
4.397583,43.051147,-32.16095,1544016858944
4.614258,40.960693,-33.67157,1544016858979
0.6088257,47.73407,-28.707886,1544016859011
4.350281,41.04767,-37.63275,1544016859032
4.953003,39.486694,-32.569885,1544016859062
4.763794,34.114075,-29.760742,1544016859094
3.6087036,37.916565,-32.136536,1544016859151
5.142212,41.93878,-34.46045,1544016859182
2.3849487,42.43927,-32.540894,1544016859212
5.7662964,40.026855,-30.9021,1544016859242
11.373901,42.897034,-29.307556,1544016859270
7.0114136,42.778015,-35.89325,1544016859301
7.0770264,43.070984,-29.856873,1544016859363
7.749939,43.27545,-33.992004,1544016859394
10.346985,43.60199,-31.536865,1544016859419
8.453369,41.215515,-37.026978,1544016859448
11.555481,38.442993,-37.016296,1544016859479
12.452698,36.088562,-38.230896,1544016859571
15.44342,35.87494,-31.292725,1544016859571
18.371582,34.101868,-31.741333,1544016859596
18.782043,36.393738,-36.86371,1544016859634
22.532654,37.532043,-32.307434,1544016859654
24.372864,37.117004,-27.052307,1544016859685
28.968811,41.13617,-19.95697,1544016859715
29.194641,42.933655,-16.76178,1544016859777
31.65741,43.15033,-12.409973,1544016859804
29.79126,42.912292,-9.635925,1544016859833
30.361938,43.49518,-14.201355,1544016859864
31.634521,47.98889,-8.847046,1544016859897
26.545715,48.246765,-6.272888,1544016859922
21.984863,50.689697,-0.045776367,1544016859951
18.925476,51.104736,3.2043457,1544016860014
14.772034,53.44696,8.685303,1544016860041
9.111023,54.71344,8.2473755,1544016860069
4.197693,54.969788,6.9869995,1544016860101
-0.4562378,52.975464,10.481262,1544016860128
-4.373169,51.934814,10.542297,1544016860159
-8.262634,49.176025,14.953613,1544016860223
-14.508057,51.48468,14.801025,1544016860248
-19.442749,53.970337,15.692139,1544016860276
-16.712952,50.619507,12.40387,1544016860309
-16.055298,48.59619,13.734436,1544016860337
-18.132019,51.245117,16.775513,1544016860368
-18.362427,51.85547,19.415283,1544016860427
-17.018127,49.282837,15.06958,1544016860455
-16.133118,49.623108,15.768433,1544016860490
-14.393616,50.646973,23.631287,1544016860520
-13.848877,52.35138,21.70868,1544016860545
-14.901733,50.250244,22.592163,1544016860579
-16.05072,44.456482,24.871826,1544016860634
