sensor_id,sensor_status,ts,subject_id
R7,"ON",1542298223726,"201"
R7,"OFF",1542298227940,"201"
R7,"ON",1542298250438,"201"
R7,"OFF",1542298253915,"201"
R2,"ON",1542298255948,"201"
R2,"OFF",1542298258906,"201"
R1,"ON",1542298261837,"201"
R1,"OFF",1542298269144,"201"
R1,"ON",1542298284730,"201"
R1,"OFF",1542298292071,"201"
R7,"ON",1542298324939,"201"
R7,"OFF",1542298328085,"201"
R2,"ON",1542298329826,"201"
R2,"OFF",1542298332970,"201"
P1,"ON",1542298348719,"201"
P1,"OFF",1542298439433,"201"
P2,"ON",1542298589739,"201"
P2,"OFF",1542298675556,"201"
R6,"ON",1542298677187,"201"
R6,"OFF",1542298695620,"201"
P2,"ON",1542298703106,"201"
P2,"OFF",1542298724914,"201"
