x,y,z,ts
6.1918283,-3.8362594,8.625831,1542298197714
6.907468,-4.2338753,9.0432625,1542298197756
7.103424,-3.6272836,9.184209,1542298197785
6.436093,-2.6122103,7.730438,1542298197823
6.5338264,-2.5496225,7.291086,1542298197857
6.8574495,-3.022944,7.393017,1542298197915
6.583113,-3.0919423,7.3686943,1542298197942
6.3675094,-2.7302647,7.3982325,1542298197965
6.613008,-3.4079595,8.041234,1542298198006
6.8090076,-2.9790406,8.290956,1542298198036
6.8089767,-2.950807,8.251173,1542298198076
6.6423593,-2.9383392,8.207989,1542298198105
6.211046,-2.4248857,8.106387,1542298198141
6.1717343,-2.1871128,8.0094595,1542298198182
6.3286138,-2.2172394,8.185645,1542298198215
6.6912622,-1.9842143,8.547389,1542298198251
6.602716,-1.379344,8.383824,1542298198345
6.4360194,-1.2731042,8.270012,1542298198346
6.337984,-1.3905816,8.166887,1542298198354
6.3381014,-1.6822104,8.246563,1542298198458
6.4461575,-2.0298042,8.562968,1542298198458
6.456133,-2.0089726,8.887166,1542298198480
6.456133,-2.0089726,8.887166,1542298198493
6.456133,-2.0089726,8.887166,1542298198539
6.456133,-2.0089726,8.887166,1542298198562
6.456133,-2.0089726,8.887166,1542298198601
5.0947347,-0.92781067,10.080575,1542298198635
5.4964256,-0.8876443,9.955368,1542298198673
5.653201,-1.3816848,9.825899,1542298198729
5.8883533,-1.5120921,9.740329,1542298198741
5.8391304,-1.8954005,9.154409,1542298198778
6.1427603,-2.3653371,8.778269,1542298198853
6.505242,-2.704818,8.565586,1542298198853
6.9164996,-3.178549,7.9559402,1542298198900
7.053252,-2.592235,7.434785,1542298198927
6.9057684,-2.0804162,6.712247,1542298198954
7.0035295,-1.6521487,6.3435564,1542298199000
7.5231833,-1.9270988,6.64242,1542298199029
8.131066,-2.4890914,6.880169,1542298199063
9.925164,-3.2449853,7.4703207,1542298199095
9.198957,-3.281143,6.223531,1542298199131
7.8550563,-2.874206,4.7976704,1542298199174
7.364655,-2.475717,4.3626804,1542298199204
7.345417,-3.1748192,4.2147875,1542298199262
7.3750677,-3.6882806,4.2041044,1542298199272
10.09259,-6.13475,6.9814644,1542298199310
10.867176,-6.046159,7.232579,1542298199343
10.298393,-5.463997,6.938532,1542298199378
8.317951,-4.244837,6.3107195,1542298199418
7.1222053,-4.649563,5.7861843,1542298199449
7.1222053,-4.649563,5.7861843,1542298199483
7.1222053,-4.649563,5.7861843,1542298199546
7.1222053,-4.649563,5.7861843,1542298199553
7.1222053,-4.649563,5.7861843,1542298199587
7.4466524,-5.7591105,6.1773586,1542298199625
12.307141,-6.3093514,5.1088505,1542298199672
12.552279,-7.0722837,4.9285183,1542298199700
12.561403,-6.853703,4.399543,1542298199728
12.590655,-7.5691843,4.379321,1542298199773
12.629983,-8.1077,4.4514074,1542298199809
12.453267,-8.16253,4.130413,1542298199837
11.589854,-8.071273,3.2581396,1542298199868
11.09914,-7.6956096,2.7881117,1542298199903
10.618256,-7.4283347,2.3759832,1542298199938
10.490156,-6.7626934,1.8921881,1542298199976
12.048072,-5.7912626,0.93918324,1542298200012
13.038766,-4.9424987,1.5813055,1542298200048
11.685135,-4.3652053,1.1651087,1542298200080
13.588208,-2.722773,2.6132689,1542298200118
15.578341,-1.1982718,2.2593327,1542298200154
16.745508,-1.3545891,2.4538088,1542298200198
17.118664,-1.7430878,3.1391325,1542298200223
18.01124,-2.165508,3.1675625,1542298200260
16.804737,-2.750871,2.628252,1542298200301
16.38283,-3.4677417,2.1085024,1542298200334
15.284233,-4.028263,1.6183319,1542298200368
14.019449,-4.052726,1.9831696,1542298200409
13.401336,-3.6650102,1.8231964,1542298200435
13.401336,-3.6650102,1.8231964,1542298200469
13.401336,-3.6650102,1.8231964,1542298200507
13.401336,-3.6650102,1.8231964,1542298200541
13.401336,-3.6650102,1.8231964,1542298200588
13.401336,-3.6650102,1.8231964,1542298200614
17.546192,-2.7077088,-2.745852,1542298200652
17.663855,-3.0276928,-2.9596844,1542298200680
17.604494,-2.6645014,-3.4586773,1542298200715
17.859116,-2.9058313,-3.4203992,1542298200782
17.47548,-3.2530332,-4.0364647,1542298200800
18.191769,-3.7015238,-4.2280397,1542298200823
24.050394,-4.191355,-3.5272598,1542298200866
24.266853,-4.674503,-3.68884,1542298200895
21.285397,-4.319141,-3.1362667,1542298200943
18.87278,-4.361381,-2.25526,1542298200966
19.275011,-5.408742,-2.508438,1542298201007
22.83503,-4.840373,-3.3734145,1542298201184
21.373007,-4.75885,-4.759568,1542298201184
