x,y,z,ts
-10.110786,7.268585,14.898339,1542298197723
-11.325394,6.5131683,15.306299,1542298197763
-8.75647,7.09111,16.162354,1542298197796
-9.582489,8.671539,17.055214,1542298197827
-10.26899,8.746063,15.802772,1542298197864
-9.331268,6.190132,14.720581,1542298197915
-10.157295,7.770546,15.61344,1542298197942
-10.054939,6.7808304,14.803674,1542298197974
-10.213142,8.258301,15.708104,1542298198015
-10.213142,8.258301,15.708104,1542298198045
-11.446426,7.474472,14.875195,1542298198080
-11.371902,7.0151215,16.021399,1542298198115
-10.769272,7.3857346,15.507202,1542298198152
-10.166634,7.75634,14.993005,1542298198184
-10.147957,7.784752,16.233875,1542298198219
-10.0084305,6.278862,14.088575,1542298198257
-11.853699,5.1102066,13.1494255,1542298198344
-12.689056,6.676422,13.42185,1542298198344
-11.288223,5.9969864,13.970762,1542298198364
-7.551193,7.832329,15.133959,1542298198459
-11.492935,7.976425,15.590295,1542298198459
-11.334732,6.4989624,14.685864,1542298198482
-8.765808,7.0769043,15.541919,1542298198509
-11.297562,5.9827805,13.350328,1542298198539
-10.769272,7.3857346,15.507202,1542298198571
-11.502274,7.962219,14.96986,1542298198624
-12.011902,6.5876846,14.053858,1542298198640
-10.0362625,6.8092422,16.044544,1542298198676
-12.754242,7.1499634,12.89608,1542298198730
-10.213142,8.258301,15.708104,1542298198761
-12.067566,7.6484528,17.965796,1542298198787
-11.28804,6.5700073,17.788036,1542298198852
-11.213699,5.5376434,15.116967,1542298198857
-14.987915,4.2184753,15.289306,1542298198903
-11.139175,5.0783157,16.263172,1542298198927
-11.974548,6.6445236,16.535597,1542298198972
-13.559067,3.5816803,17.699524,1542298199027
-11.78833,5.209671,17.492468,1542298199031
-10.971634,3.6150436,15.979174,1542298199071
-13.012276,4.440048,17.279993,1542298199103
-13.095955,5.4581833,19.330627,1542298199137
-12.26059,3.8919678,19.0582,1542298199174
-11.602112,3.7748108,18.44934,1542298199211
-12.928413,3.9949112,19.04663,1542298199263
-13.105293,5.4439697,18.710194,1542298199282
-14.950562,4.2753143,17.771044,1542298199314
-14.950562,4.2753143,17.771044,1542298199350
-14.385086,5.162094,18.592382,1542298199403
-14.264053,4.200798,19.023485,1542298199429
-15.090088,5.781212,19.916344,1542298199464
-16.388557,5.4709244,18.557667,1542298199491
-16.248848,4.53804,20.229637,1542298199546
-18.270996,4.8184433,18.954052,1542298199560
-18.336182,5.291992,18.428284,1542298199604
-19.597298,5.038536,19.551342,1542298199669
-18.85495,4.4762573,20.709118,1542298199673
-18.696747,2.998787,19.804688,1542298199703
-18.799103,3.9885025,20.614452,1542298199739
-20.190598,4.682144,20.685974,1542298199778
-17.907898,1.9345398,20.247364,1542298199811
-19.224861,2.1688385,21.465088,1542298199847
-19.883347,2.2859879,22.07395,1542298199879
-21.1073,1.516365,21.861475,1542298199927
-19.752975,1.3388977,23.125488,1542298199947
-18.964119,0.27464294,23.568163,1542298199984
-19.594772,-0.13858032,22.221058,1542298200028
-18.91761,-0.22731781,22.853064,1542298200056
-20.33693,0.99671173,24.880554,1542298200105
-21.700592,1.1599655,22.996105,1542298200126
-22.247383,0.3015976,23.415636,1542298200162
-22.738327,-1.0445099,23.740503,1542298200199
-22.042488,-1.1048279,25.61338,1542298200232
