ts_start,ts_end,location
1542646049705,1542646063259,OUT
1542646063424,1542646078754,HALL
1542646078964,1542646153798,KITCHEN
1542646153816,1542646188828,DINING_ROOM
1542646188849,1542646197171,KITCHEN
1542646197189,1542646233340,DINING_ROOM
1542646233359,1542646267039,KITCHEN
1542646267264,1542646270160,DINING_ROOM
1542646270171,1542646282275,KITCHEN
1542646282450,1542646284282,HALL
1542646284390,1542646286984,MEDICINE_AREA
1542646286997,1542646287966,LIVING_ROOM
1542646288229,1542646293440,MEDICINE_AREA
1542646293583,1542646295378,HALL
1542646295537,1542646299526,KITCHEN
1542646299548,1542646303538,DINING_ROOM
1542646303556,1542646307350,KITCHEN
1542646307353,1542646310689,HALL
1542646310823,1542646314225,MEDICINE_AREA
1542646314239,1542646319682,LIVING_ROOM
1542646319866,1542646324559,MEDICINE_AREA
1542646324578,1542646331157,HALL
1542646331177,1542646336185,MEDICINE_AREA
1542646336322,1542646338702,LIVING_ROOM
1542646338794,1542646414059,OFFICE
1542646414088,1542646415957,LIVING_ROOM
1542646415997,1542646429732,MEDICINE_AREA
1542646429733,1542646431807,LIVING_ROOM
1542646432195,1542646467217,OFFICE
1542646467245,1542646468800,LIVING_ROOM
1542646468815,1542646480239,MEDICINE_AREA
1542646480458,1542646482307,HALL
1542646482326,1542646486565,OUT
