sensor_id,sensor_status,ts,subject_id
R5,"ON",1542816426221,"201"
R5,"OFF",1542816428558,"201"
E1,"ON",1542816437098,"201"
R1,"ON",1542816440050,"201"
R1,"OFF",1542816450286,"201"
R7,"ON",1542816456851,"201"
R7,"OFF",1542816460757,"201"
R2,"ON",1542816462027,"201"
R2,"OFF",1542816464735,"201"
R7,"ON",1542816487476,"201"
R7,"OFF",1542816492166,"201"
R1,"ON",1542816493883,"201"
R1,"OFF",1542816506880,"201"
R2,"ON",1542816509765,"201"
R2,"OFF",1542816513069,"201"
R5,"ON",1542816578583,"201"
R6,"ON",1542816586614,"206"
R6,"OFF",1542816591483,"206"
R5,"OFF",1542816593602,"201"
E1,"OFF",1542816597108,"201"
R6,"ON",1542816613563,"206"
R6,"OFF",1542816616926,"206"
R7,"ON",1542816625031,"206"
R7,"OFF",1542816631480,"206"
R7,"ON",1542816650695,"206"
R7,"OFF",1542816655297,"206"
R1,"ON",1542816656352,"206"
R1,"OFF",1542816663329,"206"
R1,"ON",1542816676602,"206"
R1,"OFF",1542816684694,"206"
P1,"ON",1542816699133,"206"
R7,"ON",1542816774063,"201"
R7,"OFF",1542816777680,"201"
P4,"ON",1542816783000,"201"
P4,"OFF",1542816932000,"201"
P1,"OFF",1542816932745,"206"
R7,"ON",1542816952862,"206"
R7,"OFF",1542816956858,"206"
E2,"ON",1542816999875,"206"
P3,"ON",1542817007000,"206"
P7,"ON",1542817099000,"201"
P7,"OFF",1542817175000,"201"
