ts_start,ts_end,act
1542816401724,1542816419958,TRANSITION
1542816419969,1542816632682,COOKING
1542816632696,1542816633985,TRANSITION
1542816633986,1542816711901,MAKING_PHONE_CALL
1542816711917,1542816727130,TRANSITION
1542816727131,1542816788010,SETTING_UP_TABLE
1542816788014,1542816937754,EATING
1542816937763,1542816956645,TRANSITION
1542816956656,1542817085472,WASHING_DISHES
1542817085480,1542817094455,TRANSITION
1542817094464,1542817171706,WATCHING_TV
1542817171728,1542817181866,TRANSITION
1542817181927,1542817200174,LEAVING_HOME
1542817200176,1542817208886,TRANSITION
