x,y,z,ts
18.093191,-1.6123145,-3.3739533,1544007144310
17.190077,-1.6949673,-3.852118,1544007144343
16.875984,-2.0949147,-4.3431177,1544007144383
16.96441,-2.4885602,-4.544515,1544007144414
17.523647,-2.9277036,-5.217107,1544007144471
18.0436,-2.6922438,-5.575971,1544007144492
18.946535,-2.7400146,-5.636146,1544007144529
18.956242,-2.7168117,-5.7664003,1544007144579
18.592983,-2.3320658,-5.793416,1544007144599
18.573158,-2.0891392,-6.1561112,1544007144632
18.298058,-2.1311677,-6.8854065,1544007144663
17.817091,-2.4815066,-7.2528987,1544007144700
19.132694,-3.3219573,-7.12708,1544007144733
19.26998,-3.1231306,-7.1963406,1544007144817
17.198566,-2.8464143,-7.3681297,1544007144817
16.757818,-3.8156345,-6.8426266,1544007144854
19.487198,-4.614136,-5.9895773,1544007144876
22.264635,-4.187632,-4.6455097,1544007144912
22.628042,-1.0747503,-2.7360415,1544007144948
22.511211,-4.0439215,-2.489153,1544007144985
19.813852,-4.6279664,-3.3479486,1544007145028
17.488087,-3.4001498,-4.630515,1544007145054
17.566406,-3.5698533,-5.294138,1544007145107
18.684862,-4.3427734,-6.668213,1544007145123
20.666218,-4.0283766,-7.701094,1544007145159
19.066893,-3.4517198,-7.7565393,1544007145197
19.066893,-3.4517198,-7.7565393,1544007145318
19.066893,-3.4517198,-7.7565393,1544007145318
19.066893,-3.4517198,-7.7565393,1544007145318
19.066893,-3.4517198,-7.7565393,1544007145362
19.066893,-3.4517198,-7.7565393,1544007145367
20.793617,0.51496077,-5.041578,1544007145403
18.82147,2.3489232,-3.8040242,1544007145438
17.45707,2.6852527,-3.6470418,1544007145491
17.70233,0.46475315,-4.391719,1544007145510
18.06595,-0.74599695,-4.4106784,1544007145542
18.243042,-1.670392,-4.5672197,1544007145577
17.722706,-0.79419327,-4.455818,1544007145618
17.625021,-1.1523533,-3.6772552,1544007145653
17.69369,-0.39674473,-2.5178657,1544007145688
17.654667,0.12369299,-1.4801416,1544007145722
17.439154,-0.23171425,-0.58874655,1544007145762
17.036524,-0.75983095,-0.92761993,1544007145792
17.026175,-0.62782574,-1.6306357,1544007145833
17.22155,-0.19984293,-2.0860372,1544007145864
17.407429,0.105810165,-2.271945,1544007145951
17.907293,0.7871351,-2.3811903,1544007145951
18.416998,1.513164,-2.5534763,1544007145970
18.72045,2.244901,-2.9128318,1544007146003
20.23112,4.065757,-3.7886887,1544007146038
20.28952,4.909312,-4.738478,1544007146075
19.650942,7.827724,-5.7996955,1544007146115
19.425154,9.092624,-4.3905067,1544007146161
18.474358,5.1255827,-1.1598508,1544007146186
18.474358,5.1255827,-1.1598508,1544007146218
18.474358,5.1255827,-1.1598508,1544007146253
18.474358,5.1255827,-1.1598508,1544007146289
15.541108,2.923256,-0.45616364,1544007146325
19.44051,-0.4900713,-1.206629,1544007146358
20.157274,-1.3155212,-0.6419204,1544007146420
20.070059,-2.0506086,3.3210402,1544007146439
17.421373,0.1942482,5.9776545,1544007146466
14.752348,2.1106272,6.367952,1544007146503
14.16479,1.7788706,7.145355,1544007146536
14.665328,1.6259737,7.5043373,1544007146575
15.519025,1.2054558,7.8392606,1544007146607
17.962006,-1.077673,7.1705813,1544007146641
17.715496,0.54417324,5.5594664,1544007146680
16.791594,3.0040417,4.5338,1544007146716
17.095236,4.003152,5.3405967,1544007146795
17.105686,3.578843,6.706032,1544007146795
16.576717,3.44318,8.541852,1544007146824
16.400389,2.3031092,8.058317,1544007146861
17.694761,2.3855534,8.174896,1544007146897
18.469305,2.4363995,7.9405565,1544007146928
18.184082,2.6803203,6.751134,1544007146963
17.261137,3.218367,5.992606,1544007147018
17.486622,3.1924186,6.0827494,1544007147033
17.996614,3.324304,5.9043484,1544007147069
18.18309,3.1849704,5.8361893,1544007147105
17.907618,3.826096,5.7881994,1544007147140
18.132603,4.3771214,5.7857733,1544007147188
18.269878,4.5509806,5.7653823,1544007147215
18.269878,4.5509806,5.7653823,1544007147247
18.269878,4.5509806,5.7653823,1544007147280
18.269878,4.5509806,5.7653823,1544007147325
17.79929,3.4897017,6.3553,1544007147368
17.838476,2.9659371,5.94155,1544007147385
17.88778,2.2238545,5.925682,1544007147425
17.525629,0.65652275,6.7506757,1544007147459
17.330864,-1.0015392,7.6696076,1544007147500
17.303022,-2.7012577,7.795909,1544007147528
17.116283,-2.2732115,7.1145296,1544007147563
16.753069,-1.9376087,6.978829,1544007147599
17.499166,-2.533084,7.418266,1544007147636
18.411196,-1.9068985,6.7516212,1544007147671
18.381144,-1.0573473,5.1403303,1544007147743
18.4803,-2.6634712,4.6269293,1544007147743
18.323395,-2.74411,4.623151,1544007147775
16.674427,-1.4707003,4.606241,1544007147811
16.683102,-0.3185873,4.0771484,1544007147871
17.535765,0.442235,3.0173044,1544007147883
17.976946,0.72949696,2.5904822,1544007147918
18.653519,1.1369772,1.9053078,1544007147953
18.486216,1.7150402,1.1158961,1544007147989
17.426086,2.1797185,0.46088576,1544007148029
16.435093,2.3128014,0.36946845,1544007148063
16.700207,2.4562788,0.8622456,1544007148099
16.828238,2.0409636,1.2255112,1544007148132
16.180809,1.8624325,1.5049986,1544007148166
15.366722,1.6566153,1.6512896,1544007148205
15.366722,1.6566153,1.6512896,1544007148251
15.366722,1.6566153,1.6512896,1544007148272
15.366722,1.6566153,1.6512896,1544007148306
15.919995,-2.057682,4.3708267,1544007148345
16.01856,-2.4027243,4.7327204,1544007148377
15.871627,-2.566906,4.8129516,1544007148413
15.577514,-2.7149048,4.8028874,1544007148449
15.381406,-2.7156038,5.061618,1544007148483
15.527712,-1.8391066,5.1102448,1544007148551
15.772653,-1.6685562,4.8187456,1544007148557
15.929532,-1.7782755,4.3796577,1544007148596
15.958935,-1.8030319,4.200017,1544007148634
15.821313,-1.5845346,4.157026,1544007148665
15.683363,-1.3164749,4.0715575,1544007148702
15.565043,-1.1381817,4.1300783,1544007148740
15.692148,-0.84013367,4.1290126,1544007148774
15.731221,-0.6188164,3.8939567,1544007148812
15.544823,-0.57204914,3.835878,1544007148848
15.348858,-0.7010021,3.9407597,1544007148880
15.957131,-0.7067003,4.1275635,1544007148920
16.487005,-0.7737169,4.38708,1544007148953
16.605034,-0.9234705,4.6468496,1544007149009
16.634634,-0.9931898,4.8278947,1544007149025
16.69369,-0.9779997,5.1792474,1544007149059
16.899399,-0.6195526,5.0517383,1544007149097
16.398817,-0.39880943,4.8916206,1544007149147
16.163042,-0.12865925,4.709506,1544007149166
