value,ts
1010.52124,1544007149201
1010.4934,1544007149201
1010.495,1544007149234
1010.4863,1544007149269
1010.5293,1544007149299
1010.5557,1544007149331
1010.50073,1544007149367
1010.51306,1544007149409
1010.5295,1544007149436
1010.54755,1544007149470
1010.3122,1544007149504
1010.463,1544007149539
1010.4009,1544007149575
1010.5534,1544007149608
1010.6738,1544007149643
1010.55664,1544007149678
1010.4042,1544007149712
1010.5931,1544007149746
1010.6238,1544007149783
1010.61694,1544007149815
1010.3909,1544007149850
1010.52325,1544007149884
1010.6166,1544007149919
1010.5723,1544007149952
1010.4707,1544007149989
1010.39825,1544007150026
1010.38513,1544007150060
1010.38513,1544007150090
1010.42975,1544007150129
1010.45074,1544007150159
1010.4681,1544007150197
1010.5616,1544007150230
1010.6699,1544007150263
1010.8082,1544007150298
1010.8928,1544007150336
1010.87445,1544007150380
1010.9011,1544007150402
1010.79004,1544007150435
1010.6632,1544007150472
1010.56226,1544007150504
1010.54736,1544007150554
1010.5378,1544007150573
1010.4103,1544007150612
1010.46545,1544007150642
1010.45593,1544007150676
1010.41547,1544007150711
1010.1526,1544007150749
1010.2727,1544007150779
1010.31915,1544007150817
1010.34894,1544007150850
1010.2383,1544007150884
1010.3385,1544007150926
1010.1805,1544007150955
1010.3028,1544007150986
1010.4406,1544007151025
1010.42523,1544007151056
1010.4204,1544007151090
1010.41547,1544007151125
1010.4114,1544007151164
1009.8711,1544007151193
1009.9172,1544007151227
1010.3091,1544007151262
1010.30164,1544007151296
1010.4655,1544007151411
1010.58936,1544007151411
1010.64307,1544007151411
1010.72375,1544007151434
1010.7886,1544007151468
1010.80505,1544007151507
1010.90027,1544007151539
1010.8751,1544007151577
1010.81384,1544007151610
1010.787,1544007151643
1010.69775,1544007151675
1010.6427,1544007151710
1010.65247,1544007151745
1010.55255,1544007151780
1010.61145,1544007151817
1010.68774,1544007151850
1010.3799,1544007151883
1010.39795,1544007151916
1010.55273,1544007151950
1010.12164,1544007151985
1010.49304,1544007152022
1010.37335,1544007152054
1010.5199,1544007152089
1010.40576,1544007152123
1010.5685,1544007152158
1010.7964,1544007152199
1010.6129,1544007152257
1010.6301,1544007152261
1010.5333,1544007152300
1010.7623,1544007152330
1010.7839,1544007152364
1010.6903,1544007152399
1010.57544,1544007152434
1010.51154,1544007152479
1010.4693,1544007152505
1010.4857,1544007152537
1010.6925,1544007152571
1010.7788,1544007152605
1010.6967,1544007152641
1010.5351,1544007152674
1010.3477,1544007152710
1010.29785,1544007152743
1010.2702,1544007152782
1010.2177,1544007152813
1010.255,1544007152850
1010.2442,1544007152881
1010.2444,1544007152918
1009.95917,1544007153022
1010.0603,1544007153022
1010.19324,1544007153022
1009.9347,1544007153056
1009.6915,1544007153088
1010.13403,1544007153125
1010.4549,1544007153213
1009.9996,1544007153213
1009.9166,1544007153230
1010.55646,1544007153258
1010.85236,1544007153295
1010.97345,1544007153333
1010.8428,1544007153365
1010.85815,1544007153398
1010.4095,1544007153432
1010.6664,1544007153472
1010.92316,1544007153502
1010.63983,1544007153536
1010.6928,1544007153572
1010.69745,1544007153616
1010.64264,1544007153639
1010.77716,1544007153677
1010.901,1544007153719
1010.92316,1544007153743
1010.95825,1544007153779
1010.85986,1544007153812
1010.751,1544007153854
1010.6812,1544007153881
1010.4938,1544007153914
1010.4154,1544007153949
1010.30505,1544007153984
1010.42426,1544007154018
1010.8643,1544007154053
1011.33453,1544007154088
1011.66364,1544007154124
1011.9316,1544007154157
1011.893,1544007154201
1012.1172,1544007154225
1011.92413,1544007154309
1011.8302,1544007154309
1011.5576,1544007154350
1011.54803,1544007154363
1011.3845,1544007154398
1011.37555,1544007154435
1011.07996,1544007154466
1010.689,1544007154501
1010.2396,1544007154535
1009.8077,1544007154568
1009.8872,1544007154606
1010.0135,1544007154638
1009.7595,1544007154673
1009.8266,1544007154709
1009.89496,1544007154743
1009.8507,1544007154777
1009.79974,1544007154813
1009.5969,1544007154845
1009.6957,1544007154879
1009.7634,1544007154917
1009.75525,1544007154949
1009.67456,1544007154982
1009.8192,1544007155022
1009.9603,1544007155052
1010.03253,1544007155095
1010.1112,1544007155121
1010.26886,1544007155156
1010.39514,1544007155189
1010.4435,1544007155222
1010.5061,1544007155261
1010.5115,1544007155293
1010.59357,1544007155327
1010.4477,1544007155430
1010.62756,1544007155430
1010.8191,1544007155435
1010.84094,1544007155468
1010.8136,1544007155501
1010.63367,1544007155535
1010.6683,1544007155571
1010.7969,1544007155603
1010.64514,1544007155647
1010.801,1544007155673
1010.8863,1544007155706
1010.8936,1544007155742
1010.93555,1544007155781
1010.757,1544007155810
1010.6247,1544007155844
1010.8155,1544007155879
1010.8559,1544007155975
1010.55194,1544007155975
1010.68665,1544007155982
1010.80505,1544007156017
1010.76904,1544007156052
1010.7345,1544007156086
1010.7437,1544007156121
1010.73486,1544007156167
1010.7985,1544007156191
1010.1984,1544007156227
1010.6067,1544007156257
1010.98456,1544007156296
1011.0375,1544007156327
1011.12646,1544007156365
1011.1684,1544007156404
1011.1905,1544007156431
1011.1358,1544007156513
1011.01874,1544007156513
1010.97565,1544007156532
1010.9295,1544007156573
1010.89197,1544007156602
1010.7123,1544007156636
1010.33746,1544007156671
1010.158,1544007156707
1010.3843,1544007156741
1010.44214,1544007156777
1010.021,1544007156810
1010.17676,1544007156843
1010.1973,1544007156878
1010.29785,1544007156914
1010.3676,1544007156947
1010.15186,1544007156981
1010.26434,1544007157016
1010.09686,1544007157051
1010.23987,1544007157085
1010.3589,1544007157121
1010.3589,1544007157154
1009.8534,1544007157186
1010.09717,1544007157223
1010.29816,1544007157303
1010.27026,1544007157303
1010.2377,1544007157330
1010.1937,1544007157364
1010.19324,1544007157395
1010.2189,1544007157430
1010.21045,1544007157466
1010.18365,1544007157500
1010.1343,1544007157536
1010.09247,1544007157569
1009.5692,1544007157601
1009.8485,1544007157636
1010.04846,1544007157673
1010.11957,1544007157705
1009.7698,1544007157743
1009.9369,1544007157775
1009.8374,1544007157808
1009.8101,1544007157841
1009.87756,1544007157880
1010.0957,1544007157912
1010.18335,1544007157946
1010.1752,1544007157980
1010.16614,1544007158015
1010.1711,1544007158050
1010.15063,1544007158090
1010.1529,1544007158118
1009.9907,1544007158153
1010.1286,1544007158187
1010.0925,1544007158278
1010.08496,1544007158278
1010.22656,1544007158291
1010.0548,1544007158325
1010.0422,1544007158360
1010.1997,1544007158395
1010.2539,1544007158428
1010.2539,1544007158463
1010.187,1544007158498
1010.20825,1544007158532
1010.2096,1544007158569
