ts_start,ts_end,location
1544007149200,1544007150451,HALL
1544007150472,1544007227359,KITCHEN
1544007227372,1544007233044,DINING_ROOM
1544007233056,1544007298121,KITCHEN
1544007298143,1544007298594,HALL
1544007298628,1544007299110,MEDICINE_AREA
1544007299128,1544007301939,LIVING_ROOM
1544007302071,1544007307277,OFFICE
1544007300948,1544007301931,LIVING_ROOM
1544007302071,1544007307298,OFFICE
1544007300961,1544007301911,LIVING_ROOM
1544007302073,1544007307299,OFFICE
1544007300948,1544007301939,LIVING_ROOM
1544007302073,1544007307299,OFFICE
1544007300962,1544007301909,LIVING_ROOM
1544007302073,1544007334984,OFFICE
1544007335007,1544007336971,LIVING_ROOM
1544007337022,1544007345967,MEDICINE_AREA
1544007345996,1544007348100,HALL
1544007348127,1544007350775,MEDICINE_AREA
1544007350793,1544007354650,KITCHEN
1544007354666,1544007356456,OFFICE
1544007356474,1544007358492,LIVING_ROOM
1544007358505,1544007364974,MEDICINE_AREA
1544007358490,1544007358490,LIVING_ROOM
1544007358520,1544007364974,MEDICINE_AREA
1544007358491,1544007358491,LIVING_ROOM
1544007358520,1544007364975,MEDICINE_AREA
1544007358492,1544007358492,LIVING_ROOM
1544007358522,1544007365063,MEDICINE_AREA
1544007365065,1544007369740,HALL
1544007369742,1544007371222,KITCHEN
1544007364985,1544007365051,MEDICINE_AREA
1544007365085,1544007369737,HALL
1544007369775,1544007371250,KITCHEN
1544007365003,1544007365035,MEDICINE_AREA
1544007365065,1544007369712,HALL
1544007369773,1544007371250,KITCHEN
1544007365034,1544007365034,MEDICINE_AREA
1544007365065,1544007369711,HALL
1544007369742,1544007371251,KITCHEN
1544007365033,1544007365063,MEDICINE_AREA
1544007365093,1544007369740,HALL
1544007369772,1544007373079,KITCHEN
1544007373098,1544007377558,DINING_ROOM
1544007371284,1544007373059,KITCHEN
1544007373098,1544007377559,DINING_ROOM
1544007371283,1544007373059,KITCHEN
1544007373098,1544007377576,DINING_ROOM
1544007371277,1544007373079,KITCHEN
1544007373122,1544007377586,DINING_ROOM
1544007371280,1544007373057,KITCHEN
1544007373098,1544007394854,DINING_ROOM
1544007394948,1544007397370,KITCHEN
1544007391004,1544007394854,DINING_ROOM
1544007394949,1544007397398,KITCHEN
1544007391004,1544007394848,DINING_ROOM
1544007394949,1544007397398,KITCHEN
1544007391003,1544007394849,DINING_ROOM
1544007394948,1544007397398,KITCHEN
1544007391004,1544007394848,DINING_ROOM
1544007394948,1544007402434,KITCHEN
1544007402457,1544007404029,DINING_ROOM
1544007397426,1544007402432,KITCHEN
1544007402457,1544007404053,DINING_ROOM
1544007397407,1544007402434,KITCHEN
1544007402468,1544007404057,DINING_ROOM
1544007397425,1544007402432,KITCHEN
1544007402489,1544007404061,DINING_ROOM
1544007397424,1544007402431,KITCHEN
1544007402488,1544007406845,DINING_ROOM
1544007406870,1544007410737,KITCHEN
1544007404099,1544007406845,DINING_ROOM
1544007406884,1544007410750,KITCHEN
1544007404097,1544007406845,DINING_ROOM
1544007406872,1544007410750,KITCHEN
1544007404097,1544007406842,DINING_ROOM
1544007406870,1544007410751,KITCHEN
1544007404097,1544007406844,DINING_ROOM
1544007406871,1544007411260,KITCHEN
1544007411266,1544007417264,DINING_ROOM
1544007410784,1544007411168,KITCHEN
1544007411266,1544007417265,DINING_ROOM
1544007410781,1544007411260,KITCHEN
1544007411283,1544007417284,DINING_ROOM
1544007410776,1544007411260,KITCHEN
1544007411291,1544007417294,DINING_ROOM
1544007410785,1544007411168,KITCHEN
1544007411266,1544007420626,DINING_ROOM
1544007420641,1544007424136,KITCHEN
1544007417326,1544007420612,DINING_ROOM
1544007420641,1544007424137,KITCHEN
1544007417327,1544007420612,DINING_ROOM
1544007420644,1544007424137,KITCHEN
1544007417327,1544007420612,DINING_ROOM
1544007420642,1544007424141,KITCHEN
1544007417325,1544007420626,DINING_ROOM
1544007420660,1544007432826,KITCHEN
1544007432844,1544007437404,DINING_ROOM
1544007430771,1544007432815,KITCHEN
1544007432844,1544007437405,DINING_ROOM
1544007430756,1544007432818,KITCHEN
1544007432845,1544007437442,DINING_ROOM
1544007430865,1544007432826,KITCHEN
1544007432857,1544007437442,DINING_ROOM
1544007430757,1544007432815,KITCHEN
1544007432844,1544007437998,DINING_ROOM
1544007438110,1544007442176,KITCHEN
1544007442209,1544007437996,DINING_ROOM
1544007438110,1544007442173,KITCHEN
1544007442209,1544007437997,DINING_ROOM
1544007438110,1544007442176,KITCHEN
1544007442209,1544007437998,DINING_ROOM
1544007438111,1544007442176,KITCHEN
1544007442237,1544007437992,DINING_ROOM
1544007438110,1544007442160,KITCHEN
1544007442209,1544007606541,DINING_ROOM
1544007606560,1544007607716,KITCHEN
1544007601201,1544007606541,DINING_ROOM
1544007606576,1544007607724,KITCHEN
1544007601191,1544007606523,DINING_ROOM
1544007606561,1544007607725,KITCHEN
1544007601191,1544007606521,DINING_ROOM
1544007606560,1544007607726,KITCHEN
1544007601191,1544007606523,DINING_ROOM
1544007606562,1544007760419,KITCHEN
1544007760451,1544007761724,HALL
1544007761742,1544007762254,MEDICINE_AREA
1544007755954,1544007760418,KITCHEN
1544007760465,1544007761704,HALL
1544007761742,1544007762256,MEDICINE_AREA
1544007755947,1544007760419,KITCHEN
1544007760465,1544007761707,HALL
1544007761742,1544007762257,MEDICINE_AREA
1544007755946,1544007760419,KITCHEN
1544007760465,1544007761707,HALL
1544007761745,1544007762277,MEDICINE_AREA
1544007755953,1544007760417,KITCHEN
1544007760451,1544007761724,HALL
1544007761763,1544007763500,MEDICINE_AREA
1544007763517,1544007769025,LIVING_ROOM
1544007762301,1544007763500,MEDICINE_AREA
1544007763521,1544007769025,LIVING_ROOM
1544007762300,1544007763500,MEDICINE_AREA
1544007763520,1544007769025,LIVING_ROOM
1544007762300,1544007763500,MEDICINE_AREA
1544007763517,1544007769030,LIVING_ROOM
1544007762317,1544007763482,MEDICINE_AREA
1544007763521,1544007869432,LIVING_ROOM
1544007869532,1544007872749,MEDICINE_AREA
1544007866484,1544007869431,LIVING_ROOM
1544007869533,1544007872770,MEDICINE_AREA
1544007866431,1544007869432,LIVING_ROOM
1544007869533,1544007872777,MEDICINE_AREA
1544007866442,1544007869431,LIVING_ROOM
1544007869532,1544007872777,MEDICINE_AREA
1544007866442,1544007869431,LIVING_ROOM
1544007869532,1544007873192,MEDICINE_AREA
1544007873221,1544007879041,HALL
1544007872806,1544007873184,MEDICINE_AREA
1544007873221,1544007879052,HALL
1544007872806,1544007873191,MEDICINE_AREA
1544007873221,1544007879053,HALL
1544007872807,1544007873191,MEDICINE_AREA
1544007873253,1544007879053,HALL
1544007872806,1544007873192,MEDICINE_AREA
1544007873221,1544007884415,HALL
1544007884441,1544007892065,OUT
