x,y,z,ts
-21.968079,16.452026,-0.74920654,1544007149200
-23.67096,18.063354,-4.4021606,1544007149200
-22.862244,18.225098,-5.6121826,1544007149220
-23.52295,18.39447,-8.189392,1544007149258
-22.387695,17.269897,-7.1517944,1544007149269
-22.843933,18.016052,-7.0129395,1544007149297
-24.54834,19.015503,-8.155823,1544007149356
-21.18988,18.02826,-9.107971,1544007149409
-22.7005,18.191528,-10.360718,1544007149416
-23.106384,18.870544,-9.587097,1544007149444
-22.63794,18.704224,-9.483337,1544007149475
-20.829773,19.615173,-10.0997925,1544007149503
-19.429016,21.012878,-9.34906,1544007149533
-21.600342,18.278503,-7.1243286,1544007149594
-19.915771,21.513367,-7.460022,1544007149622
-21.118164,23.840332,-3.1402588,1544007149651
-21.479797,24.043274,-7.7438354,1544007149694
-21.45691,22.16034,-6.652832,1544007149711
-19.024658,20.593262,-6.2561035,1544007149741
-21.421814,19.819641,-7.658386,1544007149802
-22.43042,15.777588,-3.3920288,1544007149832
-23.840332,15.075684,-3.5263062,1544007149864
-25.915527,17.320251,-6.5612793,1544007149888
-24.198914,16.751099,-5.055237,1544007149919
-25.964355,13.145447,-4.3304443,1544007149951
-26.23291,14.21051,-5.4275513,1544007150008
-27.4292,13.168335,-4.48761,1544007150038
-28.121948,15.126038,-1.4205933,1544007150069
-26.217651,18.319702,0.8026123,1544007150095
-24.60785,16.308594,-0.2166748,1544007150125
-26.28479,16.656494,-0.21972656,1544007150155
-27.223206,19.169617,2.017212,1544007150217
-24.865723,17.62085,0.37231445,1544007150245
-23.89679,17.23938,1.159668,1544007150273
-25.384521,17.965698,4.838562,1544007150305
-26.637268,17.58728,4.9850464,1544007150334
-22.640991,21.243286,8.360291,1544007150380
-23.786926,19.421387,5.053711,1544007150422
-25.62561,17.520142,-1.0391235,1544007150450
-24.084473,17.628479,1.2512207,1544007150481
-23.820496,17.333984,4.447937,1544007150511
-26.542664,16.036987,8.047485,1544007150553
-26.95465,16.181946,2.0645142,1544007150570
-25.518799,18.385315,3.37677,1544007150629
-26.92566,18.170166,2.9525757,1544007150658
-27.142334,17.146301,3.0960083,1544007150687
-23.947144,16.111755,-2.3406982,1544007150719
-23.48175,15.603638,-2.923584,1544007150749
-23.970032,13.517761,-0.1083374,1544007150778
-24.1745,15.692139,-3.3477783,1544007150807
-23.358154,16.51001,-8.442688,1544007150867
-23.329163,15.412903,-7.157898,1544007150900
-24.485779,13.841248,-7.093811,1544007150926
-23.815918,7.1411133,-8.026123,1544007150955
-25.224304,9.841919,-10.07843,1544007150985
-22.651672,13.645935,-11.965942,1544007151016
-21.125793,12.281799,-12.7456665,1544007151075
-20.718384,12.568665,-14.826965,1544007151115
-19.38324,16.488647,-11.425781,1544007151132
-17.303467,16.682434,-9.909058,1544007151163
-19.049072,13.973999,-15.142822,1544007151190
-18.251038,17.111206,-12.59613,1544007151221
-17.834473,17.863464,-14.924622,1544007151281
-20.43457,18.663025,-11.671448,1544007151314
-19.94629,17.098999,-10.726929,1544007151415
-18.673706,16.4917,-8.59375,1544007151415
-18.644714,15.847778,-14.079285,1544007151415
-13.143921,15.930176,-11.595154,1544007151432
-20.101929,18.914795,-14.1922,1544007151487
-21.360779,21.188354,-12.472534,1544007151516
-22.042847,15.602112,-13.381958,1544007151546
-23.37799,13.648987,-11.949158,1544007151576
-22.554016,12.591553,-18.920898,1544007151609
