value,ts
999.13,1542817414543
999.14,1542817414609
999.12,1542817414641
999.09,1542817414690
999.09,1542817414782
999.09,1542817414790
999.07,1542817414844
999.07,1542817414896
999.09,1542817415035
999.1,1542817415036
999.1,1542817415056
999.1,1542817415103
999.09,1542817415155
999.07,1542817415215
999.08,1542817415247
999.05,1542817415303
999.07,1542817415347
999.09,1542817415400
999.09,1542817415453
999.09,1542817415500
999.1,1542817415556
999.11,1542817415603
999.15,1542817415774
999.18,1542817415775
999.2,1542817415775
999.22,1542817415799
999.2,1542817415963
999.19,1542817415963
999.2,1542817415974
999.17,1542817416049
999.17,1542817416141
999.12,1542817416141
999.11,1542817416165
999.09,1542817416203
999.1,1542817416254
999.1,1542817416315
999.07,1542817416357
999.09,1542817416408
999.1,1542817416481
999.12,1542817416509
999.14,1542817416560
999.14,1542817416610
999.12,1542817416667
999.12,1542817416720
999.07,1542817416766
999.09,1542817416811
999.09,1542817416862
999.09,1542817416915
999.12,1542817416962
999.13,1542817417024
999.11,1542817417069
999.11,1542817417113
999.11,1542817417161
999.12,1542817417218
999.13,1542817417265
999.11,1542817417327
999.12,1542817417372
999.13,1542817417462
999.13,1542817417473
999.14,1542817417562
999.13,1542817417611
999.15,1542817417627
999.12,1542817417684
999.12,1542817417859
999.11,1542817417860
999.11,1542817417860
999.12,1542817417872
999.12,1542817417917
999.14,1542817417967
999.12,1542817418020
999.13,1542817418078
999.13,1542817418118
999.14,1542817418168
999.15,1542817418241
999.12,1542817418273
999.12,1542817418323
999.13,1542817418371
999.11,1542817418427
999.11,1542817418511
999.11,1542817418523
999.14,1542817418571
999.14,1542817418639
999.14,1542817418677
999.14,1542817418724
999.14,1542817418777
999.15,1542817418828
999.11,1542817418875
999.12,1542817418925
999.14,1542817418991
999.14,1542817419137
999.13,1542817419138
999.13,1542817419138
999.13,1542817419193
999.13,1542817419256
999.13,1542817419282
999.12,1542817419334
999.12,1542817419383
999.12,1542817419445
999.13,1542817419488
999.14,1542817419537
999.14,1542817419622
999.12,1542817419637
999.12,1542817419690
999.13,1542817419742
999.13,1542817419790
999.13,1542817419870
999.13,1542817419886
999.13,1542817419937
999.11,1542817419990
999.13,1542817420044
999.14,1542817420091
999.15,1542817420140
999.15,1542817420189
999.15,1542817420286
999.14,1542817420290
999.15,1542817420339
999.12,1542817420396
999.13,1542817420682
999.13,1542817420682
999.12,1542817420682
999.13,1542817420682
999.14,1542817420683
999.13,1542817420708
999.13,1542817420745
999.12,1542817420824
999.11,1542817420842
999.11,1542817420913
999.13,1542817420944
999.12,1542817421077
999.11,1542817421084
999.12,1542817421136
999.12,1542817421177
999.15,1542817421217
999.15,1542817421250
999.13,1542817421299
999.14,1542817421361
999.13,1542817421403
999.14,1542817421458
999.13,1542817421535
999.13,1542817421577
999.14,1542817421609
999.14,1542817421656
999.11,1542817421708
999.09,1542817421776
999.11,1542817421810
999.12,1542817421861
999.11,1542817421984
999.13,1542817421985
999.11,1542817422033
999.11,1542817422068
999.11,1542817422113
999.15,1542817422200
999.15,1542817422214
999.15,1542817422297
999.14,1542817422312
999.15,1542817422384
999.12,1542817422411
999.11,1542817422470
999.14,1542817422521
999.15,1542817422563
999.14,1542817422718
999.12,1542817422718
999.11,1542817422719
999.13,1542817422771
999.16,1542817422820
