ts_start,ts_end,act
1543245819256,1543245823241,TRANSITION
1543245823267,1543245841511,ENTERING_HOME
1543245841525,1543245850769,TRANSITION
1543245850777,1543245975420,WATCHING_TV
1543245975430,1543245983282,TRANSITION
1543245983285,1543246050547,PREPARING_COLD_MEAL
1543246050552,1543246077854,TRANSITION
1543246077872,1543246084423,EATING
1543246084448,1543246106225,TRANSITION
1543246106252,1543246130221,EATING
1543246130225,1543246134262,TRANSITION
1543246134265,1543246143977,EATING
1543246143980,1543246148866,TRANSITION
1543246148878,1543246156158,EATING
1543246156168,1543246177319,TRANSITION
1543246177359,1543246237945,WASHING_DISHES
1543246237948,1543246240007,TRANSITION
1543246240024,1543246316657,ANSWERING_PHONE
1543246316675,1543246325467,TRANSITION
1543246325476,1543246406366,USING_PC
1543246406399,1543246417905,TRANSITION
1543246417918,1543246445973,TAKING_MEDICINES
1543246445983,1543246470106,TRANSITION
