sensor_id,sensor_status,ts,subject_id
P3,"ON",1542813869000,"206"
E2,"ON",1542813875910,"206"
R2,"ON",1542813897551,"201"
R2,"OFF",1542813900339,"201"
R5,"ON",1542813914057,"201"
R5,"OFF",1542813917588,"201"
R7,"ON",1542813921016,"201"
R7,"OFF",1542813934920,"201"
E1,"ON",1542813938839,"201"
E1,"OFF",1542813977843,"201"
P1,"ON",1542813989241,"201"
P1,"OFF",1542814062846,"201"
P7,"ON",1542814082000,"201"
P7,"OFF",1542814132000,"201"
P3,"OFF",1542814135000,"206"
E2,"OFF",1542814138877,"201"
R7,"ON",1542814143048,"206"
R7,"OFF",1542814147658,"206"
R7,"ON",1542814166902,"206"
R7,"OFF",1542814170651,"206"
R1,"ON",1542814172380,"206"
R1,"OFF",1542814176667,"206"
R1,"ON",1542814187947,"206"
R1,"OFF",1542814194755,"206"
R2,"ON",1542814195840,"206"
R2,"OFF",1542814198330,"206"
E2,"ON",1542814262875,"201"
P7,"ON",1542814266000,"201"
P7,"OFF",1542814351000,"201"
E2,"OFF",1542814357876,"201"
R6,"ON",1542814463191,"201"
R6,"OFF",1542814490725,"201"
