x,y,z,ts
0.16851334,-0.14409111,0.26864445,1542813841539
0.10013112,-0.05372889,0.23323223,1542813841540
-0.23933779,0.06716111,0.4151778,1542813841588
-0.5836911,0.16607112,0.40907225,1542813841593
-0.5690378,0.05372889,0.28940335,1542813841597
-0.2625389,-0.23567446,0.19171445,1542813841612
0.35290113,-0.5470578,-0.035412222,1542813841636
1.1466234,-0.64108336,0.0036633336,1542813841678
1.3725289,-0.40663,0.5092034,1542813841696
0.82425004,-0.046402223,0.8218078,1542813841696
0.14653334,0.17339778,1.0123012,1542813841713
-0.18194556,0.2283478,1.12098,1542813841749
-0.1856089,0.24910668,1.0440501,1542813841763
-0.046402223,0.2075889,0.8779789,1542813841772
0.02198,0.15141778,0.68626446,1542813841794
0.09402556,0.11478445,0.5568267,1542813841812
0.19293556,0.09036223,0.4359367,1542813841839
0.19049335,0.048844445,0.3284789,1542813841853
0.09646778,-0.015874445,0.23933779,1542813841868
0.059834447,-0.081814446,0.11234222,1542813841990
0.17584,-0.117226675,-0.018316668,1542813841990
0.3504589,-0.06594,-0.11844778,1542813841990
0.3931978,0.048844445,-0.13798556,1542813841990
0.25399113,0.16729222,-0.15630223,1542813841991
0.024422223,0.2625389,-0.20270446,1542813841991
-0.11966889,0.31871,-0.25521225,1542813842025
-0.09036223,0.32481557,-0.32481557,1542813842035
-0.026864445,0.30649891,-0.38220778,1542813842101
0.009768889,0.26742333,-0.41029334,1542813842101
-0.015874445,0.19782001,-0.38465002,1542813842102
-0.078151114,0.10745778,-0.3858711,1542813842142
-0.10867889,-0.03297,-0.3931978,1542813842146
-0.078151114,-0.17950334,-0.40540892,1542813842167
-0.06716111,-0.25277,-0.32725778,1542813842169
-0.081814446,-0.32115224,-0.12455334,1542813842186
-0.08425667,-0.46768558,0.11966889,1542813842222
-0.039075557,-0.63619894,0.36877558,1542813842225
0.12943779,-0.73755115,0.6117767,1542813842251
0.3834289,-0.7351089,0.6471889,1542813842265
0.5507211,-0.57270116,0.50554,1542813842287
0.52019334,-0.31382558,0.37854445,1542813842304
0.3260367,-0.007326667,0.23567446,1542813842325
0.06960334,0.28085557,0.16973445,1542813842351
-0.24055889,0.45425335,0.23445335,1542813842392
-0.47501224,0.4908867,0.32970002,1542813842397
-0.49455002,0.43105224,0.36267,1542813842408
-0.2869611,0.31260446,0.31382558,1542813842425
0.029306669,0.18194556,0.21125223,1542813842447
0.34801668,0.070824444,0.117226675,1542813842463
0.53851,-0.018316668,0.028085556,1542813842483
0.52141446,-0.117226675,-0.037854444,1542813842506
0.43960002,-0.19293556,-0.09524667,1542813842523
0.41884112,-0.20636779,-0.12821667,1542813842551
0.43349445,-0.18316667,-0.12455334,1542813842568
0.34435335,-0.12699556,-0.14653334,1542813842614
0.15752333,-0.04029667,-0.14164889,1542813842615
-0.10013112,-0.013432222,-0.07326667,1542813842683
-0.2869611,-0.03174889,-0.026864445,1542813842683
-0.26620224,-0.04029667,-0.0012211112,1542813842683
-0.14897557,-0.04151778,-0.012211111,1542813842683
-0.047623336,-0.05250778,-0.046402223,1542813842725
-0.017095556,-0.078151114,-0.059834447,1542813842727
-0.008547778,-0.102573335,-0.07693,1542813842751
0.007326667,-0.11356334,-0.054950003,1542813842777
0.057392225,-0.08425667,-0.019537779,1542813842783
0.07693,-0.015874445,0.028085556,1542813842806
0.0024422223,0.03297,0.051286668,1542813842821
-0.11356334,0.078151114,0.024422223,1542813842845
-0.17339778,0.091583334,-0.054950003,1542813842861
-0.16118668,0.10379445,-0.15752333,1542813842880
-0.13432223,0.15630223,-0.19171445,1542813842898
-0.18194556,0.2075889,-0.14164889,1542813842920
-0.28085557,0.23689556,-0.08059334,1542813842941
-0.34435335,0.22590557,-0.028085556,1542813842957
-0.28940335,0.19171445,-0.029306669,1542813842982
-0.17339778,0.16729222,-0.05006556,1542813842998
-0.07204556,0.12821667,-0.05617111,1542813843018
-0.070824444,0.09524667,-0.035412222,1542813843042
-0.09524667,0.08792,-0.017095556,1542813843057
-0.10135223,0.09524667,0.012211111,1542813843076
-0.098910004,0.11112112,0.02198,1542813843097
-0.106236674,0.109900005,0.017095556,1542813843116
-0.13432223,0.10745778,0.023201112,1542813843144
-0.13554333,0.11112112,0.06227667,1542813843188
-0.13676445,0.08303556,0.102573335,1542813843191
-0.12455334,0.037854444,0.07204556,1542813843196
-0.048844445,-0.039075557,-0.028085556,1542813843218
0.057392225,-0.13310112,-0.17950334,1542813843240
0.1306589,-0.20026223,-0.31016225,1542813843265
0.09036223,-0.23811668,-0.3284789,1542813843273
-0.11234222,-0.29306668,-0.24910668,1542813843292
-0.38709223,-0.34191114,-0.15019667,1542813843318
-0.59834445,-0.3944189,-0.10501556,1542813843340
-0.47623336,-0.4566956,-0.13310112,1542813843359
-0.025643334,-0.36999667,-0.24910668,1542813843372
0.3504589,-0.23933779,-0.31260446,1542813843393
0.41151446,-0.11600556,-0.3309211,1542813843412
0.24666445,0.047623336,-0.26986557,1542813843445
-0.07937223,0.11112112,-0.18438779,1542813843451
-0.35778558,0.05250778,-0.21491556,1542813843471
-0.38953447,-0.047623336,-0.31871,1542813843494
-0.20881,-0.20026223,-0.40174556,1542813843512
0.048844445,-0.38220778,-0.42128336,1542813843549
0.13798556,-0.49943447,-0.31993112,1542813843563
-0.058613338,-0.46768558,-0.106236674,1542813843583
-0.41151446,-0.3162678,0.091583334,1542813843602
