ts_start,ts_end,act
1542813841679,1542813855178,TRANSITION
1542813855208,1542813868053,ENTERING_HOME
1542813868057,1542813890381,TRANSITION
1542813890397,1542814137732,WATCHING_TV
1542814137761,1542814155829,TRANSITION
1542814155853,1542814226119,PREPARING_COLD_MEAL
1542814226139,1542814227741,TRANSITION
1542814227761,1542814265951,MAKING_PHONE_CALL
1542814265953,1542814282554,TRANSITION
1542814282557,1542814338080,ANSWERING_PHONE
1542814338181,1542814340350,TRANSITION
1542814340359,1542814353585,LEAVING_HOME
1542814353601,1542814464513,TRANSITION
1542814464528,1542814479758,ENTERING_HOME
1542814479827,1542814493953,TRANSITION
