x,y,z,ts
21.178633,-0.38310146,0.8413217,1544006114053
19.546448,1.2074761,0.013859034,1544006114095
19.105898,2.2756257,-0.5625007,1544006114125
17.634375,3.0574465,-0.5017569,1544006114162
16.507385,3.9272666,-1.0482371,1544006114203
16.824408,4.1962233,-1.7009233,1544006114235
16.824408,4.1962233,-1.7009233,1544006114268
16.824408,4.1962233,-1.7009233,1544006114304
16.824408,4.1962233,-1.7009233,1544006114342
17.110888,3.2916503,-1.3820505,1544006114379
16.624407,3.0907497,-1.072572,1544006114416
16.5994,2.6476583,-0.7634821,1544006114446
15.7271805,2.8438067,0.013489485,1544006114480
16.497398,3.1197338,-0.51239824,1544006114527
16.666899,2.196907,0.13205695,1544006114556
17.001415,1.9282889,0.3068061,1544006114585
17.268318,1.0358963,0.9693439,1544006114623
17.34324,0.7530308,1.309468,1544006114658
18.37213,0.6428366,1.2540388,1544006114700
18.46529,0.7383785,1.602576,1544006114733
18.45407,1.093832,0.9738405,1544006114768
18.210398,1.0189056,0.7968054,1544006114803
17.37451,0.005171776,1.4205917,1544006114844
17.11003,0.11168194,1.4812922,1544006114877
17.270151,1.5438719,1.0111755,1544006114910
17.354408,2.1817813,0.500535,1544006114950
17.604874,2.402173,-0.4551115,1544006114983
18.114931,2.422556,-0.8619714,1544006115018
17.970348,1.973011,-0.45243716,1544006115054
17.240763,1.0922489,0.5890939,1544006115088
16.996666,1.2648602,0.6232599,1544006115133
17.318363,2.2005754,0.22483528,1544006115163
17.347683,2.3588533,0.06194651,1544006115198
17.269672,2.2154717,0.022868276,1544006115235
17.162882,1.927311,0.016192317,1544006115270
17.162882,1.927311,0.016192317,1544006115303
17.162882,1.927311,0.016192317,1544006115347
17.02499,1.6523027,0.038774133,1544006115385
18.371927,0.9064398,-0.1696639,1544006115414
16.998142,0.8398237,0.3708247,1544006115446
16.847557,1.7809706,0.37967575,1544006115481
17.361155,1.8622999,0.71039176,1544006115518
17.177378,1.5530348,0.9754802,1544006115551
17.040676,1.4231653,0.9535297,1544006115588
16.935436,1.103239,1.1450756,1544006115627
16.88886,0.9268055,1.432559,1544006115666
16.929327,0.9244671,1.4983428,1544006115702
16.813354,0.72517395,1.605021,1544006115733
16.843992,0.62240505,1.5834112,1544006115771
16.922867,0.59503555,1.5438439,1544006115808
17.070723,0.5204115,1.498696,1544006115843
17.012554,0.443861,1.4385065,1544006115884
17.248938,0.32760048,1.4588282,1544006115912
17.230286,0.36743355,1.5655762,1544006115950
17.170422,0.61276245,1.5612838,1544006115990
16.972874,1.0054226,1.623853,1544006116021
16.884056,1.2410316,1.4953218,1544006116057
16.942919,1.4669456,1.3611777,1544006116101
17.09192,1.3690405,1.3468903,1544006116135
17.220203,1.5257244,1.3776678,1544006116174
17.240257,1.5844688,1.4329424,1544006116229
17.1821,1.643301,1.4716903,1544006116238
17.093994,1.6925106,1.5074395,1544006116272
17.093994,1.6925106,1.5074395,1544006116309
17.093994,1.6925106,1.5074395,1544006116343
17.035337,1.751297,1.5250038,1544006116376
17.227169,1.1943893,1.6129131,1544006116422
17.08055,1.0479107,1.6697278,1544006116454
17.12993,1.0681019,1.5691208,1544006116486
17.101957,0.9017134,1.6276358,1544006116581
17.210533,0.9508343,1.7413536,1544006116581
17.546295,0.9509239,2.0765312,1544006116598
17.705856,0.8626871,2.5484645,1544006116638
17.548107,1.3235893,2.683571,1544006116670
17.103603,1.9609566,2.4876711,1544006116719
16.946035,1.9702854,2.2994955,1544006116764
16.740889,1.5361719,1.9555176,1544006116777
16.869617,1.2181158,1.6072156,1544006116821
17.05683,1.1640997,1.5228772,1544006116853
16.831509,1.2363958,1.9074578,1544006116890
16.724592,1.2400293,2.3045382,1544006116929
16.833998,1.1951218,2.6451461,1544006116961
16.89464,0.9631796,2.8792286,1544006117036
16.866058,0.82292175,3.0009952,1544006117037
17.053444,0.7775631,3.0860927,1544006117075
17.123255,0.5950794,3.282973,1544006117103
17.182535,0.5335064,3.3679404,1544006117140
17.213,0.5060644,3.615864,1544006117185
17.25243,0.5978527,3.620863,1544006117213
17.281652,0.6625891,3.5355563,1544006117251
17.281652,0.6625891,3.5355563,1544006117284
17.281652,0.6625891,3.5355563,1544006117321
17.281652,0.6625891,3.5355563,1544006117358
17.092644,1.317894,2.8648045,1544006117388
16.97468,1.3957386,2.885035,1544006117438
17.141024,2.1209579,3.8534532,1544006117473
17.781235,2.3073835,5.1019635,1544006117503
18.040682,1.449769,6.309744,1544006117534
17.451015,1.1611137,6.26604,1544006117568
17.038822,0.73172474,6.0585995,1544006117603
16.362173,-0.033984184,5.4865537,1544006117638
16.116783,-0.18499565,5.16613,1544006117677
15.754501,-0.53758526,4.2189612,1544006117710
15.6765995,-0.64474106,4.0698366,1544006117745
15.707493,-0.8440294,3.9638853,1544006117779
16.01195,-0.6949358,3.783122,1544006117816
16.061848,-0.7018156,4.1081333,1544006117850
16.072594,-0.89675236,4.133989,1544006117888
16.097443,-2.3272848,4.1890597,1544006117926
15.659562,-3.1492777,5.18208,1544006117969
16.749712,-6.9929304,5.8302655,1544006117997
15.152407,-11.294927,8.753534,1544006118027
14.889492,-13.540298,5.0963445,1544006118064
17.170012,-12.172115,4.1125193,1544006118104
14.323902,-9.338491,5.4293413,1544006118143
9.9001255,-6.0311985,4.388607,1544006118174
9.275459,-2.4248114,0.904789,1544006118213
10.036788,-3.912531,0.2149458,1544006118246
10.036788,-3.912531,0.2149458,1544006118281
10.036788,-3.912531,0.2149458,1544006118319
10.036788,-3.912531,0.2149458,1544006118354
10.036788,-3.912531,0.2149458,1544006118387
10.036788,-3.912531,0.2149458,1544006118422
13.016575,-3.548582,-1.5264235,1544006118462
12.690977,-2.4045124,-1.0224168,1544006118493
13.284559,-0.72399426,-0.3292674,1544006118541
14.446571,0.37234974,-0.36472237,1544006118565
14.795906,0.90480804,-0.4803465,1544006118599
15.579936,0.07249546,0.12140536,1544006118699
16.16986,0.028477669,0.5624392,1544006118699
19.04134,-1.4655027,1.3230803,1544006118744
19.228918,-0.93873787,1.8922439,1544006118753
18.7174,0.14598656,1.4814024,1544006118777
18.908775,3.3341756,0.18479514,1544006118814
17.789757,3.437469,0.9550588,1544006118856
17.193762,1.760107,1.8327637,1544006118892
17.383715,-0.33713531,2.1738832,1544006118920
16.747593,-1.2817421,2.2217493,1544006118957
15.757099,-1.6776905,1.9658206,1544006118989
15.459487,-0.65749454,1.2938514,1544006119026
15.762636,-0.083703995,2.0146484,1544006119064
16.04759,-0.8112583,1.6874626,1544006119098
16.50929,-1.374918,1.2940238,1544006119136
16.732841,-0.6008787,0.6187699,1544006119176
16.486162,-0.30960464,0.2437203,1544006119210
17.437609,-0.8516474,-0.3931948,1544006119248
17.744017,-1.9787531,-0.6062019,1544006119291
17.744017,-1.9787531,-0.6062019,1544006119312
17.744017,-1.9787531,-0.6062019,1544006119376
17.744017,-1.9787531,-0.6062019,1544006119381
18.576193,-4.103676,-3.203188,1544006119422
19.154543,-3.9544296,-4.2418656,1544006119460
20.134169,-3.0846205,-5.107121,1544006119494
19.299107,-2.3011703,-5.465812,1544006119528
16.64557,-0.030776024,-6.146655,1544006119563
15.35815,0.8075805,-6.3092437,1544006119624
13.338156,0.96459866,-6.591757,1544006119639
12.888975,1.0555372,-7.0861073,1544006119670
13.056712,1.2249684,-7.32347,1544006119706
13.441615,1.1459594,-7.403782,1544006119739
14.465437,-0.10848141,-6.8863235,1544006119776
16.066284,-1.2057743,-5.687581,1544006119829
16.616451,-1.8327236,-4.561661,1544006119844
19.127682,-1.8984041,-3.2728536,1544006119881
22.629593,-1.5597982,-2.7472925,1544006119921
19.76975,-4.0432515,1.2196255,1544006119957
17.583233,-3.799008,1.8987937,1544006119999
18.208405,-3.0244522,0.08931494,1544006120039
18.844809,-2.4712653,-0.66764355,1544006120062
18.971869,-2.7062645,-1.3360319,1544006120098
15.616828,-2.5276785,-1.8606803,1544006120132
11.877908,-1.2314863,-1.6505749,1544006120247
10.092772,-0.5889616,-1.1652789,1544006120248
9.477182,-0.8759451,-0.9006221,1544006120248
9.039219,-1.4942522,-0.6141257,1544006120276
9.039219,-1.4942522,-0.6141257,1544006120353
9.039219,-1.4942522,-0.6141257,1544006120364
