x,y,z,ts
-13.921848,13.229614,-16.042068,1543243782276
-15.313339,13.923252,-15.970551,1543243782276
-15.155136,12.445774,-16.874985,1543243782309
-13.921848,13.229614,-16.042068,1543243782382
-15.276171,13.407082,-17.306084,1543243782383
-16.065025,14.471325,-17.748756,1543243782411
-14.822397,15.269371,-16.295418,1543243782445
-13.440245,14.56152,-16.987373,1543243782483
-14.033543,14.205124,-15.852737,1543243782560
-13.959202,13.172779,-18.523804,1543243782561
-13.977695,13.717369,-15.947403,1543243782597
-15.453049,14.856136,-17.642525,1543243782623
-15.276171,13.407082,-17.306084,1543243782682
-14.72938,14.265442,-17.725616,1543243782703
-14.108067,14.664463,-16.998947,1543243782729
-14.775888,14.767406,-17.01052,1543243782775
-15.285509,13.392872,-17.926521,1543243782803
-15.248337,12.87669,-19.262054,1543243782882
-14.72938,14.265442,-17.725616,1543243782884
-14.692209,13.749268,-19.06115,1543243782922
-14.654856,13.806107,-16.579414,1543243782941
-14.90626,15.714504,-18.06205,1543243782982
-13.356565,13.543381,-19.038002,1543243783012
-14.813242,14.710571,-19.492256,1543243783049
-15.276352,12.8340645,-21.12336,1543243783101
-14.126743,14.636044,-18.239807,1543243783115
-15.9906845,13.43898,-20.41983,1543243783182
-14.331638,16.04248,-20.437553,1543243783199
-14.294468,15.526306,-21.773087,1543243783219
-16.556149,12.552193,-21.241165,1543243783255
-13.486937,14.490475,-20.089546,1543243783292
-14.266453,15.568935,-19.911789,1543243783330
-13.486937,14.490475,-20.089546,1543243783364
-13.570799,14.9356,-21.856182,1543243783427
-15.46257,14.268917,-22.080227,1543243783434
-13.552122,14.96402,-20.615314,1543243783469
-17.298496,13.114471,-22.398941,1543243783501
-12.847128,14.344906,-21.939274,1543243783537
-15.453232,14.283127,-21.45979,1543243783574
-17.205479,12.110546,-23.829147,1543243783609
-16.909908,15.45031,-21.914043,1543243783645
-14.164097,14.579208,-20.72155,1543243783679
-14.0524025,13.603699,-20.910881,1543243783712
-14.859934,14.639526,-22.594429,1543243783748
-15.406723,13.781162,-22.174892,1543243783784
-17.761608,11.23798,-24.030048,1543243783829
-13.505613,14.462055,-21.330406,1543243783859
-16.121056,14.38607,-21.471363,1543243783895
-16.46313,11.548264,-22.671364,1543243783940
-14.78541,14.180187,-21.44822,1543243783964
-15.9906845,13.43898,-20.41983,1543243783999
-16.13021,14.94487,-18.27452,1543243784032
-15.313524,13.350246,-19.787819,1543243784076
-15.425217,14.325756,-19.598495,1543243784104
-15.360031,13.852207,-19.072723,1543243784140
-16.074364,14.457115,-18.369186,1543243784171
-15.90682,12.993843,-18.65319,1543243784367
-15.471725,14.827717,-18.883392,1543243784367
-15.462387,14.841927,-18.262955,1543243784367
-15.3693695,13.838001,-19.693161,1543243784367
-15.332201,13.321827,-21.02869,1543243784367
-13.421751,14.01693,-19.563774,1543243784387
-14.033726,13.632118,-19.670013,1543243784415
-13.579954,15.494408,-18.65934,1543243784451
-13.08901,16.840527,-18.984207,1543243784485
-11.669687,15.616505,-21.011696,1543243784536
-12.430529,16.723373,-19.593079,1543243784559
-11.939585,18.069496,-19.917938,1543243784597
-12.663256,18.66019,-19.834846,1543243784641
-11.215916,17.478798,-20.00103,1543243784666
-10.659788,18.351364,-19.800125,1543243784702
-9.435839,19.12099,-19.587654,1543243784748
-8.721506,18.516087,-20.291176,1543243784770
-9.445177,19.106781,-20.208084,1543243784805
-8.703012,17.971497,-22.867584,1543243784838
-7.479063,18.74112,-22.65511,1543243784909
-5.6059685,19.379395,-23.671928,1543243784918
-5.59663,19.393604,-23.05149,1543243784947
