value,ts
985.4384,1543243787675
985.50726,1543243787675
985.5674,1543243787709
985.56506,1543243787744
985.6292,1543243787780
985.58954,1543243787812
985.48694,1543243787848
985.40735,1543243787881
984.3489,1543243787918
984.87256,1543243787950
985.14514,1543243787985
985.22046,1543243788019
985.2912,1543243788058
985.2215,1543243788089
985.0454,1543243788123
984.7091,1543243788159
984.0945,1543243788192
984.7156,1543243788226
985.1267,1543243788266
985.2129,1543243788295
984.81274,1543243788328
985.16174,1543243788364
985.43066,1543243788408
985.5057,1543243788432
985.6267,1543243788473
985.7471,1543243788543
985.81604,1543243788543
985.5397,1543243788573
985.8461,1543243788606
986.1534,1543243788639
986.40735,1543243788677
986.5069,1543243788763
986.4525,1543243788763
985.9501,1543243788777
986.1181,1543243788814
986.4508,1543243788846
986.4822,1543243788884
986.5135,1543243788915
986.84735,1543243788949
986.9402,1543243788982
986.62866,1543243789021
986.3379,1543243789054
986.24744,1543243789087
986.36554,1543243789122
986.4049,1543243789156
986.49603,1543243789191
986.58905,1543243789233
986.77905,1543243789260
986.32935,1543243789340
986.7399,1543243789340
987.02167,1543243789363
987.0857,1543243789480
987.17755,1543243789480
985.3035,1543243789480
986.4353,1543243789501
987.39404,1543243789551
987.3399,1543243789640
987.2792,1543243789640
987.30066,1543243789640
987.37054,1543243789673
987.42114,1543243789714
987.5536,1543243789754
987.7142,1543243789776
987.6803,1543243789811
987.7426,1543243789845
987.6606,1543243789882
987.5385,1543243789914
987.4766,1543243789949
987.2718,1543243789983
987.15704,1543243790018
987.0183,1543243790052
986.46515,1543243790087
986.59924,1543243790121
986.9171,1543243790155
987.17633,1543243790191
987.371,1543243790272
987.312,1543243790273
987.1978,1543243790293
987.1345,1543243790328
986.84863,1543243790364
986.6157,1543243790397
987.0414,1543243790431
986.9563,1543243790466
986.5278,1543243790527
986.27637,1543243790536
985.8789,1543243790609
985.30115,1543243790609
984.8043,1543243790638
984.7096,1543243790672
984.0688,1543243790709
982.4308,1543243790741
981.24414,1543243790779
984.14575,1543243790810
986.0741,1543243790845
986.3497,1543243790879
985.9635,1543243790914
985.16736,1543243790946
984.6292,1543243790985
984.5573,1543243791017
984.305,1543243791051
984.0124,1543243791086
983.85364,1543243791124
983.4352,1543243791154
983.80554,1543243791193
984.1567,1543243791223
985.05023,1543243791258
986.2182,1543243791293
987.2453,1543243791385
988.05786,1543243791385
988.2552,1543243791401
986.472,1543243791464
983.8617,1543243791472
983.88995,1543243791499
984.6858,1543243791539
983.9206,1543243791568
982.3491,1543243791603
981.72876,1543243791637
982.1063,1543243791671
983.05646,1543243791706
983.65564,1543243791806
984.3289,1543243791806
984.19226,1543243791815
983.9477,1543243791845
983.95154,1543243791878
984.25366,1543243791913
984.59564,1543243791949
984.5895,1543243791981
984.19104,1543243792017
983.97156,1543243792059
983.7534,1543243792086
983.2346,1543243792119
983.05426,1543243792158
982.9323,1543243792188
983.10956,1543243792223
982.9245,1543243792265
982.86,1543243792292
982.8208,1543243792326
982.83826,1543243792365
982.93555,1543243792398
983.1243,1543243792432
983.29395,1543243792464
983.09686,1543243792500
983.65216,1543243792533
984.1267,1543243792567
984.2502,1543243792605
984.2323,1543243792679
984.1421,1543243792679
984.62726,1543243792705
984.9966,1543243792850
984.98596,1543243792850
985.1429,1543243792850
985.9055,1543243792852
986.8985,1543243792877
986.52704,1543243792910
985.9796,1543243792947
985.23663,1543243792981
984.239,1543243793022
983.3125,1543243793049
982.56836,1543243793088
982.0999,1543243793121
982.0048,1543243793156
982.102,1543243793188
982.208,1543243793223
982.3989,1543243793258
982.6858,1543243793291
982.92206,1543243793325
983.45276,1543243793367
984.1975,1543243793394
984.2577,1543243793430
984.8236,1543243793463
984.8111,1543243793499
984.86707,1543243793540
984.932,1543243793565
984.9323,1543243793601
985.37854,1543243793637
985.0165,1543243793671
984.563,1543243793709
984.3738,1543243793797
984.31836,1543243793797
983.59924,1543243793811
983.5436,1543243793881
983.5312,1543243793881
983.6023,1543243793958
984.0403,1543243793958
984.2676,1543243793988
984.248,1543243794014
984.5292,1543243794053
984.8811,1543243794083
984.65283,1543243794121
985.1201,1543243794161
984.74786,1543243794187
984.0166,1543243794219
983.88196,1543243794260
983.908,1543243794291
983.9333,1543243794328
984.073,1543243794359
984.2207,1543243794393
984.2397,1543243794432
984.1258,1543243794467
983.9673,1543243794497
983.64496,1543243794535
983.74963,1543243794566
983.6828,1543243794600
983.41705,1543243794634
983.8805,1543243794672
984.1483,1543243794744
984.13965,1543243794744
984.1577,1543243794774
984.1659,1543243794808
984.0936,1543243794841
984.11804,1543243794906
984.4527,1543243794910
984.4325,1543243794988
984.4397,1543243794988
984.1035,1543243795014
983.61896,1543243795049
983.64246,1543243795087
983.9378,1543243795119
983.9818,1543243795152
983.85254,1543243795186
983.929,1543243795220
984.0364,1543243795255
982.9757,1543243795289
983.65967,1543243795324
984.21924,1543243795360
984.24866,1543243795395
984.29285,1543243795429
984.31024,1543243795462
984.23785,1543243795497
983.83875,1543243795534
984.0237,1543243795567
984.18384,1543243795604
984.3635,1543243795634
984.4685,1543243795668
984.2825,1543243795703
983.93097,1543243795817
984.0884,1543243795817
984.26624,1543243795817
984.31976,1543243795840
984.71533,1543243795973
985.67163,1543243795973
986.8227,1543243795973
987.2924,1543243795979
987.2358,1543243796090
986.489,1543243796090
986.0161,1543243796090
985.9686,1543243796123
986.0838,1543243796154
986.05835,1543243796183
986.6316,1543243796221
986.64844,1543243796254
987.35443,1543243796288
988.6289,1543243796322
989.2052,1543243796358
988.4989,1543243796391
988.474,1543243796430
987.65436,1543243796461
985.6407,1543243796508
985.223,1543243796530
985.14453,1543243796775
984.5628,1543243796775
984.8442,1543243796775
985.341,1543243796776
985.7905,1543243796776
986.4286,1543243796776
986.51965,1543243796776
987.1283,1543243796805
987.795,1543243796838
987.09314,1543243796874
987.8729,1543243796911
987.6146,1543243796999
987.6167,1543243796999
988.16266,1543243797012
987.2958,1543243797049
986.6531,1543243797082
986.3983,1543243797115
986.7337,1543243797150
987.62366,1543243797189
988.7792,1543243797219
987.09436,1543243797257
983.9402,1543243797287
982.52246,1543243797322
982.2427,1543243797356
982.619,1543243797396
982.84045,1543243797427
982.7016,1543243797463
982.86945,1543243797495
982.4794,1543243797529
982.6778,1543243797565
982.9348,1543243797602
982.9192,1543243797631
982.85693,1543243797667
982.87646,1543243797701
982.95386,1543243797741
983.0557,1543243797770
983.17346,1543243797810
983.31116,1543243797840
983.0845,1543243797875
983.4044,1543243797908
983.6327,1543243797942
983.704,1543243797977
983.7869,1543243798011
983.75745,1543243798046
983.904,1543243798080
984.07025,1543243798181
984.255,1543243798181
984.20874,1543243798183
984.38214,1543243798218
984.62506,1543243798254
985.0963,1543243798286
985.8632,1543243798412
986.6747,1543243798412
987.2357,1543243798412
988.449,1543243798425
990.76886,1543243798460
992.18304,1543243798493
993.15564,1543243798528
992.2359,1543243798562
989.4408,1543243798598
987.1882,1543243798631
986.2505,1543243798666
985.7575,1543243798700
985.5206,1543243798735
984.52997,1543243798778
983.17993,1543243798802
982.60956,1543243798838
982.3425,1543243798873
982.11035,1543243798907
982.397,1543243798951
982.76166,1543243798976
983.01184,1543243799011
983.0374,1543243799046
983.1774,1543243799081
983.2335,1543243799114
983.1047,1543243799259
982.9421,1543243799259
982.9562,1543243799259
982.81335,1543243799259
982.9945,1543243799288
982.94543,1543243799320
983.0959,1543243799358
983.55853,1543243799389
984.0122,1543243799505
984.503,1543243799505
984.52856,1543243799505
984.62427,1543243799527
984.57275,1543243799565
984.4461,1543243799596
984.2259,1543243799631
984.23895,1543243799665
984.33264,1543243799708
984.3119,1543243799734
984.0341,1543243799771
983.8556,1543243799813
983.6482,1543243799837
983.61646,1543243799872
983.62335,1543243799909
983.5613,1543243799940
983.4861,1543243799978
983.5607,1543243800009
981.9572,1543243800050
982.68774,1543243800078
983.3482,1543243800118
983.0228,1543243800201
983.13696,1543243800202
983.38965,1543243800218
983.5277,1543243800250
983.5802,1543243800285
983.6394,1543243800324
983.70905,1543243800355
983.78577,1543243800388
983.8656,1543243800519
984.02545,1543243800519
984.18634,1543243800519
