ts_start,ts_end,location
1543243787674,1543243803962,HALL
1543243803963,1543243806579,MEDICINE_AREA
1543243806580,1543244065773,LIVING_ROOM
1543244065775,1543244068581,MEDICINE_AREA
1543244068594,1543244069658,HALL
1543244069686,1543244180875,KITCHEN
1543244180902,1543244182315,HALL
1543244182440,1543244187004,KITCHEN
1543244187037,1543244188138,HALL
1543244188217,1543244192378,MEDICINE_AREA
1543244192407,1543244198818,LIVING_ROOM
1543244198855,1543244200344,MEDICINE_AREA
1543244200345,1543244220428,LIVING_ROOM
1543244220448,1543244227233,MEDICINE_AREA
1543244227244,1543244231739,LIVING_ROOM
1543244231749,1543244251486,OFFICE
1543244251502,1543244261741,LIVING_ROOM
1543244261761,1543244277932,OFFICE
1543244277952,1543244280786,LIVING_ROOM
1543244280792,1543244284521,MEDICINE_AREA
1543244284542,1543244285884,HALL
1543244285900,1543244289589,KITCHEN
1543244289608,1543244308316,DINING_ROOM
1543244308397,1543244312577,KITCHEN
1543244312587,1543244314143,HALL
1543244314271,1543244332363,MEDICINE_AREA
1543244332393,1543244357539,HALL
1543244357696,1543244364584,OUT
