ts_start,ts_end,act
1544696268161,1544696270271,TRANSITION
1544696270320,1544696275531,ENTERING_HOME
1544696269083,1544696270271,TRANSITION
1544696270320,1544696275533,ENTERING_HOME
1544696269093,1544696270264,TRANSITION
1544696270321,1544696275533,ENTERING_HOME
1544696269083,1544696270270,TRANSITION
1544696270321,1544696275551,ENTERING_HOME
1544696269104,1544696270270,TRANSITION
1544696270357,1544696278022,ENTERING_HOME
1544696278043,1544696284511,TRANSITION
1544696284525,1544696288564,WATCHING_TV
1544696282317,1544696284511,TRANSITION
1544696284551,1544696288565,WATCHING_TV
1544696282315,1544696284510,TRANSITION
1544696284550,1544696288583,WATCHING_TV
1544696282294,1544696284490,TRANSITION
1544696284529,1544696288591,WATCHING_TV
1544696282320,1544696284491,TRANSITION
1544696284525,1544696533563,WATCHING_TV
1544696533592,1544696535747,TRANSITION
1544696529501,1544696533555,WATCHING_TV
1544696533592,1544696535747,TRANSITION
1544696529501,1544696533555,WATCHING_TV
1544696533593,1544696535768,TRANSITION
1544696529500,1544696533563,WATCHING_TV
1544696533596,1544696535776,TRANSITION
1544696529500,1544696533525,WATCHING_TV
1544696533593,1544696552036,TRANSITION
1544696552065,1544696554994,EATING
1544696548694,1544696552036,TRANSITION
1544696552068,1544696554997,EATING
1544696548717,1544696552035,TRANSITION
1544696552065,1544696555003,EATING
1544696548692,1544696552036,TRANSITION
1544696552068,1544696555003,EATING
1544696548717,1544696552035,TRANSITION
1544696552066,1544696736098,EATING
1544696736101,1544696739385,TRANSITION
1544696733109,1544696736069,EATING
1544696736101,1544696739386,TRANSITION
1544696733110,1544696736070,EATING
1544696736101,1544696739386,TRANSITION
1544696733110,1544696736098,EATING
1544696736129,1544696739391,TRANSITION
1544696733089,1544696736083,EATING
1544696736119,1544696740497,TRANSITION
