value,ts
997.58356,1543847875695
997.50256,1543847875727
997.249,1543847875762
997.16223,1543847875796
997.4768,1543847875831
997.6167,1543847875870
997.59937,1543847875899
997.6625,1543847875934
997.9029,1543847875969
998.2416,1543847876171
998.3109,1543847876171
998.3075,1543847876171
998.1987,1543847876171
997.22125,1543847876172
997.62244,1543847876175
997.1854,1543847876229
997.48737,1543847876249
997.8398,1543847876285
997.7965,1543847876313
997.92773,1543847876348
997.90686,1543847876382
997.9923,1543847876420
998.2301,1543847876453
998.30316,1543847876485
998.3081,1543847876520
998.24896,1543847876554
998.1135,1543847876589
998.03595,1543847876623
997.6656,1543847876663
997.5891,1543847876693
997.8238,1543847876728
997.8193,1543847876761
997.73804,1543847876795
997.4149,1543847876872
997.5463,1543847876872
997.6692,1543847876910
997.6184,1543847876934
997.6265,1543847876968
997.6249,1543847877003
997.4092,1543847877037
997.6128,1543847877071
997.865,1543847877107
998.1436,1543847877143
998.53485,1543847877176
998.6845,1543847877209
998.40424,1543847877243
998.2728,1543847877278
998.14087,1543847877311
998.0616,1543847877349
997.375,1543847877381
997.601,1543847877419
997.8572,1543847877452
997.912,1543847877484
998.0261,1543847877519
998.14905,1543847877555
998.1941,1543847877588
995.2665,1543847877625
996.7086,1543847877657
998.03406,1543847877691
997.9455,1543847877726
997.83856,1543847877761
997.81354,1543847877797
997.8856,1543847877829
997.71124,1543847877926
997.6347,1543847877926
997.86865,1543847877933
998.6288,1543847877977
999.1736,1543847878001
998.8815,1543847878036
998.937,1543847878071
999.04706,1543847878104
998.9749,1543847878139
998.8247,1543847878176
998.6254,1543847878210
998.04675,1543847878243
998.071,1543847878282
998.095,1543847878312
997.8786,1543847878346
997.8635,1543847878382
997.7209,1543847878415
997.7511,1543847878449
996.90784,1543847878484
997.3206,1543847878518
997.6414,1543847878553
997.5987,1543847878590
997.7224,1543847878678
997.91205,1543847878679
998.0701,1543847878691
998.0159,1543847878725
997.8627,1543847878759
997.7144,1543847878818
997.6332,1543847878828
997.35815,1543847878865
997.4081,1543847878897
997.53467,1543847878932
997.443,1543847878966
997.3936,1543847879002
997.14136,1543847879035
997.2905,1543847879070
997.11646,1543847879104
997.2981,1543847879139
997.2751,1543847879173
996.95386,1543847879209
997.20233,1543847879249
997.3043,1543847879276
997.20337,1543847879311
997.34174,1543847879345
997.3385,1543847879379
997.26624,1543847879415
996.99005,1543847879448
997.2113,1543847879593
997.4019,1543847879594
997.4904,1543847879594
997.4345,1543847879594
997.5083,1543847879624
997.6177,1543847879655
996.94,1543847879690
997.39435,1543847879724
997.7479,1543847879760
997.7479,1543847879794
996.80634,1543847879829
997.08826,1543847879862
997.2862,1543847879897
997.5053,1543847879934
997.7087,1543847879965
997.9011,1543847880000
998.0882,1543847880035
998.1236,1543847880068
998.405,1543847880104
998.8875,1543847880140
999.1768,1543847880174
999.0584,1543847880206
998.5915,1543847880243
998.58813,1543847880275
998.46204,1543847880313
998.13306,1543847880344
997.8793,1543847880460
997.7145,1543847880460
997.5342,1543847880460
997.36426,1543847880482
997.2174,1543847880517
996.7143,1543847880551
996.90784,1543847880584
996.54114,1543847880622
996.8644,1543847880655
996.98303,1543847880689
996.98553,1543847880729
997.0515,1543847880763
997.06555,1543847880792
997.10016,1543847880828
997.13574,1543847880863
997.2165,1543847880898
997.2316,1543847880931
997.2766,1543847880965
997.3108,1543847880999
997.3329,1543847881033
997.4635,1543847881070
997.5071,1543847881107
997.54205,1543847881141
997.5376,1543847881171
997.55194,1543847881206
997.4788,1543847881238
997.6574,1543847881276
997.79285,1543847881309
997.8995,1543847881345
997.7772,1543847881378
998.24536,1543847881413
998.47784,1543847881447
998.5928,1543847881532
998.76074,1543847881532
998.5164,1543847881553
998.5684,1543847881585
998.51294,1543847881619
999.0948,1543847881654
1000.1191,1543847881693
1000.0516,1543847881722
999.2207,1543847881759
999.5085,1543847881791
999.5011,1543847881826
999.2807,1543847881860
998.7694,1543847881899
998.2165,1543847881929
998.1642,1543847881966
998.0368,1543847881998
997.8906,1543847882032
997.6948,1543847882067
997.70715,1543847882104
997.82587,1543847882137
997.8495,1543847882173
998.1543,1543847882205
998.1317,1543847882242
998.0588,1543847882274
998.28424,1543847882314
999.2932,1543847882388
999.0018,1543847882388
998.83826,1543847882412
998.38153,1543847882455
997.5188,1543847882481
997.0617,1543847882517
996.9737,1543847882547
996.9059,1543847882587
997.01514,1543847882618
997.2004,1543847882661
997.2854,1543847882688
997.28424,1543847882728
997.01776,1543847882756
997.1571,1543847882794
997.1864,1543847882831
997.1542,1543847882860
997.37805,1543847882894
997.19116,1543847882931
996.99896,1543847882963
997.2561,1543847883004
997.2214,1543847883058
997.28143,1543847883066
997.3674,1543847883102
996.92706,1543847883142
997.10443,1543847883170
997.30176,1543847883202
997.30176,1543847883238
997.2837,1543847883273
997.3026,1543847883313
997.3149,1543847883346
997.27057,1543847883378
997.0602,1543847883419
997.06903,1543847883447
997.1358,1543847883483
997.2529,1543847883514
997.47284,1543847883554
997.83655,1543847883583
998.1063,1543847883617
998.4296,1543847883652
998.5755,1543847883688
999.0205,1543847883736
999.65094,1543847883761
1000.36786,1543847883789
1000.4557,1543847883826
999.80383,1543847883858
1000.8453,1543847883893
1001.69763,1543847883928
1001.1762,1543847883968
1000.8402,1543847883997
1002.3894,1543847884031
1004.1859,1543847884066
1005.2799,1543847884107
1005.5025,1543847884134
1003.95013,1543847884173
1001.7669,1543847884205
998.52747,1543847884279
996.70233,1543847884279
996.8369,1543847884309
997.0893,1543847884341
998.04785,1543847884375
998.4877,1543847884410
998.7118,1543847884444
998.4696,1543847884479
998.7307,1543847884511
998.8342,1543847884548
998.4414,1543847884584
997.948,1543847884618
997.8995,1543847884651
998.5364,1543847884686
999.0182,1543847884721
999.2432,1543847884767
999.7711,1543847884789
999.88354,1543847884824
999.4289,1543847884863
998.64246,1543847884892
997.97766,1543847884927
997.8004,1543847884961
998.2422,1543847884996
997.64136,1543847885031
998.1305,1543847885066
998.82587,1543847885103
998.7617,1543847885134
998.4472,1543847885166
997.9128,1543847885222
998.04565,1543847885240
998.07684,1543847885274
997.8706,1543847885305
997.36816,1543847885340
997.2608,1543847885375
997.30994,1543847885416
997.3064,1543847885456
996.942,1543847885478
996.988,1543847885517
996.7709,1543847885547
996.89874,1543847885581
997.0262,1543847885616
996.6843,1543847885651
996.4375,1543847885685
996.44855,1543847885720
996.6257,1543847885755
994.8392,1543847885788
995.90424,1543847885821
996.5827,1543847885858
996.73755,1543847885891
997.7771,1543847885928
998.7632,1543847885960
998.7869,1543847885995
998.6747,1543847886029
998.40796,1543847886068
997.3922,1543847886098
998.09814,1543847886200
999.27856,1543847886200
999.4957,1543847886203
999.1239,1543847886237
998.79913,1543847886271
998.2895,1543847886305
997.24744,1543847886343
