sensor_id,sensor_status,ts,subject_id
P2,"ON",1544017729084,"208"
E2,"ON",1544017736693,"205"
P9,"ON",1544017740000,"202"
P8,"ON",1544017744000,"205"
P7,"ON",1544017757000,"209"
P2,"OFF",1544017767987,"208"
P3,"ON",1544017851094,"208"
P8,"OFF",1544017903000,"205"
R7,"ON",1544017922941,"205"
R7,"OFF",1544017927344,"205"
R7,"ON",1544017939635,"205"
R7,"OFF",1544017944220,"205"
R1,"ON",1544017945070,"205"
R1,"OFF",1544017952025,"205"
R2,"ON",1544017971015,"205"
R2,"OFF",1544017977032,"205"
P7,"OFF",1544017997000,"209"
R2,"ON",1544018012906,"205"
R2,"OFF",1544018017447,"205"
P4,"ON",1544018020000,"209"
R7,"ON",1544018034571,"205"
R7,"OFF",1544018041245,"205"
P3,"OFF",1544018048000,"208"
P4,"OFF",1544018110000,"209"
P9,"OFF",1544018116000,"202"
E2,"OFF",1544018128694,"202"
