x,y,z,ts
-1.5959282,0.6905842,0.89655495,1544017725203
-1.3273988,1.0899029,2.1330512,1544017725245
0.03974545,1.597599,3.631626,1544017725262
1.3187704,1.3637009,2.6691287,1544017725298
1.7480435,-0.41272068,2.4695094,1544017725325
2.426123,-1.8935251,3.523786,1544017725356
2.2981126,-0.89136505,1.3768024,1544017725385
1.0392685,-0.7761059,-1.4904089,1544017725412
1.6289934,-0.22345257,0.7987945,1544017725443
2.7611794,0.84591484,1.178582,1544017725474
2.1395283,2.0739417,-1.7800506,1544017725501
1.9475038,2.356948,-2.413706,1544017725532
1.9122715,1.6104469,0.13978076,1544017725568
1.2603018,1.4789467,1.0382624,1544017725593
0.67046213,1.8957047,-0.50193405,1544017725626
0.38325167,2.4576674,-0.4795556,1544017725654
0.77808094,1.8603573,-0.070830345,1544017725683
0.70422935,0.55947113,1.3158917,1544017725716
1.204741,0.8429289,0.3684411,1544017725744
0.6205363,0.5852542,-1.3053734,1544017725776
1.1077414,0.57556486,-3.3869128,1544017725804
1.5547867,0.18061018,-3.3920584,1544017725833
1.1295757,-0.025214195,-2.492082,1544017725867
0.390316,-0.102725506,-2.500565,1544017725896
-0.4990039,0.22455454,-1.3569677,1544017725925
-0.42207432,-0.6092348,-1.7999265,1544017725954
-0.34422112,-1.8488917,-1.6286179,1544017725983
-0.1459589,-3.0328166,2.42304,1544017726014
1.749116,-2.683663,3.2707238,1544017726043
1.0427656,-2.2410376,0.70245194,1544017726074
0.6007519,-2.6230989,-0.010855913,1544017726121
3.3848076,-2.551055,9.381369,1544017726134
3.7453346,-4.9788756,11.479968,1544017726164
5.5794134,-2.687327,6.939293,1544017726194
4.208701,-2.8601694,4.9681015,1544017726225
2.258803,-3.1685758,5.4479465,1544017726255
1.2206306,-2.7339926,3.728157,1544017726284
0.18253517,-3.0142164,0.022572994,1544017726314
-0.90364933,0.31008482,-4.119502,1544017726345
-3.7112403,3.5598905,-3.242773,1544017726379
-0.4060068,1.0467434,1.1453142,1544017726405
-0.12434101,0.7455883,0.6784773,1544017726436
-0.3966174,1.4550409,-0.79071784,1544017726465
-0.3542583,1.3698645,-0.30608892,1544017726497
-0.14306235,-0.40957546,-0.7745013,1544017726528
-0.45798063,-0.68584156,1.0520909,1544017726559
0.3888526,-0.298954,2.5231583,1544017726588
0.036005735,1.4326625,-2.1438549,1544017726616
