x,y,z,ts
-0.40966088,-0.78143287,-0.34825793,1544017725203
-0.87636197,-0.7600526,-0.66896224,1544017725245
-0.67721987,-0.7826546,-0.9047562,1544017725262
-0.2661076,-0.73989403,-1.227293,1544017725297
-0.6350702,-0.7533331,-1.4630871,1544017725322
-0.46647137,-0.74050486,-1.3916157,1544017725355
0.47059593,-0.7362288,-1.3060946,1544017725386
0.2213629,-0.6287165,-1.2217953,1544017725412
-0.08834577,-0.59756243,-0.94996023,1544017725443
0.83589333,-0.70446384,-1.1497132,1544017725473
1.7179828,-0.9402578,-1.7043788,1544017725501
1.2897662,-1.0318875,-1.7184287,1544017725534
1.0918459,-0.8223608,-1.5534952,1544017725568
1.5951989,-0.5364759,-1.6109164,1544017725593
1.6342942,-0.39108998,-1.6506227,1544017725626
0.91530585,-0.304958,-1.6475683,1544017725653
0.51946515,-0.24875838,-1.7233156,1544017725684
0.46815246,-0.24875838,-1.8784753,1544017725715
1.2109646,-0.3660445,-2.071509,1544017725743
1.2806033,-0.82541513,-2.2596552,1544017725775
0.51885426,-1.2444688,-2.04402,1544017725804
-0.63751364,-1.3800808,-1.5730428,1544017725833
-1.152473,-1.4228414,-1.2987642,1544017725867
-1.207451,-1.3550353,-1.1216133,1544017725896
-1.0742822,-1.2133145,-1.0531964,1544017725925
-1.2911394,-1.0715939,-1.1020657,1544017725954
-2.1439073,-0.9353709,-0.8528326,1544017725983
-2.4902678,-0.70385295,-0.4142314,1544017726014
-1.8610767,-0.37032056,-0.2914475,1544017726043
-2.0559425,-0.16323724,-0.25662816,1544017726074
-2.5935042,0.037126556,0.0054330355,1544017726121
-1.7700578,0.6736481,0.4489212,1544017726134
0.054596692,1.2277029,0.9669349,1544017726165
-0.118278176,1.4231799,1.2008964,1544017726194
-0.5306122,2.2826672,1.6590453,1544017726225
-1.0333544,2.70111,2.037171,1544017726255
-0.9111813,2.7652507,2.1208594,1544017726284
-0.6436223,2.5667195,2.158733,1544017726314
-0.46647137,1.8336812,1.9351563,1544017726345
-0.13354981,1.0267283,1.547257,1544017726379
1.526782,0.78421474,1.120873,1544017726405
1.6752222,0.95342445,0.75740814,1544017726436
0.31726873,1.018787,1.1440858,1544017726466
-1.1995096,1.2063227,1.1398098,1544017726497
-1.7108039,1.1818881,1.0396279,1544017726527
-2.0174582,1.0297825,1.4519619,1544017726559
-0.8452078,0.95892227,1.3878211,1544017726588
-0.7920626,0.85568595,0.99869996,1544017726615
-2.2245414,0.57529885,1.0927732,1544017726677
-3.1102962,0.25215113,1.4660119,1544017726678
-2.267913,0.16785172,1.4519619,1544017726706
-1.2789221,0.15380181,1.2754219,1544017726736
-0.84337527,0.07927626,1.1110991,1544017726766
-1.2337182,0.00719416,1.1147643,1544017726798
-0.40905002,-0.23226501,1.1672987,1544017726826
0.6172036,-0.38009438,0.65417194,1544017726857
1.1602628,-0.39414433,0.66944355,1544017726887
2.0777824,-0.27746907,0.18747087,1544017726917
0.46448728,-0.17606542,-0.021445036,1544017726949
-0.28443354,0.30407467,0.30536786,1544017726977
1.0649678,0.50260586,0.045139275,1544017727006
0.15233512,0.43296722,0.101949744,1544017727036
0.16210897,0.425026,0.26749423,1544017727068
0.7405984,0.22221872,0.35362622,1544017727097
0.26412347,0.053619917,0.55826604,1544017727127
0.4400527,0.06400463,0.6413438,1544017727161
0.7589243,0.23199257,0.8068882,1544017727186
0.70089215,0.31262678,0.6602806,1544017727217
0.34048164,0.24970765,0.699376,1544017727246
0.33987075,0.18129076,0.8026122,1544017727281
0.04115766,0.24420987,0.89729625,1544017727307
-0.5440513,0.26070324,1.1159861,1544017727340
-0.34735262,0.106765196,1.1514163,1544017727366
0.1230136,-0.34466422,1.061619,1544017727399
-0.39316756,-0.16812415,0.8594227,1544017727427
-0.8421535,-0.60244936,0.9425003,1544017727458
-0.45425406,-1.0874764,0.5368858,1544017727487
0.14744821,-1.0031769,-0.05687522,1544017727517
-0.62163115,-0.6079472,-0.36414045,1544017727547
-0.048028667,-0.11436803,0.19968818,1544017727578
1.580538,0.2826944,0.44586688,1544017727608
2.2274444,0.33095273,-0.3458145,1544017727639
0.049098905,-0.44057006,-1.4783586,1544017727669
-2.2703564,-1.1955994,-1.6371835,1544017727699
-2.462779,-1.4375021,-1.1845325,1544017727728
-2.4218512,-1.7252197,-0.9707296,1544017727758
-0.8525382,-1.3360986,-0.73127043,1544017727789
-0.048028667,-1.0068421,-0.40812275,1544017727819
-1.2202791,-1.0410507,0.43242785,1544017727847
-0.28504437,-0.25792137,1.2412133,1544017727882
1.2604448,0.071945876,1.2180005,1544017727910
0.42844623,0.045067806,0.60469186,1544017727938
0.41439635,0.07927626,0.75801903,1544017727969
1.4217131,0.44151935,0.94860893,1544017727999
1.6098596,0.46228877,0.7146476,1544017728029
1.0173203,0.42869118,0.7494669,1544017728059
1.046031,0.62233543,0.9834283,1544017728089
1.4956278,0.9173834,0.7867297,1544017728124
1.4479804,0.9448723,0.3432415,1544017728151
1.141326,0.9216594,-0.07336859,1544017728180
0.8413911,0.8880618,-0.19859596,1544017728236
0.47975892,0.95342445,-0.23280442,1544017728240
0.46448728,0.9473158,-0.52174366,1544017728273
0.6752358,0.80131894,-0.8626065,1544017728304
0.3581967,0.7084675,-0.71355534,1544017728329
0.06009448,0.8880618,-0.7202749,1544017728361
-0.12011077,0.80926025,-0.7202749,1544017728390
0.017333912,0.61011815,-0.4637115,1544017728421
0.42844623,0.619892,-0.57672155,1544017728459
0.53290415,0.60767466,-0.72332925,1544017728480
0.119348414,0.40792176,-0.3995706,1544017728508
0.40767682,0.31384853,-0.16744183,1544017728540
0.6782901,0.1696843,-0.24013479,1544017728571
0.3111601,-0.11192456,-0.10207925,1544017728600
-0.0003811799,-0.45889604,0.0500262,1544017728631
0.11018543,-0.48577407,0.04575014,1544017728660
0.15416773,-0.3660445,0.35912403,1544017728688
0.33620557,-0.11253543,0.2766572,1544017728721
-0.037033096,-0.3312252,0.38600206,1544017728750
-0.115834706,-0.35443807,0.42509747,1544017728780
0.52129775,-0.07405092,0.34140894,1544017728816
0.8615497,0.124480285,0.22778799,1544017728843
-1.5776353,-0.7466135,-1.127722,1544017728869
-1.8103749,-0.5291455,-0.9908882,1544017728900
-1.0138066,-0.21638252,-1.1857542,1544017728929
-0.4163804,0.106765196,-1.1619304,1544017728960
-0.8855249,0.12264769,-0.5895497,1544017728990
-0.29603994,0.022465792,0.22595538,1544017729023
1.6171899,0.25520545,3.282725,1544017729050
3.3563232,0.08477405,3.5753295,1544017729080
4.3074403,-0.47416767,1.266259,1544017729109
3.5493567,-0.7954828,-1.3390814,1544017729143
2.7252996,-0.3697097,-1.2321799,1544017729170
1.4357631,0.0010855076,0.048804466,1544017729201
-0.117056444,-0.31961873,0.25527692,1544017729231
1.3887265,0.013302812,-0.12773558,1544017729263
1.6886612,0.083552316,-0.19004384,1544017729293
0.17249368,-0.07099659,-0.10513358,1544017729320
-0.90568346,-0.26525173,0.15326242,1544017729350
0.9244688,-0.10153986,0.079958595,1544017729382
0.8768213,-0.008688336,0.019482937,1544017729416
-0.071852416,-0.17178935,-0.0220559,1544017729449
-0.14026932,-0.08687909,-0.09474886,1544017729471
0.5127456,-0.11314629,-0.20226115,1544017729503
0.5151891,-0.24875838,-0.061762143,1544017729533
-0.33880055,-0.44240266,0.18624915,1544017729565
1.181643,-0.42102236,0.35545883,1544017729591
2.164525,-0.45156565,0.28643107,1544017729626
1.5658773,-0.39475515,0.15326242,1544017729656
1.4522563,-0.19255878,0.114777915,1544017729683
1.6281855,0.024298387,0.3224721,1544017729710
1.7399739,0.08782837,0.3701196,1544017729741
1.6171899,-0.01724045,0.23145317,1544017729780
2.4901164,0.020022329,0.14593203,1544017729804
3.6727514,-0.012353528,0.17403184,1544017729832
3.5896738,-0.2994602,0.07690427,1544017729862
1.9910395,-0.2395954,0.06041091,1544017729895
1.8071691,-0.16079378,0.24428134,1544017729923
1.6868286,-0.2939624,0.31208742,1544017729953
0.07414438,-0.24875838,-0.108798765,1544017729986
-0.3992762,-0.12414187,-0.33359715,1544017730012
0.23724541,-0.1815632,-0.17355047,1544017730044
0.17188281,-0.18095233,-0.16560924,1544017730072
-0.2654967,-0.15285254,-0.20898066,1544017730107
-0.020539735,-0.17850888,0.0084873615,1544017730134
0.38263133,-0.25303444,0.19968818,1544017730164
0.7522048,-0.39719865,0.20213164,1544017730198
0.8346716,-0.4277419,0.18258396,1544017730224
0.49014363,-0.33550125,0.22473365,1544017730254
-1.3742172,0.3004095,-0.18760039,1544017730286
0.53595847,-0.08382476,0.23756182,1544017730315
2.0863345,0.15013662,0.39394334,1544017730345
1.1743127,-0.07893784,0.0048221704,1544017730375
0.36797056,-0.3312252,-0.125903,1544017730411
-0.3778959,-0.4051399,0.19785559,1544017730435
-0.35651562,-0.5609105,0.026813319,1544017730466
0.14622648,-0.69407916,-0.07459031,1544017730497
0.35086635,-0.8248043,-0.23097181,1544017730525
0.35575327,-0.8229717,-0.37757948,1544017730556
0.5261846,-0.7612743,-0.41850746,1544017730585
0.59154725,-0.79853714,-0.30549738,1544017730624
0.7247159,-0.898719,-0.44172034,1544017730646
