x,y,z,ts
-18.698841,-21.355795,-3.479494,1544017732626
-19.073841,-22.105795,-5.104494,1544017732626
-20.198841,-22.480795,-3.479494,1544017732654
-20.198841,-21.355795,-5.104494,1544017732683
-20.573841,-21.355795,-5.041994,1544017732683
-20.198841,-20.980795,-5.479494,1544017732712
-20.948841,-20.980795,-5.854494,1544017732745
-21.323841,-20.230795,-5.479494,1544017732745
-21.698841,-20.980795,-7.104494,1544017732773
-22.823841,-20.980795,-6.291994,1544017732806
-22.823841,-20.980795,-5.479494,1544017732806
-23.948841,-20.605795,-5.479494,1544017732834
-23.948841,-20.980795,-5.104494,1544017732865
-23.948841,-20.605795,-4.666994,1544017732865
-24.323841,-20.230795,-4.666994,1544017732894
-24.323841,-21.730795,-3.479494,1544017732925
-26.198841,-21.355795,-1.4169941,1544017732925
-25.823841,-21.730795,-1.8544941,1544017732955
-25.448841,-21.355795,-1.0419941,1544017732985
-26.573841,-22.105795,-0.6669941,1544017732985
-27.323841,-22.105795,0.9580059,1544017733028
-27.698841,-22.105795,0.9580059,1544017733046
-27.698841,-22.105795,2.208006,1544017733046
-27.323841,-21.730795,3.770506,1544017733076
-27.698841,-21.730795,4.208006,1544017733107
-28.073841,-21.355795,5.395506,1544017733107
-28.448841,-19.480795,6.208006,1544017733138
-28.448841,-19.855795,5.395506,1544017733169
-27.698841,-18.730795,6.645506,1544017733169
-28.448841,-18.355795,7.458006,1544017733198
-28.073841,-19.105795,6.208006,1544017733230
-28.448841,-17.980795,6.208006,1544017733230
-28.823841,-16.855795,6.208006,1544017733259
-29.948841,-17.230795,7.458006,1544017733289
-29.573841,-15.730795,6.208006,1544017733289
-29.573841,-16.105795,5.833006,1544017733320
-29.948841,-14.980795,5.833006,1544017733351
-29.573841,-13.480795,5.833006,1544017733351
-30.698841,-13.105795,5.395506,1544017733380
-30.323841,-11.605795,5.020506,1544017733411
-30.323841,-11.230795,4.208006,1544017733411
-31.448841,-10.105795,4.208006,1544017733440
-31.823841,-8.980795,2.583006,1544017733474
-30.323841,-8.605795,1.3955059,1544017733474
-30.323841,-6.355795,1.7705059,1544017733500
-30.323841,-5.230795,1.7705059,1544017733532
-30.323841,-4.480795,0.5830059,1544017733532
-29.573841,-4.480795,0.9580059,1544017733561
-29.948841,-2.980795,0.9580059,1544017733593
-30.323841,-3.355795,0.5830059,1544017733593
-29.573841,-2.980795,0.5830059,1544017733622
-28.823841,-2.605795,-0.2294941,1544017733656
-29.573841,-2.605795,0.9580059,1544017733656
-29.948841,-2.605795,0.9580059,1544017733683
-29.198841,-4.105795,0.5830059,1544017733715
-29.573841,-2.980795,1.3955059,1544017733715
-29.198841,-3.355795,0.5830059,1544017733744
-29.198841,-3.730795,1.3955059,1544017733778
-30.698841,-3.355795,0.9580059,1544017733778
-28.823841,-3.730795,0.5830059,1544017733804
-29.198841,-4.480795,0.1455059,1544017733836
-29.198841,-4.105795,0.9580059,1544017733836
-29.573841,-4.480795,0.9580059,1544017733865
-29.948841,-5.980795,0.5830059,1544017733896
-29.198841,-6.355795,-0.2294941,1544017733896
-32.19884,-8.230795,1.3955059,1544017733925
-29.948841,-8.230795,1.3955059,1544017733958
-30.323841,-9.355795,1.7705059,1544017733958
-28.823841,-8.605795,2.583006,1544017733992
-28.823841,-8.605795,2.208006,1544017734020
-29.198841,-8.980795,2.583006,1544017734020
-29.573841,-9.355795,3.020506,1544017734046
-28.448841,-8.980795,2.208006,1544017734078
-28.448841,-10.480795,2.583006,1544017734078
-28.448841,-11.230795,2.583006,1544017734107
-28.823841,-10.855795,2.583006,1544017734139
-28.448841,-10.480795,3.395506,1544017734139
-28.448841,-10.480795,1.7705059,1544017734168
-27.698841,-11.230795,3.395506,1544017734201
-28.448841,-10.480795,2.208006,1544017734201
-28.823841,-10.480795,2.583006,1544017734228
-28.073841,-11.230795,2.208006,1544017734261
-29.573841,-10.480795,3.395506,1544017734261
-28.073841,-10.480795,2.208006,1544017734290
-29.948841,-10.480795,1.7705059,1544017734324
-29.573841,-9.730795,2.208006,1544017734324
-28.073841,-10.105795,2.208006,1544017734353
-28.073841,-9.355795,3.020506,1544017734382
-28.823841,-9.355795,0.9580059,1544017734382
-29.198841,-8.605795,0.5830059,1544017734412
-28.823841,-8.980795,1.3955059,1544017734442
-28.448841,-8.605795,2.208006,1544017734442
-29.198841,-8.605795,1.7705059,1544017734472
-29.198841,-8.605795,2.583006,1544017734504
-28.448841,-8.980795,0.5830059,1544017734504
-28.073841,-8.230795,2.208006,1544017734534
-28.823841,-8.980795,2.208006,1544017734566
-29.198841,-9.355795,3.020506,1544017734566
-28.448841,-8.980795,3.020506,1544017734593
-29.198841,-8.980795,2.208006,1544017734624
-29.198841,-8.980795,2.583006,1544017734624
-28.823841,-8.605795,3.395506,1544017734658
-29.573841,-9.355795,2.583006,1544017734688
-29.198841,-9.355795,3.395506,1544017734688
-29.573841,-8.605795,3.020506,1544017734717
-29.573841,-8.980795,4.583006,1544017734749
-28.448841,-8.230795,4.208006,1544017734749
-29.573841,-8.230795,3.770506,1544017734778
-28.823841,-8.230795,3.770506,1544017734838
-28.823841,-8.230795,4.208006,1544017734838
-29.573841,-8.230795,3.770506,1544017734838
-29.948841,-8.230795,4.208006,1544017734873
-30.698841,-7.105795,2.208006,1544017734873
-30.323841,-7.105795,1.3955059,1544017734896
-29.948841,-7.480795,3.395506,1544017734928
-30.323841,-4.855795,3.395506,1544017734929
-29.573841,-5.230795,1.7705059,1544017734963
-29.948841,-4.480795,1.7705059,1544017734988
-29.573841,-4.855795,0.5830059,1544017734988
-29.948841,-4.480795,-0.2294941,1544017735017
-29.948841,-2.980795,-1.8544941,1544017735050
-28.823841,-1.8557949,-1.8544941,1544017735050
-29.198841,-1.1057949,-1.8544941,1544017735081
-28.073841,-0.7307949,-2.666994,1544017735110
-29.198841,0.019205093,-4.291994,1544017735110
-29.198841,1.1442051,-3.479494,1544017735139
-28.823841,3.019205,-4.666994,1544017735171
-27.698841,3.019205,-6.291994,1544017735171
-27.323841,3.769205,-7.104494,1544017735201
-26.948841,4.519205,-6.666994,1544017735231
-27.323841,4.894205,-7.916994,1544017735231
-26.573841,5.644205,-7.916994,1544017735260
-26.198841,5.644205,-7.916994,1544017735295
-25.448841,6.769205,-9.104494,1544017735295
-26.573841,7.144205,-9.104494,1544017735321
-25.448841,7.519205,-8.729494,1544017735352
-26.573841,7.144205,-9.104494,1544017735352
-26.198841,7.144205,-9.916994,1544017735382
-25.073841,7.894205,-9.916994,1544017735413
-25.073841,8.269205,-9.916994,1544017735413
-25.823841,8.644205,-9.541994,1544017735445
-25.073841,8.269205,-9.916994,1544017735478
-25.073841,8.644205,-9.916994,1544017735478
-25.448841,8.644205,-8.729494,1544017735505
-25.448841,8.269205,-9.541994,1544017735533
-26.198841,8.644205,-8.729494,1544017735534
-26.198841,8.269205,-10.291994,1544017735563
-25.823841,8.644205,-9.541994,1544017735596
-25.823841,8.269205,-9.916994,1544017735596
-25.823841,7.894205,-9.104494,1544017735625
-25.448841,8.644205,-9.541994,1544017735657
-24.698841,8.644205,-9.104494,1544017735657
-24.698841,7.894205,-10.729494,1544017735686
-25.073841,8.644205,-9.104494,1544017735716
-25.073841,7.519205,-9.104494,1544017735716
-25.823841,7.894205,-9.916994,1544017735746
-25.073841,7.519205,-9.104494,1544017735777
-25.823841,7.519205,-9.541994,1544017735777
-25.448841,8.644205,-10.354494,1544017735810
-25.073841,7.519205,-9.104494,1544017735840
-25.073841,7.144205,-8.291994,1544017735840
-26.198841,7.144205,-9.916994,1544017735867
-25.448841,7.894205,-8.291994,1544017735899
-25.823841,7.894205,-9.541994,1544017735899
-26.198841,6.769205,-9.541994,1544017735928
-25.073841,7.519205,-7.479494,1544017735959
-25.448841,7.519205,-9.104494,1544017735959
-25.823841,7.144205,-9.104494,1544017735989
-25.448841,7.894205,-9.104494,1544017736022
-25.448841,7.519205,-9.541994,1544017736022
-25.823841,7.144205,-9.104494,1544017736049
-25.823841,6.769205,-9.104494,1544017736081
-26.573841,6.769205,-9.541994,1544017736081
-25.448841,6.769205,-8.291994,1544017736110
-25.823841,7.144205,-8.729494,1544017736142
-25.823841,6.394205,-8.291994,1544017736142
-26.573841,6.769205,-8.729494,1544017736170
-26.198841,6.394205,-9.104494,1544017736203
-26.198841,6.394205,-8.291994,1544017736203
-26.198841,5.644205,-8.729494,1544017736231
-27.323841,4.894205,-9.104494,1544017736271
-27.323841,4.894205,-8.729494,1544017736271
-27.698841,4.894205,-9.104494,1544017736292
-27.698841,4.144205,-9.104494,1544017736322
-26.573841,4.144205,-9.104494,1544017736322
-26.198841,4.144205,-9.916994,1544017736354
-26.573841,3.394205,-9.104494,1544017736385
-26.948841,3.769205,-9.541994,1544017736385
-26.198841,3.019205,-10.729494,1544017736414
-26.948841,3.769205,-11.104494,1544017736445
-26.573841,3.019205,-10.354494,1544017736445
-26.198841,1.8942051,-9.541994,1544017736474
-27.323841,1.8942051,-9.541994,1544017736508
-26.948841,2.269205,-10.354494,1544017736509
-26.198841,1.5192051,-10.729494,1544017736539
-26.573841,-0.3557949,-10.729494,1544017736566
-26.948841,0.3942051,-11.104494,1544017736566
-26.198841,-1.4807949,-10.729494,1544017736595
-26.948841,-1.4807949,-11.541994,1544017736626
-26.948841,-2.980795,-10.354494,1544017736626
-28.448841,-2.605795,-10.291994,1544017736656
-27.698841,-4.480795,-10.729494,1544017736689
-27.698841,-4.855795,-10.291994,1544017736689
-27.698841,-5.980795,-10.729494,1544017736717
-28.448841,-5.980795,-10.354494,1544017736747
-27.698841,-7.855795,-9.104494,1544017736747
-28.448841,-9.355795,-8.291994,1544017736779
-28.823841,-11.230795,-9.916994,1544017736809
-28.073841,-11.605795,-9.541994,1544017736809
-28.073841,-11.980795,-8.729494,1544017736838
-28.073841,-13.105795,-7.479494,1544017736872
-27.698841,-14.230795,-7.916994,1544017736872
-28.073841,-13.105795,-8.729494,1544017736900
-27.323841,-15.355795,-8.729494,1544017736930
-28.073841,-14.980795,-8.729494,1544017736931
-27.323841,-16.105795,-8.729494,1544017736962
-27.698841,-17.230795,-9.541994,1544017736993
-26.948841,-17.980795,-9.541994,1544017736993
-27.323841,-19.105795,-9.916994,1544017737022
-25.823841,-19.480795,-11.541994,1544017737051
-25.823841,-19.480795,-11.104494,1544017737052
-25.823841,-19.855795,-11.916994,1544017737084
-25.823841,-19.480795,-12.354494,1544017737112
-25.823841,-20.605795,-13.166994,1544017737112
-24.698841,-20.980795,-13.166994,1544017737140
-24.698841,-20.980795,-13.541994,1544017737172
-25.073841,-20.605795,-15.166994,1544017737172
-25.448841,-20.980795,-14.354494,1544017737202
-24.323841,-20.230795,-14.354494,1544017737233
-25.073841,-20.605795,-12.729494,1544017737233
-25.823841,-20.980795,-14.354494,1544017737262
-25.073841,-21.355795,-13.979494,1544017737295
-26.198841,-22.105795,-13.541994,1544017737295
-25.448841,-21.730795,-13.979494,1544017737326
-25.448841,-21.355795,-11.916994,1544017737356
-25.448841,-22.480795,-11.541994,1544017737356
-25.073841,-22.480795,-13.166994,1544017737384
-25.823841,-22.855795,-11.541994,1544017737415
-25.823841,-23.230795,-10.291994,1544017737415
-25.823841,-24.355795,-11.104494,1544017737446
-27.698841,-25.480795,-10.291994,1544017737475
-27.698841,-26.605795,-7.479494,1544017737476
-26.948841,-28.480795,-3.854494,1544017737506
-26.948841,-28.855795,-4.291994,1544017737537
-27.323841,-29.230795,-3.479494,1544017737537
-26.573841,-30.355795,-1.8544941,1544017737566
-27.323841,-30.730795,-1.0419941,1544017737599
-26.573841,-31.043295,0.9580059,1544017737599
-27.698841,-31.043295,1.7705059,1544017737626
-27.323841,-32.543297,2.583006,1544017737657
-26.948841,-32.918297,3.770506,1544017737657
-27.323841,-32.168297,4.208006,1544017737687
-26.948841,-33.293297,3.770506,1544017737724
-26.573841,-32.918297,4.645506,1544017737724
-26.198841,-33.293297,5.020506,1544017737747
-26.948841,-33.293297,6.208006,1544017737779
-27.698841,-33.668297,5.833006,1544017737779
-27.323841,-32.918297,7.458006,1544017737809
-27.698841,-32.918297,6.208006,1544017737839
-26.948841,-32.543297,5.833006,1544017737853
-28.448841,-32.918297,4.645506,1544017737869
-29.198841,-34.043297,3.395506,1544017737900
-28.448841,-33.293297,3.770506,1544017737900
-27.323841,-32.918297,3.020506,1544017737930
-27.698841,-32.918297,4.208006,1544017737960
-28.823841,-33.293297,3.020506,1544017737960
-28.448841,-31.793295,2.208006,1544017737991
-28.448841,-32.918297,0.9580059,1544017738022
-28.448841,-31.793295,0.9580059,1544017738022
-28.448841,-32.168297,3.020506,1544017738051
-28.073841,-31.043295,0.9580059,1544017738084
-28.823841,-30.730795,1.7705059,1544017738084
-28.448841,-31.418295,1.3955059,1544017738114
-28.448841,-30.730795,-0.2294941,1544017738143
-29.948841,-30.355795,0.2080059,1544017738143
-29.573841,-29.230795,0.1455059,1544017738173
-29.948841,-29.230795,0.1455059,1544017738206
-29.198841,-28.480795,-0.2294941,1544017738206
-29.573841,-27.355795,-0.2294941,1544017738232
-29.573841,-27.355795,-1.8544941,1544017738266
-29.573841,-27.730795,-1.0419941,1544017738266
-29.573841,-27.355795,-2.229494,1544017738294
-29.573841,-27.355795,-3.479494,1544017738324
-30.323841,-26.980795,-3.854494,1544017738324
-29.948841,-26.980795,-5.104494,1544017738355
-29.573841,-25.855795,-6.291994,1544017738388
-28.823841,-25.855795,-8.291994,1544017738388
-28.823841,-25.480795,-9.104494,1544017738415
-29.573841,-25.480795,-9.541994,1544017738446
-29.198841,-24.730795,-11.541994,1544017738446
-28.448841,-25.105795,-10.354494,1544017738477
-29.948841,-23.605795,-12.729494,1544017738508
-28.448841,-23.605795,-12.354494,1544017738508
-28.448841,-21.730795,-13.166994,1544017738539
-27.323841,-21.730795,-13.979494,1544017738568
-28.448841,-22.105795,-14.791994,1544017738568
-27.698841,-22.105795,-15.979494,1544017738598
-27.698841,-21.730795,-17.166994,1544017738629
-26.948841,-20.980795,-17.604494,1544017738629
-27.698841,-20.605795,-17.604494,1544017738659
-26.198841,-19.855795,-18.416994,1544017738690
-26.573841,-20.605795,-19.229494,1544017738690
-25.823841,-19.480795,-21.604494,1544017738721
-25.823841,-19.480795,-21.229494,1544017738753
