x,y,z,ts
-0.2066803,-0.48449707,0.6689911,1542625081137
-0.06739807,-0.48156738,0.7376404,1542625081176
0.08979797,-0.42425537,0.8847809,1542625081215
0.19268799,-0.37460327,0.9983673,1542625081236
0.27578735,-0.3603058,1.0295105,1542625081274
0.2873993,-0.32232666,0.9870758,1542625081315
0.18519592,-0.29067993,0.8886719,1542625081354
0.10688782,-0.26716614,0.7633362,1542625081375
-0.026351929,-0.2616577,0.649765,1542625081414
-0.14413452,-0.26420593,0.6055298,1542625081456
-0.27609253,-0.2991333,0.5889435,1542625081497
-0.55766296,-0.42259216,0.55677795,1542625081514
-1.0002747,-0.7101898,0.46798706,1542625081556
-0.76322937,-0.97003174,0.18411255,1542625081594
-0.5465698,-1.0932617,-0.08847046,1542625081614
-1.4737244,-1.1676636,-0.06694031,1542625081653
-2.1197815,-1.4532776,-0.21990967,1542625081692
-0.96977234,-1.6707458,-0.77923584,1542625081732
-1.1908264,-1.9345856,-0.855484,1542625081753
-2.9647217,-2.104065,-0.34570312,1542625081889
-3.6821747,-1.9545441,-0.17370605,1542625081889
-2.7418976,-1.5819092,-0.72088623,1542625081889
-1.4454193,-1.261261,-1.3964233,1542625081899
-1.1866455,-1.1329498,-1.6383667,1542625081975
-1.352829,-1.000534,-1.5543213,1542625081975
-1.177597,-0.7528534,-1.499588,1542625082010
-0.8173828,-0.5050812,-1.3703613,1542625082028
-0.9321289,-0.3827362,-1.2418213,1542625082120
-1.1247711,-0.3229828,-1.1306305,1542625082121
-1.065567,-0.20617676,-1.0549011,1542625082148
-0.6832733,-0.022369385,-0.96266174,1542625082182
-0.7434082,0.10411072,-0.8173523,1542625082208
-0.9283447,0.21069336,-0.7040405,1542625082247
-0.8140259,0.24584961,-0.6207428,1542625082269
-0.71762085,0.10140991,-0.60317993,1542625082309
-1.0364532,0.13259888,-0.6146393,1542625082356
-1.4421997,0.17819214,-0.612442,1542625082388
-1.5112,0.012130737,-0.4262085,1542625082410
-1.0942993,-0.34599304,-0.18022156,1542625082446
-0.15252686,-0.5655365,0.04067993,1542625082489
0.12461853,-0.5442505,0.43519592,1542625082545
-0.11558533,-0.38052368,0.77049255,1542625082547
-0.78855896,-0.23667908,0.87815857,1542625082585
-1.2162628,-0.22389221,0.5679474,1542625082648
-1.1450348,-0.19247437,0.1219635,1542625082666
-0.8913269,-0.17596436,-0.20347595,1542625082685
-0.58621216,-0.13905334,-0.2830963,1542625082724
-0.47468567,-0.1421814,-0.13171387,1542625082812
-0.6183319,-0.16242981,0.06526184,1542625082812
-0.6077728,-0.20681763,0.141922,1542625082825
-0.3668213,-0.23683167,0.11116028,1542625082911
-0.8211975,-0.36846924,0.047088623,1542625082911
-0.8651886,-0.43119812,-0.12876892,1542625082929
-0.33477783,-0.20497131,-0.5496521,1542625082962
0.42089844,-0.041885376,-0.5867462,1542625083004
0.9621887,0.031982422,-0.3441162,1542625083042
1.1065369,0.2630005,-0.087127686,1542625083062
0.9911194,0.5428467,0.11463928,1542625083101
0.77560425,0.7116089,0.28718567,1542625083145
0.71032715,0.71875,0.533432,1542625083182
0.59376526,0.5593567,0.81256104,1542625083201
0.34429932,0.46975708,0.99050903,1542625083244
0.25390625,0.4505005,0.9931488,1542625083280
0.3424225,0.4587555,0.85757446,1542625083300
0.54797363,0.37490845,0.6289673,1542625083340
0.56718445,0.33242798,0.3494873,1542625083380
0.3968048,0.31967163,0.06390381,1542625083420
-0.040039062,0.33528137,-0.15718079,1542625083514
-0.723938,0.23275757,-0.2675171,1542625083514
-1.147049,0.03842163,-0.45054626,1542625083523
-1.2402954,-0.10336304,-0.6877899,1542625083589
-0.568573,-0.42497253,-0.7756195,1542625083589
0.40008545,-0.5553436,-0.80636597,1542625083663
0.78134155,-0.06391907,-0.5900879,1542625083663
-0.31243896,0.80578613,-0.019104004,1542625083699
-1.871048,1.1170502,0.42481995,1542625083718
-2.2441711,1.0026703,0.6228943,1542625083758
-1.4398041,0.6868744,0.623703,1542625083798
-0.5338898,0.5097046,0.53822327,1542625083816
-0.40390015,0.37083435,0.44508362,1542625083878
-0.46658325,0.2111969,0.41412354,1542625083898
-0.20205688,0.029067993,0.51545715,1542625083936
0.18901062,-0.039764404,0.5749359,1542625083956
0.18699646,-0.06227112,0.6255188,1542625083996
-0.0066986084,-0.16012573,0.6884155,1542625084036
-0.19914246,-0.3403015,0.5356293,1542625084076
0.2649536,-0.4849701,0.35404968,1542625084096
0.9614868,-0.43772888,0.41229248,1542625084177
1.0738525,-0.45640564,0.48799133,1542625084177
1.0470123,-0.4130249,0.35049438,1542625084214
1.2157135,-0.35609436,0.20315552,1542625084272
1.2839813,-0.36669922,0.16667175,1542625084275
1.3405151,-0.35403442,0.39614868,1542625084334
1.2071533,-0.22167969,0.6215515,1542625084334
0.8520508,-0.04156494,0.75382996,1542625084374
0.51246643,0.12168884,0.7332001,1542625084412
0.41990662,0.18518066,0.66059875,1542625084453
0.3272705,0.22845459,0.654129,1542625084474
0.15965271,0.35845947,0.59477234,1542625084514
-0.031234741,0.3353119,0.48120117,1542625084565
-0.05166626,0.2630005,0.46998596,1542625084590
-0.09779358,0.24261475,0.2586975,1542625084612
-0.2775116,0.21194458,-0.12976074,1542625084653
-0.05407715,0.14094543,-0.21676636,1542625084691
0.10647583,0.1845398,-0.1309967,1542625084734
0.06074524,0.22987366,0.04194641,1542625084752
-0.08816528,0.32006836,0.22976685,1542625084841
-0.23506165,0.38328552,0.271698,1542625084841
-0.16444397,0.36447144,0.22203064,1542625084851
-0.039993286,0.36486816,0.18649292,1542625084906
-0.1166687,0.42314148,0.24371338,1542625084928
-0.099823,0.4463501,0.33815002,1542625085026
0.083496094,0.3328247,0.36442566,1542625085027
0.21928406,0.13119507,0.34432983,1542625085032
0.24784851,-0.016647339,0.35720825,1542625085069
0.23677063,-0.117507935,0.39154053,1542625085112
0.13279724,-0.24217224,0.33880615,1542625085133
0.06958008,-0.15559387,0.29232788,1542625085172
0.22047424,-0.054107666,0.40570068,1542625085207
0.27885437,-0.10739136,0.4747162,1542625085246
0.3043518,-0.05708313,0.08766174,1542625085266
0.24610901,0.16091919,-0.21902466,1542625085308
-0.13290405,0.1642456,-0.23594666,1542625085346
-0.09121704,0.12037659,-0.049102783,1542625085365
-0.06283569,0.2109375,0.05369568,1542625085407
-0.24003601,0.38859558,0.09701538,1542625085444
