sensor_id,sensor_status,ts,subject_id
R6,"ON",1543333771000,"200"
R6,"OFF",1543333787000,"200"
R1,"ON",1543333808035,"200"
R1,"OFF",1543333834331,"200"
R6,"ON",1543333845000,"203"
R6,"OFF",1543333847000,"203"
R2,"ON",1543333851880,"200"
R2,"OFF",1543333857910,"200"
R7,"ON",1543333862560,"203"
R7,"OFF",1543333869409,"203"
R7,"ON",1543333880088,"200"
R7,"OFF",1543333883490,"200"
R7,"ON",1543333895982,"203"
R7,"OFF",1543333900659,"203"
P4,"ON",1543333911000,"203"
P1,"ON",1543333911518,"200"
P1,"OFF",1543333994000,"200"
P4,"OFF",1543334005000,"203"
P2,"ON",1543334023375,"203"
R7,"ON",1543334034645,"200"
R7,"OFF",1543334038050,"200"
P2,"OFF",1543334089862,"203"
P3,"ON",1543334152000,"203"
E2,"ON",1543334177504,"203"
P7,"ON",1543334184000,"200"
P7,"OFF",1543334288000,"200"
E2,"OFF",1543334302511,"203"
P3,"OFF",1543334303000,"203"
