x,y,z,ts
0.5001526,0.12489319,0.29022217,1543333744484
0.5862427,0.15185547,0.26696777,1543333744514
0.8313904,0.19335938,0.21539307,1543333744542
0.8477936,0.19277954,0.3082428,1543333744573
0.6911011,0.23823547,0.41271973,1543333744604
0.39508057,0.24266052,0.35346985,1543333744655
0.0074920654,0.20361328,0.30039978,1543333744691
-0.14135742,0.10015869,0.3670044,1543333744723
-0.103027344,0.041763306,0.3294525,1543333744751
-0.2549286,-0.19302368,0.38755798,1543333744782
-0.33303833,-0.41809082,0.4789276,1543333744812
-0.27923584,-0.6954956,0.625885,1543333744840
0.40124512,-1.0715942,0.9421997,1543333744899
0.5951996,-1.4195404,1.1954956,1543333744932
0.7639618,-1.5547333,1.5143433,1543333744966
0.36001587,-1.3353882,1.4891663,1543333744992
-1.0898285,-1.0949554,1.4018707,1543333745017
-1.2066803,-1.1139221,1.4602966,1543333745048
-0.587265,-0.97758484,1.5735931,1543333745107
-0.15383911,-0.70158386,1.5814972,1543333745135
0.583786,-0.48110962,1.6791382,1543333745171
1.0957031,-0.17422485,1.8231659,1543333745195
0.9895477,-0.026260376,1.9203491,1543333745225
1.1924744,0.1373291,1.9985352,1543333745254
1.3018494,0.1981659,1.9271698,1543333745315
0.91719055,0.15647888,1.8414612,1543333745364
0.44239807,0.013793945,1.5327911,1543333745385
0.3991089,-0.13543701,1.2164917,1543333745404
0.2607422,-0.16000366,0.75805664,1543333745434
0.2556305,-0.22612,0.5517731,1543333745463
0.32444763,-0.21582031,0.90104675,1543333745498
-0.15937805,0.04425049,0.66867065,1543333745555
-0.21948242,-0.062683105,0.5004883,1543333745580
0.3539276,-0.14724731,0.46662903,1543333745609
0.5116577,-0.12922668,0.39479065,1543333745640
0.35351562,-0.09434509,0.36364746,1543333745669
0.5779724,-0.096221924,0.38337708,1543333745700
0.5421448,-0.1219635,0.2052002,1543333745761
0.12866211,-0.19439697,-0.15849304,1543333745788
0.05607605,-0.33999634,-0.47868347,1543333745818
0.17242432,-0.6794281,-1.3655243,1543333745848
-0.2769928,-1.3287506,-2.1708221,1543333745882
-0.6294098,-1.5690613,-2.2026672,1543333745913
-0.6904144,-1.5711212,-2.4264984,1543333745966
-0.673172,-1.4851227,-2.3683777,1543333745998
-0.66885376,-0.9854126,-2.1469116,1543333746025
-0.28416443,-0.20671082,-1.8482666,1543333746056
0.45103455,0.5205078,-1.3822784,1543333746083
-0.3426056,0.8465271,-1.1848755,1543333746115
-1.0735931,0.9763031,-0.9037781,1543333746189
-0.48217773,1.1459503,-0.29351807,1543333746210
-0.3043213,1.0340881,-0.24549866,1543333746235
-1.2986755,0.7499542,-0.14328003,1543333746270
-1.398407,0.60658264,-0.09806824,1543333746292
-0.13026428,0.6102295,-0.2141571,1543333746321
0.11003113,0.5499878,-0.3909912,1543333746382
-0.06871033,0.4963684,-0.5709076,1543333746415
0.3269806,0.42619324,-0.76400757,1543333746441
0.8001404,0.3750763,-0.8453522,1543333746471
0.6218872,0.29423523,-0.8767395,1543333746499
0.36532593,0.19439697,-0.85357666,1543333746531
0.3048706,0.09754944,-0.7713928,1543333746558
0.17285156,0.010955811,-0.6110382,1543333746618
-0.03503418,-0.024536133,-0.49183655,1543333746651
-0.12919617,-0.0022583008,-0.35406494,1543333746679
-0.095947266,0.03135681,-0.2637024,1543333746709
