x,y,z,ts
76.85045,23.254248,58.279343,1543333752256
76.98082,22.307156,59.33087,1543333752256
78.30713,22.087063,58.73359,1543333752294
76.41536,21.420374,58.509537,1543333752303
76.517715,20.430653,57.699776,1543333752340
75.85924,20.547802,58.30863,1543333752373
74.979706,16.865847,58.148598,1543333752408
76.10364,12.875065,58.023285,1543333752443
76.77147,12.772121,58.03485,1543333752498
76.03845,13.34861,57.497513,1543333752514
78.48636,14.887871,57.922462,1543333752548
78.67258,13.453014,58.87934,1543333752583
78.365326,15.849171,57.491364,1543333752619
79.14484,14.770718,57.313606,1543333752675
77.46712,12.138794,56.09046,1543333752692
78.495514,14.329067,54.725624,1543333752742
78.85626,17.19529,57.166504,1543333752760
80.043045,18.481092,58.7145,1543333752795
80.52464,19.813,57.76921,1543333752840
79.689285,21.379211,58.041634,1543333752866
79.03081,21.496363,58.65049,1543333752901
79.54042,22.8709,59.56649,1543333752939
81.329834,24.527308,60.60031,1543333752980
79.33571,24.850344,61.186028,1543333753013
77.22055,26.134682,61.340645,1543333753048
80.74353,29.935255,63.502937,1543333753095
80.678345,30.408802,62.977173,1543333753116
78.41432,33.184826,64.65664,1543333753159
74.41673,33.81669,65.20764,1543333753228
74.27721,35.322582,67.35294,1543333753228
76.68793,37.378017,69.113434,1543333753258
75.10124,40.638317,75.24219,1543333753310
70.50102,40.899574,76.30739,1543333753353
68.57207,40.74906,77.41888,1543333753366
60.753582,39.99071,75.04004,1543333753399
61.50526,39.44264,76.81825,1543333753439
59.91122,35.79258,73.54447,1543333753469
59.161877,30.590517,70.618706,1543333753504
56.90935,27.057606,67.95379,1543333753553
58.62425,29.173351,67.8414,1543333753574
59.91338,29.469435,68.57964,1543333753610
60.367153,31.331726,69.59031,1543333753646
62.12855,32.945507,68.762825,1543333753682
63.41769,33.241592,69.50107,1543333753715
63.37118,33.743557,70.21616,1543333753770
66.19133,31.8401,68.737595,1543333753787
64.04816,33.081814,67.0309,1543333753822
63.964474,34.099953,69.08154,1543333753858
63.399014,33.213173,68.2602,1543333753917
63.389675,33.198963,67.63976,1543333753948
62.73119,33.316116,68.24863,1543333753962
64.79051,32.51953,68.188675,1543333753999
62.333263,30.966064,67.14329,1543333754038
61.60026,31.542553,66.60594,1543333754067
61.10931,30.196436,66.93082,1543333754103
62.500805,29.502794,66.85929,1543333754147
60.525356,29.854248,68.68588,1543333754181
59.838856,29.928774,67.43344,1543333754209
59.969227,28.981678,68.48498,1543333754277
60.969784,31.702333,69.07612,1543333754358
61.507244,32.546486,68.03615,1543333754358
62.815052,32.870983,70.01526,1543333754358
61.414227,33.550415,69.46635,1543333754413
61.053463,30.684193,67.02548,1543333754420
62.109875,32.91709,67.52195,1543333754454
62.638172,34.320045,69.678825,1543333754499
61.821484,35.914673,71.192116,1543333754524
58.640575,34.951904,70.22982,1543333754559
55.776257,31.60719,71.27595,1543333754601
56.935024,32.85037,70.962654,1543333754695
53.8193,31.414053,70.52613,1543333754695
55.11796,32.29735,75.70207,1543333754699
53.85684,32.0439,76.82514,1543333754744
49.517162,29.837954,76.17614,1543333754770
49.424145,30.841883,77.60634,1543333754809
50.119984,30.781569,79.47922,1543333754840
49.40565,31.386475,80.18275,1543333754875
49.424328,31.414894,81.42361,1543333754911
49.63838,29.449657,80.424515,1543333754953
48.691326,31.991383,80.88627,1543333754979
48.25604,29.5845,77.2992,1543333755015
51.79771,33.41349,80.70236,1543333755051
51.16705,33.00026,79.355255,1543333755087
51.15771,32.98605,78.73482,1543333755119
53.58694,34.496887,77.91891,1543333755155
53.20769,32.175255,78.054436,1543333755192
54.82957,35.294933,79.37224,1543333755225
55.45088,35.69396,80.098915,1543333755271
53.642788,34.009132,77.82424,1543333755300
57.86143,37.17638,78.04213,1543333755338
61.663464,37.96516,75.913826,1543333755373
64.48363,36.061707,74.43524,1543333755414
69.083664,35.227444,69.55278,1543333755449
77.38377,37.3177,70.986305,1543333755491
85.31395,37.10054,73.17581,1543333755514
87.45714,35.858826,74.88249,1543333755568
95.82475,31.725405,75.694244,1543333755585
102.487015,26.063454,81.05608,1543333755642
105.11432,20.976528,84.48719,1543333755653
107.78813,15.387634,87.203186,1543333755690
