value,ts
999.5919,1544693921632
999.85376,1544693921664
999.9919,1544693921701
1000.073,1544693921736
1000.12726,1544693921771
1000.1891,1544693921804
999.8736,1544693921839
1000.0222,1544693921873
999.8274,1544693921910
1000.0968,1544693921941
1000.1354,1544693922009
999.81934,1544693922011
1000.1295,1544693922047
999.89746,1544693922079
1000.1599,1544693922115
1000.34955,1544693922148
1000.38446,1544693922184
1000.44696,1544693922217
1000.0769,1544693922254
1000.29724,1544693922286
1000.5097,1544693922318
1000.1663,1544693922355
999.96533,1544693922392
999.9223,1544693922426
1000.2616,1544693922462
999.7166,1544693922493
1000.1619,1544693922531
1000.6429,1544693922563
1000.6435,1544693922624
998.9765,1544693922631
999.7472,1544693922668
1000.65247,1544693922703
999.90234,1544693922734
1000.34705,1544693922769
1000.69666,1544693922806
1000.68744,1544693922839
1000.6514,1544693922874
1000.63495,1544693922907
1000.65295,1544693922941
1000.6941,1544693922983
1000.73083,1544693923011
1000.7219,1544693923045
1000.7588,1544693923079
1000.8331,1544693923113
1000.41833,1544693923147
999.90845,1544693923183
1000.52893,1544693923218
1000.442,1544693923252
1000.5033,1544693923286
1000.48083,1544693923321
1000.71967,1544693923354
1000.8759,1544693923389
1000.8663,1544693923423
1000.8761,1544693923459
1000.6315,1544693923498
1000.81775,1544693923527
1000.8915,1544693923562
1000.89417,1544693923596
1000.5759,1544693923631
1000.3948,1544693923665
1000.75726,1544693923699
1000.97296,1544693923734
1000.55524,1544693923767
1000.7632,1544693923808
1000.9022,1544693923839
1000.8911,1544693923876
1000.8761,1544693923905
1000.80646,1544693923946
1000.5677,1544693923975
1000.7141,1544693924010
1000.93964,1544693924051
1001.13104,1544693924084
1001.1604,1544693924112
1000.986,1544693924150
1000.8219,1544693924181
1000.7342,1544693924216
1000.67755,1544693924250
1000.6612,1544693924289
1000.7412,1544693924319
1000.8154,1544693924359
999.75366,1544693924400
1000.3184,1544693924424
1000.85803,1544693924457
1000.89417,1544693924492
1000.9457,1544693924530
1000.963,1544693924560
1000.94495,1544693924594
1000.982,1544693924637
1000.9753,1544693924663
1001.02625,1544693924698
1001.12714,1544693924732
1000.9525,1544693924767
1000.6505,1544693924912
1000.97125,1544693924912
1001.15985,1544693924913
1001.1418,1544693924913
1001.11597,1544693924943
1000.74976,1544693924974
1000.9973,1544693925010
1000.8612,1544693925042
1000.9846,1544693925077
1001.19763,1544693925113
999.67755,1544693925149
1000.53094,1544693925185
1001.2239,1544693925215
1001.20416,1544693925249
1001.16016,1544693925285
1001.169,1544693925319
1001.13196,1544693925357
1001.0893,1544693925387
1001.04614,1544693925427
1001.0464,1544693925458
1001.07294,1544693925491
1001.0811,1544693925525
1001.064,1544693925561
1001.072,1544693925595
1001.1526,1544693925631
1000.9965,1544693925663
1001.07135,1544693925700
1001.1773,1544693925734
1001.23126,1544693925766
1000.9174,1544693925800
1000.73254,1544693925840
1000.9397,1544693925870
1001.1439,1544693925906
1001.05133,1544693925939
1001.17334,1544693925976
1001.25195,1544693926049
1001.24725,1544693926049
1001.039,1544693926079
1001.0902,1544693926113
1001.08765,1544693926150
1000.8119,1544693926182
1000.6166,1544693926214
1000.9702,1544693926249
1001.1062,1544693926297
1001.064,1544693926322
998.9795,1544693926353
1000.1336,1544693926386
1001.3214,1544693926421
1001.57294,1544693926456
1001.8083,1544693926493
1002.2557,1544693926524
1002.6764,1544693926563
1002.66956,1544693926595
1002.6978,1544693926627
1003.0327,1544693926662
1003.26685,1544693926696
1003.077,1544693926731
1003.0879,1544693926766
1001.2488,1544693926800
1002.1114,1544693926834
1002.95526,1544693926868
1003.0648,1544693926907
1003.24225,1544693926941
1003.4291,1544693926973
1003.4373,1544693927014
1003.089,1544693927044
1002.4729,1544693927076
1002.4116,1544693927110
1001.7964,1544693927145
1002.0679,1544693927180
1002.70984,1544693927215
1002.74945,1544693927248
1002.3892,1544693927282
1001.54645,1544693927317
1001.7682,1544693927351
1001.8542,1544693927386
1001.1979,1544693927420
1000.83746,1544693927457
1000.60693,1544693927489
1000.3275,1544693927524
1000.52423,1544693927558
1000.73584,1544693927594
1000.90094,1544693927626
1001.06177,1544693927664
1001.12537,1544693927696
1001.0666,1544693927736
1001.0808,1544693927830
1001.0324,1544693927830
1000.9373,1544693927834
1000.87695,1544693927870
1000.91016,1544693927902
1001.0831,1544693927950
1001.3097,1544693927971
1001.48224,1544693928005
1001.6537,1544693928040
1001.2639,1544693928078
1001.84753,1544693928109
1002.55566,1544693928339
1001.657,1544693928340
1001.707,1544693928340
1002.4432,1544693928340
1003.12915,1544693928340
1003.32007,1544693928340
1002.9317,1544693928350
1002.0645,1544693928384
1001.57874,1544693928419
1001.3345,1544693928459
1001.0736,1544693928488
1000.5377,1544693928524
1000.7666,1544693928557
1001.0624,1544693928591
1000.89966,1544693928626
1000.8234,1544693928660
1000.92163,1544693928694
1000.9269,1544693928731
1000.7391,1544693928763
1000.5803,1544693928798
1000.38086,1544693928835
1000.29803,1544693928867
1000.16846,1544693928901
1000.04785,1544693928938
999.77576,1544693928970
999.9081,1544693929005
999.98193,1544693929039
1000.0266,1544693929075
1000.05756,1544693929111
1000.1112,1544693929143
1000.1363,1544693929188
1000.0745,1544693929212
999.51794,1544693929247
999.25214,1544693929281
