ts_start,ts_end,location
1542885522576,1542885527710,OUT
1542885527723,1542885530789,HALL
1542885530820,1542885580714,KITCHEN
1542885580718,1542885600706,DINING_ROOM
1542885600777,1542885607442,KITCHEN
1542885607448,1542885613097,DINING_ROOM
1542885613661,1542885617820,KITCHEN
1542885617825,1542885639388,MEDICINE_AREA
1542885639476,1542885642422,HALL
1542885642437,1542885659564,KITCHEN
1542885659579,1542885799424,DINING_ROOM
1542885799426,1542885800686,KITCHEN
1542885800749,1542885801664,HALL
1542885801688,1542885803168,MEDICINE_AREA
1542885803186,1542885804951,LIVING_ROOM
1542885804979,1542886002764,OFFICE
1542886002779,1542886129839,LIVING_ROOM
1542886129872,1542886132706,MEDICINE_AREA
1542886132752,1542886135192,HALL
1542886135222,1542886138585,OUT
