ts_start,ts_end,act
1543312325442,1543312352784,TRANSITION
1543312352788,1543312390040,TAKING_MEDICINES
1543312390049,1543312406288,TRANSITION
1543312406312,1543312459631,PREPARING_COLD_MEAL
1543312459742,1543312462960,TRANSITION
1543312462976,1543312497415,SETTING_UP_TABLE
1543312497425,1543312503945,TRANSITION
1543312503952,1543312504852,EATING
1543312504896,1543312524598,TRANSITION
1543312524607,1543312543631,EATING
1543312543644,1543312553984,TRANSITION
1543312553993,1543312558114,EATING
1543312558123,1543312560222,TRANSITION
1543312560228,1543312564169,EATING
1543312564186,1543312565669,TRANSITION
1543312565692,1543312568180,EATING
1543312568185,1543312569531,TRANSITION
1543312569542,1543312583662,EATING
1543312583679,1543312594905,TRANSITION
1543312594916,1543312643275,CLEARING_TABLE
1543312643293,1543312663157,TRANSITION
1543312663176,1543312734292,WASHING_DISHES
1543312734328,1543312744746,TRANSITION
1543312744754,1543312874885,WATCHING_TV
1543312874891,1543312880220,TRANSITION
