x,y,z,ts
40.81306,22.498352,90.95564,1543334491901
40.654858,23.975832,91.86007,1543334491901
42.06503,23.31061,93.02943,1543334491901
43.42869,23.147352,94.913864,1543334491901
42.50012,25.144484,92.799225,1543334491902
40.154583,22.615503,91.5645,1543334491934
42.760677,22.677284,91.08503,1543334491949
43.186626,25.069958,94.05167,1543334491977
42.695675,23.723843,94.37653,1543334492027
43.531048,22.157629,94.1041,1543334492049
42.788692,22.719912,92.946335,1543334492110
42.139553,22.85127,94.17563,1543334492123
41.453053,22.925795,92.92319,1543334492155
42.62115,24.18318,93.23033,1543334492189
40.850414,22.555187,93.437386,1543334492225
41.518238,22.452246,93.44896,1543334492279
39.477413,22.704237,90.9325,1543334492297
42.80737,22.74833,94.1872,1543334492331
43.223797,24.553783,92.716125,1543334492372
42.139553,22.85127,94.17563,1543334492402
40.757214,22.986109,91.05031,1543334492445
42.02786,23.826784,94.36496,1543334492480
42.130215,22.83706,93.5552,1543334492518
42.111538,22.808643,92.31432,1543334492546
42.732845,23.207668,93.041,1543334492580
41.916164,24.802296,94.55429,1543334492614
43.39152,23.663527,96.249405,1543334492648
43.30766,24.108654,94.482765,1543334492685
42.009182,23.798367,93.12409,1543334492723
42.01852,23.812574,93.74453,1543334492754
41.962673,24.30033,93.839195,1543334492790
41.97201,24.314539,94.459625,1543334492832
41.443714,22.911585,92.30275,1543334492861
40.654858,23.975832,91.86007,1543334492972
42.083706,23.339027,94.270294,1543334492972
43.354168,23.60669,93.76767,1543334492972
42.223232,21.83313,92.12499,1543334493007
42.65832,23.667007,91.89479,1543334493045
42.66766,23.681215,92.51523,1543334493088
42.02786,23.826784,94.36496,1543334493113
42.009182,23.798367,93.12409,1543334493148
41.860317,25.290052,94.64896,1543334493190
42.120876,22.822853,92.93476,1543334493244
43.326153,23.564064,91.90636,1543334493255
41.34136,23.901308,93.11252,1543334493292
42.083706,23.339027,94.270294,1543334493326
42.816708,22.762539,94.80763,1543334493361
40.878246,22.024805,91.48141,1543334493405
41.592762,21.992908,94.59515,1543334493438
42.59332,24.713564,95.186295,1543334493465
41.962673,24.30033,93.839195,1543334493501
43.251812,24.59641,94.57743,1543334493536
42.1954,22.363514,94.08096,1543334493575
41.943996,24.271912,92.59832,1543334493604
42.65832,23.667007,91.89479,1543334493639
41.239002,24.891027,93.92229,1543334493676
41.34136,23.901308,93.11252,1543334493710
42.509457,25.158693,93.41966,1543334493748
39.061,20.89878,92.40357,1543334493781
42.705013,23.738052,94.99696,1543334493816
41.98135,24.328749,95.080055,1543334493911
40.331463,21.166443,91.90094,1543334493911
40.229107,22.156164,92.71071,1543334493933
42.723507,23.193459,92.42056,1543334493976
40.682873,24.018457,93.72138,1543334494000
43.26115,24.61062,95.19786,1543334494033
42.686337,23.709633,93.7561,1543334494068
41.611256,21.448317,92.01875,1543334494103
42.01852,23.812574,93.74453,1543334494144
42.02786,23.826784,94.36496,1543334494174
43.33549,23.578272,92.526794,1543334494211
41.37871,23.958143,95.59425,1543334494262
43.382183,23.649317,95.62897,1543334494283
41.546253,22.494873,95.31026,1543334494318
40.86909,22.583607,94.678246,1543334494450
42.76086,23.250296,94.9023,1543334494450
42.251247,21.875757,93.9863,1543334494452
42.63049,24.197388,93.85077,1543334494455
42.732845,23.207668,93.041,1543334494511
39.99638,24.092981,92.46893,1543334494525
42.167385,22.320887,92.21966,1543334494561
41.33202,23.887098,92.49208,1543334494594
42.555965,24.656727,92.70456,1543334494631
43.288982,24.080236,93.2419,1543334494667
42.602474,24.154762,91.989456,1543334494715
42.602474,24.154762,91.989456,1543334494746
42.509457,25.158693,93.41966,1543334494772
41.767117,25.720974,92.26188,1543334494823
43.065594,26.031263,93.62056,1543334494846
40.052227,23.605225,92.37427,1543334494877
43.112103,25.529297,92.90546,1543334494915
41.313343,23.85868,91.25121,1543334494948
44.754993,22.92726,94.31658,1543334494990
43.251812,24.59641,94.57743,1543334495022
40.971447,21.593885,93.868484,1543334495053
41.46239,22.940002,93.543625,1543334495090
42.695675,23.723843,94.37653,1543334495164
41.360035,23.929726,94.353386,1543334495164
39.579952,22.287525,93.94001,1543334495200
42.881893,22.28899,95.333405,1543334495233
40.284954,21.66841,92.61604,1543334495265
42.074368,23.324818,93.649864,1543334495361
42.686337,23.709633,93.7561,1543334495362
42.71435,23.75226,95.6174,1543334495383
41.583424,21.978699,93.974724,1543334495402
42.316433,21.402212,94.51206,1543334495439
41.97201,24.314539,94.459625,1543334495474
42.695675,23.723843,94.37653,1543334495522
40.247784,22.184582,93.95158,1543334495555
43.51237,22.129211,92.863235,1543334495577
43.223797,24.553783,92.716125,1543334495611
42.06503,23.31061,93.02943,1543334495648
42.01852,23.812574,93.74453,1543334495682
42.62115,24.18318,93.23033,1543334495732
41.220325,24.86261,92.68141,1543334495903
43.34483,23.592482,93.14723,1543334495903
