sensor_id,sensor_status,ts,subject_id
R7,"ON",1544694660953,"201"
R7,"OFF",1544694665349,"201"
R2,"ON",1544694684000,"201"
R2,"OFF",1544694692000,"201"
P1,"ON",1544694704081,"201"
P4,"ON",1544694755000,"207"
P1,"OFF",1544694843931,"201"
P4,"OFF",1544694850000,"207"
R6,"ON",1544694851000,"201"
R6,"OFF",1544694857000,"201"
E2,"ON",1544694866776,"207"
P1,"ON",1544694866852,"201"
P3,"ON",1544694869000,"207"
P1,"OFF",1544694897550,"201"
R6,"ON",1544694904000,"201"
R6,"OFF",1544694907000,"201"
P2,"ON",1544694913000,"201"
P3,"OFF",1544694938000,"207"
E2,"OFF",1544694943773,"207"
R6,"ON",1544694949000,"207"
R6,"OFF",1544694951000,"207"
R6,"ON",1544694970000,"207"
R6,"OFF",1544694972000,"207"
P2,"OFF",1544694987000,"201"
E2,"ON",1544694993772,"201"
P3,"ON",1544694996000,"201"
P7,"ON",1544695051000,"207"
P3,"OFF",1544695111000,"201"
P1,"ON",1544695183832,"201"
P1,"OFF",1544695199379,"201"
P7,"OFF",1544695215000,"207"
E2,"OFF",1544695220779,"207"
