ts_start,ts_end,location
1544694621924,1544694629978,MEDICINE_AREA
1544694630013,1544694648517,HALL
1544694648585,1544694686484,OUT
1544694686496,1544694711775,HALL
1544694711776,1544694714342,KITCHEN
1544694714360,1544694851451,DINING_ROOM
1544694851470,1544694854453,KITCHEN
1544694854471,1544694855659,HALL
1544694855689,1544694857312,MEDICINE_AREA
1544694857416,1544694945613,LIVING_ROOM
1544694945620,1544694953058,MEDICINE_AREA
1544694953080,1544694966166,LIVING_ROOM
1544694966185,1544694990477,MEDICINE_AREA
1544694990579,1544694992546,HALL
1544694992574,1544694990477,MEDICINE_AREA
1544694990580,1544694992546,HALL
1544694992577,1544694990474,MEDICINE_AREA
1544694990579,1544694992545,HALL
1544694992575,1544694990474,MEDICINE_AREA
1544694990580,1544694992545,HALL
1544694992574,1544694990474,MEDICINE_AREA
1544694990579,1544694992544,HALL
1544694992574,1544695003188,MEDICINE_AREA
1544695003214,1544695006978,HALL
1544695006992,1544695019845,MEDICINE_AREA
1544695019864,1544695024493,HALL
1544695024515,1544695036099,MEDICINE_AREA
1544695036136,1544695040846,HALL
1544695040862,1544695046706,MEDICINE_AREA
1544695046724,1544695225482,LIVING_ROOM
