x,y,z,ts
1.42853,-0.5199356,-1.1722827,1542886359932
-0.25553286,0.017975807,-2.4275017,1542886359992
-0.23071194,1.2695913,-2.242815,1542886360024
-0.07003307,1.6372223,-2.113337,1542886360055
0.9694581,0.5176363,-1.9034252,1542886360080
1.9765487,0.18884182,-1.4380198,1542886360109
3.122229,-0.7243371,-0.15838528,1542886360140
3.6240382,-1.005377,0.74264336,1542886360200
2.6953688,-1.389411,1.4328871,1542886360230
1.8722925,-1.5517206,2.0102067,1542886360264
1.0171747,-1.2652617,1.9904695,1542886360287
0.35131264,-1.5831255,2.3290653,1542886360320
-0.12883472,-2.179936,2.2468226,1542886360347
0.11955929,-2.385689,2.1174912,1542886360405
0.33913803,-2.2812858,1.8835149,1542886360451
1.9999828,-2.0469913,1.7045546,1542886360465
1.0038223,-1.5863895,1.2149448,1542886360577
1.3334341,-1.0883393,1.3488734,1542886360577
2.4530563,-0.42697418,1.0087211,1542886360577
2.6110945,-0.14659393,0.15020847,1542886360615
1.8663006,0.035283327,-0.36342502,1542886360642
0.96280384,0.6097846,-0.26236248,1542886360673
0.27389526,1.0569155,-0.50416327,1542886360701
0.29885578,2.0418267,-0.8071351,1542886360735
0.8534937,2.4808006,-1.2936051,1542886360762
1.5181408,3.0233684,-1.4770455,1542886360792
1.5264835,3.2235084,-1.6172609,1542886360853
1.0359168,3.0104995,-1.8016987,1542886360880
1.2736449,2.428275,-1.8567038,1542886360916
1.0882821,1.8187671,-1.9025831,1542886360971
0.3954897,1.0555363,-2.278625,1542886360971
-0.34811592,-1.3437233,-3.140266,1542886360998
-0.7075858,-3.7327683,-3.946073,1542886361110
-1.7399716,-0.87025726,-0.56213665,1542886361110
-2.2582421,-1.0272288,0.70894194,1542886361118
-0.5297899,-0.060506463,1.7079387,1542886361147
-0.8071294,1.6102383,1.689199,1542886361212
-1.4363728,1.3279662,0.8415637,1542886361212
-1.0473251,1.111297,0.76520777,1542886361266
-0.4945178,0.4770682,0.3948722,1542886361298
-0.039366722,0.7354393,-0.09666729,1542886361325
0.8955965,0.698684,-0.6768098,1542886361358
1.291336,0.5334523,-1.5334618,1542886361386
1.3725348,-0.54356766,-1.9273875,1542886361415
1.5276642,-1.3806214,-1.2328489,1542886361474
1.0964165,-0.8121953,-0.69699025,1542886361503
1.9855604,-0.55356693,-0.57974505,1542886361534
2.5540466,-0.013014555,-1.0130377,1542886361563
0.7392969,0.51006866,-1.3301268,1542886361593
-1.1159334,0.6643746,-1.5813712,1542886361621
-1.5909986,0.7309849,-1.5340631,1542886361651
-1.7711725,0.29341793,-1.5019225,1542886361710
-1.9020443,-0.8176639,-1.1608511,1542886361742
-1.3269472,-1.7651992,-0.25325662,1542886361769
-0.67793083,-2.574102,0.24295223,1542886361800
