value,ts
1004.79065,1542886359914
1004.6846,1542886359946
1004.52026,1542886359982
1004.51184,1542886360015
1004.5499,1542886360055
1004.4777,1542886360085
1004.0574,1542886360121
1004.3496,1542886360153
1004.53076,1542886360189
1004.38885,1542886360221
1004.3356,1542886360264
1003.5363,1542886360290
1003.8441,1542886360329
1004.23126,1542886360359
1004.21747,1542886360394
1004.14557,1542886360451
1003.68774,1542886360466
1003.9835,1542886360578
1004.21747,1542886360578
1003.77,1542886360578
1003.98584,1542886360601
1004.1732,1542886360635
1004.14813,1542886360674
1004.1736,1542886360704
1004.173,1542886360744
1004.1288,1542886360773
1004.14856,1542886360807
1004.165,1542886360842
1004.20105,1542886360876
1004.2445,1542886360922
1004.48254,1542886360972
1005.1697,1542886360983
1005.17444,1542886361015
1005.0771,1542886361109
1005.209,1542886361109
1005.1552,1542886361120
1005.1098,1542886361152
1005.0383,1542886361187
1005.0048,1542886361222
1004.83307,1542886361257
1004.584,1542886361290
1004.3358,1542886361328
1004.23883,1542886361361
1004.24744,1542886361395
1004.23944,1542886361436
1004.2035,1542886361462
1003.65814,1542886361496
1003.76074,1542886361535
1003.86145,1542886361570
1002.7557,1542886361603
1002.79205,1542886361637
1003.5664,1542886361670
1003.46924,1542886361704
1003.722,1542886361745
1003.89,1542886361772
1003.4872,1542886361810
1003.8312,1542886361841
1003.9496,1542886361893
1004.34094,1542886361910
1004.59265,1542886361948
1004.4097,1542886361978
1004.3994,1542886362013
1004.6556,1542886362048
1004.5846,1542886362082
1004.461,1542886362118
1004.4586,1542886362151
1004.4668,1542886362187
1004.4938,1542886362220
1003.5832,1542886362257
1004.0215,1542886362296
1004.289,1542886362325
1004.1108,1542886362358
1004.03656,1542886362397
1004.1279,1542886362427
1004.17346,1542886362461
1004.2097,1542886362496
1004.26666,1542886362530
1004.3192,1542886362604
1004.4076,1542886362604
1004.48553,1542886362634
1004.6558,1542886362669
1004.64777,1542886362702
1004.93787,1542886362737
1004.6867,1542886362771
1004.78284,1542886362816
1004.87714,1542886362840
1004.8767,1542886362879
1004.92017,1542886362909
1004.78125,1542886362946
1005.003,1542886362984
1005.12695,1542886363016
1004.8615,1542886363048
1004.82605,1542886363098
1004.70605,1542886363116
1004.6832,1542886363150
1004.95056,1542886363185
1004.71954,1542886363225
1004.38434,1542886363253
1004.3994,1542886363288
1004.5758,1542886363322
1004.3721,1542886363356
1004.29315,1542886363394
1002.69556,1542886363426
1003.6147,1542886363460
1004.34375,1542886363494
1004.26434,1542886363529
1004.24854,1542886363564
1004.2736,1542886363601
1004.0746,1542886363633
