ts_start,ts_end,act
1543312960852,1543312970747,TRANSITION
1543312970756,1543313015790,SETTING_UP_TABLE
1543313015806,1543313066552,TRANSITION
1543313066568,1543313116656,EATING
1543313116658,1543313117819,TRANSITION
1543313117834,1543313123079,EATING
1543313123093,1543313128641,TRANSITION
1543313128653,1543313134131,EATING
1543313134250,1543313159747,TRANSITION
1543313159762,1543313208261,TAKING_MEDICINES
1543313208361,1543313231733,TRANSITION
1543313231748,1543313308460,USING_PC
1543313308478,1543313319475,TRANSITION
1543313319524,1543313462185,WATCHING_TV
1543313462207,1543313539518,ANSWERING_PHONE
1543313539524,1543313542630,TRANSITION
1543313542650,1543313559003,LEAVING_HOME
